 	c'	est	leur	oncle	qui	a	coupé	ce	palmier	</S>
a66	0.208267	0.148558	0.134684	0.111613	0.143295	0.115633	0.0731948	0.0340746	0.0183536	0.0123277
a87	0.290787	0.194693	0.12368	0.105201	0.101143	0.0778375	0.0456962	0.022833	0.0203211	0.0178078
a97	0.184805	0.143967	0.121214	0.131415	0.114388	0.0979064	0.0826663	0.054196	0.0374065	0.0320361
a30	0.144564	0.122576	0.120158	0.149255	0.136664	0.107593	0.0924826	0.0559943	0.0374822	0.0332313
a93	0.165989	0.126734	0.109202	0.140877	0.142513	0.115928	0.0970455	0.0492657	0.0288253	0.0236222
a4	0.277728	0.23163	0.135231	0.103777	0.0776012	0.0560095	0.050577	0.0312506	0.0198209	0.0163742
a13	0.217954	0.234059	0.162724	0.103948	0.0773825	0.0559871	0.0473259	0.0428472	0.032292	0.0254804
a11	0.125227	0.151542	0.140452	0.104963	0.0890622	0.0808588	0.074316	0.0874835	0.0804347	0.0656607
a47	0.0941397	0.110223	0.10567	0.0810502	0.0737434	0.0764438	0.0821506	0.123013	0.135517	0.11805
a62	0.0907336	0.0959123	0.0870507	0.0870342	0.0903062	0.0903482	0.0981163	0.111672	0.130554	0.118273
a88	0.116845	0.132527	0.141762	0.131306	0.12237	0.0862658	0.0642686	0.0648309	0.0722171	0.0676068
a62	0.0783092	0.0863381	0.110177	0.123984	0.120589	0.0932206	0.0834708	0.0954177	0.107331	0.101163
a21	0.0577096	0.0614296	0.0925738	0.122539	0.1242	0.100317	0.102795	0.116058	0.11818	0.104199
a47	0.0654097	0.0605075	0.0822408	0.0965261	0.12675	0.131371	0.128777	0.104798	0.107271	0.0963479
a62	0.0602117	0.0555661	0.0916124	0.122825	0.156688	0.144106	0.122227	0.0922976	0.0790197	0.0754474
a47	0.0310457	0.0272412	0.0468343	0.0732055	0.0997354	0.11931	0.147423	0.158725	0.154842	0.141637
a96	0.022502	0.0212725	0.0347727	0.0570045	0.0864439	0.111146	0.144538	0.177116	0.180764	0.16444
a90	0.00638316	0.00581304	0.0090132	0.0177486	0.0324569	0.0619064	0.121226	0.209786	0.263774	0.271893
a56	0.00494474	0.0043084	0.00762266	0.0178005	0.029952	0.0547656	0.105797	0.193152	0.268027	0.31363
a25	0.00314421	0.00280751	0.00500646	0.0109478	0.0166228	0.0320735	0.0697616	0.1604	0.281807	0.417429
a44	0.00107268	0.00108761	0.00262371	0.00741764	0.00898087	0.0163242	0.0375112	0.109387	0.255232	0.560363
a98	0.00172759	0.00164722	0.00286435	0.0055355	0.00588811	0.0115047	0.0318138	0.105602	0.257417	0.576
a47	0.00142151	0.00154456	0.00303198	0.00681198	0.00734314	0.0121601	0.0283833	0.0893584	0.250304	0.599641
a36	0.00104909	0.00114401	0.00170463	0.0032097	0.0036552	0.00868156	0.0270429	0.0990051	0.273936	0.580572
a2	0.0274544	0.0217888	0.0210854	0.0258578	0.0256618	0.0421189	0.0616346	0.116525	0.218084	0.439789
a57	0.130014	0.0840614	0.0729842	0.0683176	0.0620714	0.0649237	0.072664	0.0941689	0.12416	0.226635
a3	0.150734	0.100127	0.0815201	0.0684102	0.0641149	0.0665483	0.0778685	0.112815	0.119075	0.158786
a97	0.101255	0.0750436	0.0655427	0.0639809	0.0735038	0.0854623	0.104543	0.14144	0.1422	0.14703
a9	0.0850313	0.0644321	0.0563721	0.0699669	0.0810642	0.0900944	0.0957659	0.126013	0.168929	0.162331
</S>	0.0442538	0.0368365	0.0473333	0.081984	0.089712	0.0899135	0.0942583	0.121985	0.192032	0.201691
