 	après	la	pluie	le	chemin	n'	était	qu'	une	mare	de	boue	</S>
a23	0.237246	0.173583	0.134913	0.121438	0.0803219	0.0799932	0.0513039	0.0374124	0.0245357	0.0167644	0.0168061	0.01333	0.0123522
a87	0.198891	0.159725	0.116116	0.0781854	0.060484	0.0780474	0.05339	0.0466307	0.0297529	0.0310906	0.0602885	0.0467652	0.0406334
a23	0.0891915	0.0880913	0.0851312	0.0703063	0.0565711	0.0594437	0.0516611	0.0539807	0.0491097	0.0537595	0.0919306	0.104524	0.146299
a79	0.0967843	0.0799681	0.0586781	0.035969	0.0257366	0.0233196	0.0194406	0.0232324	0.0259167	0.0405741	0.110408	0.195235	0.264737
a37	0.333786	0.235919	0.137639	0.0748394	0.0342392	0.0281274	0.017007	0.012366	0.0119056	0.0167124	0.0311567	0.0349536	0.0313485
a96	0.380746	0.28596	0.137226	0.0686457	0.0300915	0.0240411	0.0159963	0.0115635	0.00826411	0.0080536	0.0105031	0.0103615	0.00854738
a83	0.309388	0.241508	0.138199	0.0931171	0.0561338	0.044007	0.0315494	0.023451	0.0135024	0.0101006	0.0116544	0.0134707	0.0139182
a90	0.185183	0.164165	0.128965	0.114582	0.087272	0.0709254	0.0590633	0.0472703	0.0313915	0.022747	0.0223044	0.0287345	0.0373967
a25	0.131255	0.133805	0.121079	0.112306	0.088045	0.0748954	0.0719026	0.0633026	0.0436837	0.0326108	0.0320562	0.0417813	0.0532781
a56	0.123059	0.128164	0.119157	0.110245	0.0878476	0.0772365	0.0818737	0.0797384	0.0558555	0.0340468	0.028558	0.033201	0.0410169
a61	0.101356	0.106502	0.114035	0.113398	0.0923627	0.0831646	0.087168	0.0771788	0.048137	0.0320931	0.0300598	0.046923	0.0676216
a98	0.110409	0.117984	0.135805	0.135454	0.104034	0.0926584	0.0839073	0.0638484	0.0357983	0.0224861	0.0206521	0.0320373	0.0449268
a47	0.0546012	0.0603483	0.0913051	0.109194	0.096091	0.0872053	0.0936824	0.0883364	0.0667527	0.0507181	0.0443083	0.0652167	0.0922409
a7	0.0548054	0.0571484	0.0908986	0.122541	0.11597	0.0995085	0.098	0.0877138	0.0624879	0.0432731	0.0387747	0.0541928	0.0746859
a26	0.0295444	0.0296655	0.0565059	0.102926	0.138439	0.131088	0.129868	0.108493	0.0701023	0.044909	0.0399483	0.0524004	0.0661102
a94	0.0128389	0.0125966	0.0255664	0.0550667	0.129631	0.137068	0.123081	0.0988583	0.0600063	0.0409598	0.0487798	0.100696	0.154851
a20	0.0176063	0.0156599	0.0254385	0.0490057	0.0976661	0.101829	0.101767	0.0885843	0.0656816	0.0499521	0.057426	0.120107	0.209276
a7	0.0134117	0.0116484	0.0171234	0.0271186	0.0489119	0.0480632	0.0532466	0.0588797	0.0588769	0.0647684	0.090347	0.180789	0.326815
a84	0.0157811	0.0135277	0.0228733	0.039656	0.0777193	0.0791994	0.0927179	0.101157	0.0849067	0.0628226	0.0704743	0.125631	0.213533
a53	0.00845839	0.00674188	0.0114726	0.0199839	0.0592797	0.0748757	0.0729743	0.0644374	0.0485281	0.0382137	0.057919	0.170431	0.366685
a15	0.014445	0.012397	0.0200697	0.0320892	0.0586191	0.0591008	0.0641083	0.0673076	0.0652125	0.0654682	0.0853363	0.161102	0.294744
a69	0.00647881	0.00594341	0.0107319	0.0170748	0.0377392	0.0412081	0.0475723	0.0573601	0.0615099	0.0775908	0.104949	0.187071	0.344771
a90	0.00557765	0.00462551	0.00908723	0.0160386	0.0385413	0.0474275	0.0585033	0.068317	0.074872	0.0884013	0.108983	0.16891	0.310716
a93	0.012694	0.0111013	0.0197242	0.0306309	0.0573987	0.0584777	0.0620046	0.0638975	0.0682701	0.0697991	0.0865913	0.155804	0.303606
a70	0.00728127	0.00640481	0.0123533	0.0196149	0.0407432	0.0472838	0.0597711	0.0714348	0.086174	0.103703	0.119319	0.163953	0.261964
a83	0.00186664	0.00151632	0.00258069	0.00368683	0.00847217	0.0128132	0.0216769	0.0354058	0.0548245	0.0805623	0.133304	0.242137	0.401154
