 	on	recherchait	une	bouffée	d'	air	frais	</S>
a23	0.458415	0.220079	0.0738703	0.045171	0.0518568	0.0477651	0.0517711	0.0510713
a75	0.391664	0.185683	0.125371	0.077618	0.0560224	0.0437819	0.0503992	0.0694605
a61	0.540006	0.173088	0.105313	0.0508364	0.0274338	0.0263439	0.0325543	0.0444243
a21	0.69617	0.168993	0.0649545	0.0310669	0.0113224	0.00901541	0.0081515	0.0103268
a61	0.66559	0.243816	0.0517306	0.0154968	0.00580787	0.00593124	0.00559599	0.00603134
a21	0.576475	0.30903	0.0733807	0.0204978	0.00629825	0.0055902	0.00427367	0.00445439
a47	0.516832	0.30664	0.0891147	0.0326873	0.0159377	0.0160603	0.0121057	0.0106221
a21	0.254372	0.314634	0.158885	0.102491	0.0593772	0.0589651	0.0294867	0.0217896
a61	0.380563	0.244001	0.103592	0.0818625	0.0587745	0.0621521	0.039762	0.029293
a75	0.130007	0.114235	0.0795673	0.141122	0.170892	0.209115	0.100007	0.055055
a41	0.172333	0.0927093	0.0588054	0.122931	0.175467	0.207196	0.107245	0.0633132
a21	0.0991299	0.0514105	0.036156	0.0788718	0.173195	0.277572	0.163163	0.120501
a75	0.0962329	0.0567032	0.0430171	0.0748043	0.152555	0.23973	0.200633	0.136324
a73	0.0407216	0.0222289	0.0302047	0.0776298	0.184639	0.307473	0.204375	0.132728
a58	0.0129116	0.00924263	0.0170628	0.0360059	0.105405	0.262682	0.267555	0.289135
a54	0.00937486	0.00568574	0.00837319	0.0149319	0.0446008	0.161269	0.258416	0.497349
a44	0.00754987	0.00569252	0.0174447	0.0321231	0.0779773	0.178666	0.25517	0.425377
a57	0.00145953	0.00108946	0.00402542	0.00936403	0.0374185	0.131728	0.256727	0.558188
a83	0.00104816	0.000669781	0.0024725	0.00411026	0.0152276	0.0782628	0.225521	0.672688
a66	0.000806253	0.000642742	0.00268432	0.00410736	0.0135895	0.0624414	0.231331	0.684398
a9	0.00279682	0.000933801	0.00169062	0.00269515	0.0108269	0.0592609	0.262557	0.659239
a87	0.0322429	0.00745585	0.00509763	0.00541043	0.0157471	0.0603834	0.206007	0.667656
a23	0.243459	0.114044	0.023398	0.0123773	0.0328842	0.0962678	0.188857	0.288712
a87	0.0761819	0.0325824	0.0230819	0.0191681	0.0402699	0.133485	0.23987	0.435361
</S>	0.0408676	0.0275219	0.0209665	0.0201576	0.049195	0.133636	0.228375	0.479281
