 	les	vieux	récitent	des	contes	</S>
a66	0.540851	0.245671	0.122148	0.0509259	0.0220641	0.0183408
a87	0.732987	0.134307	0.0381563	0.0293695	0.0305259	0.0346546
a23	0.700613	0.163734	0.0420247	0.0266766	0.0269648	0.0399874
a40	0.461878	0.205893	0.104888	0.0777125	0.0729356	0.0766931
a6	0.582491	0.213044	0.091572	0.0502015	0.0353477	0.0273435
a36	0.335255	0.332505	0.162677	0.0957239	0.0528485	0.0209895
a6	0.263782	0.286009	0.209171	0.15199	0.069228	0.0198206
a47	0.197097	0.274763	0.247517	0.176067	0.0787349	0.0258203
a36	0.207175	0.268425	0.245969	0.171466	0.0758096	0.0311555
a47	0.116412	0.148688	0.231164	0.262168	0.15112	0.0904483
a36	0.0891448	0.13092	0.191781	0.236382	0.184657	0.167114
a43	0.0517588	0.0926512	0.18722	0.238208	0.21507	0.215092
a61	0.0293622	0.0475335	0.154989	0.173568	0.224288	0.370259
a88	0.0118229	0.0207018	0.0947517	0.123699	0.226922	0.522103
a71	0.00775383	0.0102209	0.0427494	0.0938341	0.224417	0.621025
a24	0.0057464	0.00578972	0.0216324	0.0592234	0.20839	0.699218
a5	0.00669744	0.00715735	0.0212796	0.0632435	0.234562	0.66706
a36	0.0015447	0.0034625	0.0221013	0.0798521	0.264225	0.628815
a27	0.00260416	0.00424508	0.017326	0.0422434	0.180837	0.752744
a57	0.00558965	0.00611801	0.0252756	0.0417124	0.181973	0.739332
a10	0.110552	0.0481627	0.0953832	0.0780584	0.188743	0.479101
a87	0.438297	0.119437	0.106788	0.0734121	0.103454	0.158612
a23	0.556295	0.187004	0.0923551	0.0529776	0.0503683	0.0609996
a87	0.365029	0.112654	0.106089	0.081319	0.118014	0.216895
</S>	0.0308323	0.0200571	0.0610387	0.0844509	0.181663	0.621958
