 	va	jeter	les	feuilles	dans	la	poubelle	</S>
a15	0.240754	0.158148	0.138694	0.138074	0.125289	0.0842691	0.0629593	0.0518125
a10	0.172104	0.115895	0.10804	0.150793	0.182423	0.105574	0.0871367	0.0780356
a38	0.25557	0.0733555	0.0606339	0.0644084	0.0854273	0.105124	0.163258	0.192224
a34	0.367981	0.113975	0.0961763	0.110745	0.100416	0.0507231	0.069551	0.0904327
a25	0.440292	0.227966	0.15806	0.0988452	0.0450404	0.0132983	0.00736983	0.00912872
a44	0.350467	0.314658	0.193641	0.0915055	0.031584	0.00771969	0.0047141	0.00571126
a94	0.348959	0.297107	0.208009	0.0896657	0.028963	0.00962686	0.00782126	0.00984786
a98	0.259824	0.269618	0.251337	0.123566	0.0528153	0.016614	0.0119589	0.0142671
a44	0.269255	0.230416	0.198899	0.125767	0.0811781	0.038816	0.0262509	0.0294181
a84	0.229439	0.175283	0.184756	0.150964	0.116651	0.0596168	0.0390686	0.0442224
a75	0.112929	0.105769	0.110304	0.105591	0.0995283	0.130288	0.146094	0.189497
a41	0.0872087	0.0544169	0.0679102	0.0923318	0.125686	0.179768	0.169405	0.223274
a11	0.0692248	0.0428336	0.054174	0.0702022	0.100479	0.186847	0.243408	0.232831
a24	0.023804	0.0135866	0.0200029	0.0342484	0.0696955	0.170473	0.311787	0.356403
a9	0.00927466	0.00552796	0.00740839	0.0136687	0.0329382	0.131304	0.35161	0.448268
a10	0.00218373	0.00168228	0.00174966	0.00358865	0.00910806	0.0678803	0.307662	0.606145
a75	0.00115944	0.000825386	0.000878925	0.0015927	0.00466558	0.0503908	0.270075	0.670412
a85	0.00164376	0.00064947	0.000781237	0.00155829	0.00292295	0.0230974	0.232075	0.737272
a66	0.00201061	0.00116507	0.00141055	0.00246596	0.00412347	0.0320655	0.289374	0.667384
a75	0.000325607	0.00014428	0.000154966	0.000395845	0.00129708	0.0169029	0.203664	0.777115
a47	0.00178818	0.000703363	0.00090981	0.00193054	0.00355874	0.022405	0.250297	0.718407
a44	0.000955932	0.000419984	0.000516149	0.00135608	0.00376488	0.0334989	0.295406	0.664082
a26	0.000634583	0.000399387	0.000408298	0.00100097	0.00262007	0.0332805	0.246808	0.714849
a57	0.0258532	0.00897186	0.00767128	0.0108189	0.019069	0.0696511	0.269888	0.588077
a87	0.177692	0.0583549	0.0431932	0.043494	0.0519475	0.0970418	0.236126	0.29215
a23	0.194263	0.0640758	0.0350156	0.0300883	0.0377237	0.0893183	0.25589	0.293625
a87	0.102409	0.0321107	0.0175596	0.015657	0.0163365	0.0573963	0.260159	0.498372
</S>	0.0222624	0.0138056	0.0113221	0.0132243	0.0189724	0.0709116	0.31293	0.536571
