 	je	voudrais	le	voir	pour	discuter	avec	lui	de	cette	affaire	</S>
a23	0.174682	0.0945179	0.068237	0.0871472	0.0940379	0.10415	0.101872	0.0813512	0.0633628	0.0487939	0.0447904	0.0370574
a10	0.245402	0.15945	0.114515	0.103819	0.0740121	0.0491132	0.0524325	0.0483318	0.0477259	0.0401446	0.0340777	0.0309767
a87	0.218966	0.184579	0.131111	0.101593	0.0750712	0.0451388	0.0411093	0.0408185	0.0401573	0.0429129	0.037228	0.0413153
a23	0.254164	0.200333	0.141277	0.0829871	0.0489739	0.0268695	0.0265044	0.033252	0.0372073	0.0447814	0.045177	0.0584732
a38	0.323194	0.226032	0.124657	0.0709163	0.0379874	0.0241924	0.0262775	0.0304998	0.0311372	0.0336455	0.032333	0.0391272
a26	0.405615	0.239424	0.115965	0.0577215	0.0324719	0.0221578	0.0204606	0.0212217	0.0217159	0.0216098	0.0194037	0.0222328
a24	0.461667	0.276592	0.113602	0.0435319	0.0234647	0.0133061	0.0119875	0.0122131	0.0120971	0.0118338	0.00951872	0.0101868
a26	0.349507	0.258431	0.146306	0.0754083	0.0484067	0.0270385	0.0200639	0.0175001	0.0163503	0.016011	0.0123546	0.0126224
a75	0.17715	0.214381	0.182512	0.121517	0.0905784	0.0515898	0.0361678	0.0302841	0.0279551	0.0264305	0.0197681	0.0216662
a73	0.121016	0.153754	0.171468	0.135399	0.121697	0.0764751	0.0542893	0.0422594	0.0378284	0.0336562	0.0255952	0.0265614
a57	0.111586	0.139189	0.155189	0.133832	0.134083	0.0828363	0.0617891	0.0484504	0.0427227	0.0356629	0.0270006	0.0276589
a53	0.0402321	0.0604519	0.0948487	0.112021	0.140479	0.102778	0.0799212	0.0713403	0.0704753	0.0769108	0.0698047	0.0807374
a76	0.12082	0.122426	0.132346	0.124224	0.132443	0.0959035	0.0765979	0.056335	0.0436988	0.0348439	0.0289789	0.0313832
a94	0.126532	0.129407	0.135353	0.120649	0.126394	0.102669	0.0802506	0.0591738	0.0442122	0.0304392	0.0228306	0.0220902
a32	0.0946712	0.094452	0.123698	0.147603	0.159823	0.107892	0.0746646	0.048755	0.0369325	0.0335157	0.036959	0.0410337
a76	0.065558	0.066858	0.0937163	0.13595	0.181877	0.13549	0.0997535	0.062497	0.0450493	0.0369416	0.0367077	0.0396021
a44	0.0773083	0.0802842	0.0962031	0.126798	0.148999	0.114251	0.0957172	0.0746491	0.059856	0.0463402	0.0397914	0.039803
a84	0.0550695	0.0598951	0.0816519	0.120165	0.161963	0.132396	0.106322	0.0758085	0.0574659	0.0472536	0.048486	0.0535237
a10	0.0206869	0.0246288	0.0442735	0.0911731	0.165298	0.164309	0.162703	0.115498	0.075621	0.0493944	0.0401906	0.0462238
a75	0.0201649	0.0222037	0.0388331	0.0863614	0.144298	0.176738	0.186024	0.125518	0.0791441	0.0485076	0.0346189	0.0375884
a14	0.0275467	0.0278555	0.0397819	0.0768716	0.12292	0.15275	0.164943	0.130605	0.0978034	0.0640797	0.0467817	0.0480614
a76	0.029749	0.0322514	0.0462356	0.0839718	0.128263	0.146588	0.147034	0.114955	0.0938556	0.0690245	0.0559663	0.0521057
a73	0.0412966	0.0434013	0.0548754	0.0837548	0.122842	0.144536	0.140822	0.106346	0.0895355	0.0625705	0.0535258	0.0564944
a57	0.0282838	0.0264826	0.0327985	0.0519113	0.0737305	0.0952536	0.119911	0.117722	0.118566	0.110664	0.110652	0.114025
a87	0.0352028	0.0270233	0.0292537	0.0435058	0.0547975	0.085314	0.137083	0.139395	0.129508	0.110437	0.0980418	0.110438
a23	0.0879789	0.0590438	0.0405195	0.0459244	0.0468084	0.0756118	0.113662	0.118395	0.132054	0.107001	0.0923116	0.08069
a24	0.0941864	0.0893733	0.0633466	0.0706483	0.0595538	0.0796788	0.107303	0.103028	0.110654	0.0803994	0.0708627	0.0709657
a41	0.0292386	0.0230118	0.0251483	0.039854	0.0555132	0.0737067	0.0914973	0.0994665	0.119399	0.127688	0.144848	0.170628
a35	0.0135259	0.0108358	0.0118816	0.0224107	0.0399357	0.0691443	0.127874	0.153434	0.156634	0.144343	0.122503	0.127479
a76	0.0194612	0.0144509	0.0145184	0.0226689	0.0351922	0.0613168	0.109583	0.132048	0.141134	0.147063	0.14283	0.159734
a35	0.014404	0.0141132	0.0185988	0.0332023	0.056267	0.0854566	0.113485	0.108943	0.109362	0.118865	0.149205	0.178097
a24	0.00853251	0.00929055	0.0131824	0.024959	0.0440737	0.0745787	0.105627	0.109867	0.119244	0.130697	0.165472	0.194477
a41	0.00525653	0.00696102	0.0100474	0.0148151	0.0182694	0.0259551	0.0433735	0.0644817	0.103196	0.165632	0.250584	0.291429
a94	0.00474468	0.00502454	0.00731401	0.0113797	0.0140824	0.0214314	0.0386896	0.0610663	0.0992867	0.174351	0.26725	0.295379
a76	0.00404458	0.00444819	0.00678811	0.0115	0.0143705	0.021039	0.0395855	0.0614495	0.0966941	0.164806	0.261773	0.313501
