 	pourquoi	tu	le	défends	</S>
a15	0.600173	0.219647	0.096818	0.0570951	0.0262669
a66	0.684142	0.214756	0.0701845	0.0203461	0.0105718
a87	0.755683	0.160812	0.0383956	0.0236337	0.0214753
a23	0.690325	0.236734	0.043848	0.0156295	0.0134636
a44	0.570714	0.19668	0.0808964	0.0600382	0.0916721
a56	0.58897	0.181819	0.0953778	0.0715955	0.0622377
a90	0.594216	0.250398	0.094686	0.0392382	0.0214624
a56	0.442486	0.280029	0.160601	0.0660056	0.0508774
a25	0.378334	0.254918	0.215335	0.0838671	0.067546
a15	0.253098	0.310432	0.245589	0.106074	0.0848066
a85	0.135671	0.178082	0.227834	0.218829	0.239585
a5	0.105555	0.152837	0.207978	0.24303	0.2906
a12	0.0969314	0.129788	0.157484	0.26903	0.346766
a75	0.0154619	0.0286511	0.0846184	0.319172	0.552096
a5	0.00722572	0.0159443	0.0649029	0.276679	0.635248
a18	0.00965009	0.0149696	0.0513779	0.246547	0.677455
a25	0.00790974	0.0115755	0.0535075	0.247971	0.679036
a87	0.0332012	0.0495918	0.0990054	0.283042	0.535159
a23	0.479688	0.225537	0.0985317	0.0773824	0.118861
a87	0.21566	0.107172	0.0840568	0.178395	0.414716
a23	0.0242454	0.0179395	0.0455057	0.230921	0.681388
</S>	0.0305472	0.0408649	0.0941901	0.273088	0.56131
