 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
a10	0.310123	0.101529	0.0790413	0.0977014	0.1003	0.0743543	0.0573819	0.067213	0.112356
a2	0.168555	0.0885792	0.0697465	0.0829896	0.116249	0.100811	0.124646	0.118267	0.130157
a57	0.24944	0.0749013	0.0514747	0.058725	0.0702203	0.0621661	0.099474	0.13482	0.198779
a75	0.280495	0.0681005	0.0513874	0.0542576	0.0555032	0.0527304	0.0921187	0.134211	0.211196
a73	0.264397	0.0908638	0.0587426	0.0553126	0.0631132	0.0788767	0.116781	0.129381	0.142531
a76	0.32587	0.14428	0.0976922	0.0733306	0.0701989	0.0628166	0.0716498	0.073793	0.080369
a41	0.31825	0.190688	0.137003	0.0811054	0.0632347	0.0583149	0.0543559	0.0477679	0.0492799
a85	0.171077	0.134245	0.130092	0.110369	0.112425	0.100031	0.0882791	0.0756821	0.0777996
a37	0.0900156	0.0989877	0.123525	0.113171	0.119988	0.123929	0.115519	0.105504	0.109361
a90	0.13439	0.150911	0.144412	0.11256	0.100381	0.092626	0.0736836	0.085011	0.106026
a75	0.0781218	0.135451	0.150871	0.130987	0.12413	0.113041	0.0815123	0.0897494	0.0961363
a11	0.057159	0.0902079	0.0870515	0.0776291	0.0923291	0.128858	0.12197	0.156335	0.18846
a66	0.0266226	0.0464655	0.0445555	0.0442462	0.0607246	0.0952881	0.113485	0.217297	0.351314
a24	0.0117993	0.0160183	0.0140058	0.0161042	0.0228159	0.0432837	0.0750022	0.218384	0.582586
a9	0.00650069	0.00943086	0.00841872	0.0112563	0.0210777	0.0457546	0.0891049	0.24349	0.564967
a87	0.00501776	0.00429363	0.00376614	0.00656019	0.0138668	0.0412319	0.0878738	0.235473	0.601917
a10	0.0193753	0.0235562	0.0242734	0.0323264	0.0434542	0.0698472	0.102341	0.213087	0.471739
a11	0.0320636	0.0360153	0.0332632	0.0406869	0.0661652	0.111859	0.155804	0.223613	0.30053
a10	0.0127277	0.0126044	0.0108543	0.0133543	0.0280486	0.0664453	0.177489	0.308006	0.37047
</S>	0.00794774	0.00780032	0.00595029	0.00761874	0.0182607	0.0460532	0.136448	0.301865	0.468056
