 	qu'	est-ce	que	le	féticheur	vous	a	donné	comme	conseils	</S>
a57	0.164405	0.129016	0.125679	0.136165	0.120099	0.119014	0.0983137	0.06284	0.0289134	0.00984064	0.00571454
a10	0.323648	0.184211	0.0930541	0.0609323	0.052234	0.0559307	0.0533219	0.0384067	0.0309723	0.0486834	0.0586058
a87	0.155361	0.11902	0.103193	0.101174	0.105378	0.103966	0.0860979	0.0603412	0.0452357	0.0350312	0.0852019
a23	0.194485	0.137635	0.126145	0.109072	0.0953344	0.0764404	0.0628511	0.0462158	0.0369945	0.0408279	0.073999
a12	0.217046	0.176286	0.154004	0.113828	0.0858971	0.0615579	0.045504	0.0318988	0.029803	0.0399858	0.0441884
a31	0.216686	0.194702	0.166258	0.126276	0.0857773	0.0611956	0.0516788	0.0381285	0.0239975	0.0177885	0.0175125
a43	0.203487	0.216323	0.205246	0.141034	0.0821216	0.0488887	0.0363271	0.0283145	0.0203772	0.0100585	0.00782271
a21	0.194439	0.21773	0.210887	0.139394	0.0840408	0.0478675	0.0332708	0.0284072	0.0252177	0.0110704	0.00767524
a85	0.17999	0.192587	0.188517	0.13776	0.0988952	0.0662675	0.0522853	0.0426486	0.0275531	0.0078776	0.00561758
a98	0.144835	0.16233	0.178113	0.142426	0.110643	0.0767457	0.06301	0.0542264	0.0394011	0.0146091	0.0136607
a92	0.105871	0.124754	0.142756	0.140523	0.129146	0.10405	0.0879466	0.0739203	0.0509527	0.0208174	0.0192628
a98	0.098456	0.114396	0.146985	0.151847	0.139746	0.102874	0.0822357	0.0645502	0.0485729	0.0268227	0.0235138
a47	0.040322	0.0725146	0.119494	0.151194	0.156444	0.127075	0.105174	0.0893182	0.0722397	0.0387692	0.0274551
a98	0.0309206	0.0569861	0.0969055	0.129531	0.142768	0.132291	0.105252	0.0777609	0.0739368	0.0778286	0.0758194
a79	0.0255449	0.0499158	0.0900167	0.130647	0.152328	0.143175	0.116842	0.0923345	0.086243	0.061671	0.0512809
a90	0.0219188	0.0463114	0.0913788	0.134193	0.153522	0.150311	0.12079	0.09132	0.0790136	0.0580039	0.0532379
a56	0.021617	0.034608	0.068145	0.111481	0.142416	0.148986	0.12625	0.0994516	0.0971091	0.0760326	0.0739041
a44	0.0231984	0.0318695	0.0569634	0.0910214	0.120815	0.142356	0.130975	0.110479	0.109458	0.0846324	0.0982324
a47	0.01773	0.02231	0.0339986	0.0529386	0.0823492	0.109693	0.116926	0.112029	0.134949	0.133786	0.18329
a61	0.012262	0.0152915	0.0219401	0.0304178	0.0457505	0.063502	0.0747384	0.0787254	0.126573	0.179034	0.351766
a50	0.00955549	0.0104491	0.0141302	0.0187025	0.0274995	0.0374602	0.0485239	0.0608867	0.123667	0.214237	0.434889
a62	0.00670158	0.00710783	0.00827606	0.00963515	0.0125134	0.0171326	0.0251707	0.038022	0.0903561	0.217272	0.567813
a61	0.00433631	0.00462087	0.00558335	0.00666995	0.00888334	0.0126827	0.019502	0.0318071	0.083953	0.246008	0.575953
a21	0.00200677	0.00214506	0.00282544	0.00357946	0.00558714	0.00851183	0.0144888	0.0261539	0.0738875	0.240048	0.620766
a47	0.00148904	0.00160009	0.002048	0.00254233	0.00400539	0.00612478	0.0101968	0.0188556	0.0604947	0.21994	0.672703
a61	0.00115145	0.00131413	0.00171796	0.00220716	0.00333708	0.00497689	0.00780179	0.0136367	0.048938	0.203176	0.711743
a47	0.000836566	0.00100844	0.00122142	0.00163068	0.00256712	0.00431083	0.00715291	0.013044	0.0451355	0.201979	0.721114
a96	0.00180142	0.00227265	0.00266475	0.00338146	0.0050744	0.00806374	0.0113791	0.0184495	0.0551442	0.22833	0.663439
a88	0.00128855	0.00155624	0.00166792	0.00220404	0.00338945	0.00580725	0.00853419	0.0134342	0.0415418	0.208036	0.71254
a71	0.00130356	0.00155307	0.00160305	0.00211822	0.00336666	0.005732	0.00961657	0.0185816	0.0610193	0.235306	0.6598
a9	0.0150846	0.0129898	0.0102003	0.011145	0.0145798	0.0264037	0.0426455	0.065886	0.13648	0.213864	0.450722
a10	0.197333	0.107143	0.0608486	0.0440548	0.0384161	0.0511214	0.0516571	0.0515417	0.0656241	0.0938261	0.238433
a87	0.169916	0.104981	0.0655511	0.048682	0.042625	0.0547653	0.0579269	0.052056	0.0666197	0.10435	0.232526
a97	0.102035	0.0727241	0.0500568	0.0384674	0.0361076	0.0478062	0.0569365	0.0558643	0.0801299	0.150154	0.309718
a99	0.048923	0.0312726	0.022469	0.0195402	0.0229712	0.0318832	0.0360829	0.0350561	0.0563526	0.153346	0.542103
a97	0.0181141	0.0161022	0.0164722	0.0188208	0.0237618	0.0275672	0.0277724	0.0270179	0.0537901	0.178814	0.591767
</S>	0.0161202	0.0161623	0.0178974	0.0197367	0.021725	0.0226916	0.0214987	0.0198524	0.0378389	0.137313	0.669164
