 	cette	femme	a	mis	de	l'	ordre	dans	sa	maison	</S>
a66	0.210984	0.172547	0.114948	0.0871391	0.0909492	0.0856995	0.0987594	0.0617963	0.0348582	0.0265119	0.015807
a87	0.319831	0.201422	0.10784	0.0697808	0.0558448	0.0606988	0.0745715	0.0512394	0.0268196	0.0213274	0.0106245
a23	0.269234	0.162339	0.103925	0.0790163	0.0635637	0.0723845	0.0793562	0.0583168	0.0390454	0.0435664	0.0292529
a13	0.179394	0.110898	0.075056	0.0595968	0.0590161	0.0913795	0.113223	0.0837725	0.0710105	0.087227	0.0694261
a96	0.133016	0.12012	0.084039	0.0578175	0.0561902	0.0852585	0.103782	0.0833109	0.0851982	0.0947412	0.0965269
a93	0.266984	0.234692	0.135893	0.0696562	0.058431	0.0504542	0.0503546	0.0358063	0.0328571	0.0355606	0.0293105
a69	0.180133	0.191333	0.158839	0.118072	0.109221	0.0726599	0.0621832	0.0344102	0.025483	0.0263427	0.0213244
a54	0.134099	0.162459	0.167299	0.146214	0.13779	0.0744039	0.0605419	0.0357564	0.0271763	0.0300689	0.0241919
a6	0.116887	0.154238	0.168844	0.150324	0.142219	0.0746441	0.062287	0.0371347	0.0295178	0.0317266	0.0321767
a37	0.103827	0.132541	0.156199	0.153104	0.142403	0.0821449	0.0630287	0.0427718	0.0395779	0.0418077	0.0425951
a56	0.108591	0.111099	0.116481	0.129214	0.14323	0.104052	0.0818195	0.0562828	0.0486447	0.0489409	0.0516447
a96	0.075733	0.0864936	0.111992	0.143907	0.163017	0.127814	0.0941541	0.0605636	0.045091	0.0454203	0.0458132
a62	0.0533926	0.0606591	0.0809322	0.112437	0.143934	0.138059	0.127513	0.0894881	0.0679615	0.0645481	0.0610754
a12	0.032327	0.0364947	0.0535709	0.0870385	0.136246	0.161054	0.163676	0.114616	0.0750167	0.0734507	0.0665089
a31	0.0237938	0.025556	0.038511	0.06548	0.0936167	0.13233	0.164817	0.135765	0.113487	0.109644	0.0969996
a12	0.0179077	0.0186314	0.0285011	0.0496815	0.083058	0.139362	0.190579	0.157096	0.120448	0.106	0.0887358
a43	0.0133943	0.0140696	0.02172	0.0375028	0.0626799	0.110294	0.165708	0.158956	0.150742	0.144695	0.12024
a75	0.0120063	0.0120674	0.0177863	0.0292804	0.0516118	0.0905635	0.139267	0.149982	0.168895	0.180615	0.147926
a5	0.00356857	0.0046436	0.0100331	0.020486	0.0348234	0.0731814	0.105547	0.121551	0.18851	0.213437	0.224219
a61	0.00198728	0.00255267	0.00537386	0.01086	0.0208293	0.0511911	0.0806745	0.117606	0.215597	0.245282	0.248046
a21	0.00197312	0.00218871	0.00372757	0.00670538	0.0122098	0.0300311	0.0532923	0.0882232	0.202567	0.263467	0.335615
a85	0.00097563	0.00119243	0.00226442	0.0040756	0.00770229	0.0217686	0.0381256	0.0702226	0.173644	0.261051	0.418978
a79	0.00060825	0.000805641	0.00174176	0.00328565	0.00612456	0.0181618	0.0274186	0.0509593	0.150109	0.241719	0.499066
a7	0.00109532	0.00140626	0.00274664	0.00452998	0.00732146	0.0204488	0.0273328	0.05616	0.156486	0.228161	0.494312
a84	0.00391442	0.00472509	0.00621783	0.00769381	0.0104031	0.0276508	0.0374893	0.0726137	0.161366	0.207553	0.460373
a87	0.0518172	0.0510464	0.0544671	0.055314	0.058325	0.0789045	0.0730498	0.108602	0.135756	0.1336	0.199118
</S>	0.251089	0.145634	0.0928955	0.0708746	0.066779	0.0552112	0.0480024	0.0598728	0.0684331	0.0640103	0.0771983
