 	j'	irai	à	la	pêche	demain	</S>
a66	0.387419	0.176389	0.1283	0.140351	0.0912869	0.0435012	0.0327529
a87	0.367028	0.170872	0.10203	0.0899685	0.0797611	0.0897206	0.10062
a23	0.526225	0.189993	0.0774786	0.0496727	0.0447285	0.0585983	0.0533048
a87	0.492086	0.201157	0.104554	0.0651846	0.0455999	0.0428858	0.0485324
a23	0.526533	0.197955	0.0963104	0.0585277	0.0394539	0.0396218	0.0415975
a40	0.468131	0.201106	0.106899	0.0658185	0.047322	0.0478034	0.0629204
a23	0.52918	0.267935	0.110412	0.0394394	0.0201416	0.0163331	0.0165593
a61	0.241333	0.328719	0.260437	0.101513	0.0364879	0.0161007	0.0154098
a18	0.13995	0.249479	0.225693	0.145995	0.100372	0.0644479	0.0740628
a88	0.0888488	0.167972	0.195378	0.160741	0.142622	0.114473	0.129965
a31	0.0635978	0.10318	0.140425	0.153891	0.163808	0.165463	0.209635
a62	0.0337286	0.0488708	0.094181	0.160209	0.211157	0.211912	0.239942
a88	0.0225292	0.0288082	0.0599913	0.134377	0.241198	0.259776	0.25332
a34	0.00861105	0.0107585	0.02863	0.0987636	0.244284	0.305697	0.303256
a90	0.00542366	0.00633758	0.0169099	0.0742726	0.226725	0.319625	0.350707
a69	0.0021224	0.00274871	0.00837678	0.0427528	0.182457	0.317504	0.444039
a4	0.000858542	0.00152003	0.00543072	0.028864	0.146618	0.308007	0.508702
a94	0.000619395	0.000806613	0.00274657	0.0169106	0.110497	0.306541	0.561879
a18	0.000355183	0.000541165	0.0017275	0.0121255	0.0803838	0.291265	0.613602
a66	0.00226731	0.00288126	0.00627733	0.0212545	0.0776894	0.282058	0.607572
a62	0.00612651	0.00417227	0.00610611	0.0168276	0.0614758	0.26292	0.642372
a47	0.00136096	0.00186826	0.00373507	0.0122184	0.056498	0.275102	0.649217
a62	0.00131938	0.00164823	0.00360535	0.0124591	0.0564616	0.28688	0.637627
a96	0.000279865	0.000418336	0.00102705	0.00568322	0.0507007	0.310146	0.631745
a93	0.000200365	0.000285889	0.000718314	0.00379977	0.0333127	0.269722	0.691961
a4	0.000205009	0.000336822	0.000930961	0.00571989	0.0499874	0.298724	0.644096
a94	0.000809551	0.00114325	0.00265987	0.0109142	0.0579865	0.306571	0.619916
a62	0.00208054	0.0025718	0.00504403	0.0157841	0.061828	0.261359	0.651332
a93	0.000438624	0.000611183	0.00140399	0.00526285	0.0298119	0.222145	0.740327
a70	0.000106181	0.000142903	0.000366921	0.00206942	0.0191714	0.198304	0.779839
a13	0.000418406	0.000609585	0.00145072	0.00591961	0.0348287	0.244778	0.711995
a9	0.0033958	0.00344717	0.00522652	0.0125058	0.0473055	0.244473	0.683646
a3	0.0847817	0.0378882	0.0338739	0.0467116	0.0872028	0.235289	0.474253
a87	0.145342	0.0559507	0.0341055	0.0407264	0.071419	0.213698	0.438758
a23	0.121681	0.0524897	0.0288581	0.0361657	0.0785778	0.263669	0.418558
a87	0.04143	0.0234515	0.0159813	0.0228552	0.0716685	0.311133	0.513481
</S>	0.0150179	0.0117596	0.0102896	0.0191305	0.0721444	0.30683	0.564828
