 	il	ne	faut	pas	enflammer	la	savane	de	peur	que	le	hangar	du	récolteur	du	vin	de	palme	prenne	feu	</S>
a66	0.040751	0.0373068	0.0396147	0.0461327	0.0509444	0.0288811	0.0370817	0.051914	0.0554876	0.0842025	0.0855873	0.0947074	0.0972304	0.0799153	0.0653609	0.056746	0.0282617	0.00921056	0.00413252	0.00329035	0.00324098
a87	0.184186	0.153483	0.112024	0.0599068	0.0241485	0.00995272	0.00663261	0.0134338	0.0165409	0.0340201	0.0372682	0.0489403	0.043533	0.0346882	0.0342774	0.0298096	0.0226146	0.0174509	0.0280479	0.0414579	0.0475839
a23	0.191394	0.149954	0.0818592	0.0624025	0.0455711	0.0316708	0.0342848	0.0437996	0.0449813	0.0448941	0.0343743	0.0480578	0.0335948	0.0263824	0.0216506	0.0180646	0.0158447	0.0112941	0.0104897	0.0162314	0.0332044
a87	0.137209	0.165599	0.0803235	0.0438433	0.0299708	0.0250085	0.0306341	0.0494664	0.0434139	0.0458745	0.0355447	0.0532801	0.0409651	0.0325335	0.025276	0.0232143	0.0319209	0.0266672	0.0220792	0.0229233	0.0342526
a79	0.11198	0.12688	0.0661515	0.0395909	0.035373	0.0320352	0.0418974	0.0637062	0.0564349	0.0545957	0.0454188	0.0658064	0.0506382	0.0431441	0.0320621	0.0251001	0.0328067	0.0260773	0.0175381	0.0141764	0.0185863
a69	0.107836	0.12941	0.0701088	0.0354402	0.0297905	0.0207378	0.0263057	0.0403078	0.0406483	0.0532513	0.0443563	0.075045	0.0495777	0.0360715	0.03772	0.0416161	0.0356447	0.0287794	0.0303734	0.0292181	0.0377609
a7	0.159962	0.209439	0.205743	0.118506	0.0658145	0.023503	0.0195356	0.0187984	0.0148562	0.0216606	0.0164432	0.0195682	0.0129245	0.00887095	0.0103894	0.0220592	0.0189551	0.0124698	0.0094178	0.00616259	0.00491973
a98	0.138155	0.160067	0.158417	0.107752	0.0623302	0.0413385	0.044951	0.0458113	0.0326063	0.033565	0.0181805	0.0172173	0.0108046	0.00763745	0.00858597	0.0159549	0.0182056	0.0179675	0.0280229	0.0187731	0.0136583
a15	0.0954484	0.107641	0.11793	0.100433	0.0722639	0.0616326	0.0672208	0.0670628	0.0478273	0.0459349	0.0251401	0.0229121	0.0147591	0.0100655	0.00975744	0.0173565	0.0227509	0.0233425	0.0279341	0.0235827	0.0190049
a79	0.0684619	0.0778387	0.0914848	0.0882627	0.0581662	0.0623191	0.0715311	0.0784982	0.0581962	0.0522925	0.0322524	0.029552	0.0217385	0.0153165	0.0118647	0.0160009	0.0224819	0.0247376	0.0292238	0.0444551	0.0453251
a90	0.0644513	0.0637482	0.0750051	0.0821063	0.0543446	0.0697721	0.078193	0.0816322	0.0612103	0.0474022	0.0322749	0.028836	0.0244805	0.019778	0.0154743	0.018394	0.025716	0.0225204	0.0224413	0.0492354	0.0629839
a4	0.0681542	0.0597247	0.0681119	0.0814927	0.0655583	0.079727	0.0892519	0.0890903	0.0705204	0.0582177	0.0403302	0.0355531	0.029131	0.0228518	0.016338	0.0164632	0.0185152	0.0147323	0.0147548	0.0269558	0.0345255
a58	0.048049	0.0398281	0.0489696	0.0692612	0.0622729	0.0752379	0.0877223	0.0879191	0.0749275	0.0672623	0.0506083	0.0480979	0.0397888	0.0338315	0.0260825	0.0243851	0.0245513	0.0174147	0.0149937	0.0260441	0.0327523
a70	0.0253845	0.0168141	0.0215556	0.0400594	0.0402313	0.0765238	0.093611	0.103541	0.0914553	0.0800211	0.0604798	0.0553149	0.0438668	0.0354438	0.0238535	0.0192431	0.0188982	0.0148838	0.0199722	0.0475336	0.0713134
