 	si	tu	manges	beaucoup	de	légumes	à	feuilles	tu	prendras	du	poids	</S>
a66	0.139812	0.142182	0.205142	0.176618	0.116182	0.0641695	0.0474159	0.0425203	0.036445	0.0159936	0.00652778	0.00418461	0.00280703
a87	0.273596	0.216745	0.183054	0.117812	0.0540297	0.0249326	0.0195428	0.0189915	0.0207077	0.0207253	0.0199658	0.0171666	0.0127315
a23	0.380715	0.248323	0.110856	0.0642591	0.0391811	0.0229903	0.0203912	0.018347	0.0190267	0.0190236	0.0227676	0.0179184	0.0162009
a30	0.280324	0.189713	0.0847832	0.0509595	0.033543	0.0301008	0.0347215	0.0336156	0.0372352	0.0428156	0.058163	0.054223	0.0698018
a53	0.137827	0.111559	0.0888081	0.0882099	0.0649559	0.0576155	0.0535855	0.0551152	0.0565314	0.0655173	0.078948	0.0672479	0.0740796
a15	0.219225	0.197921	0.165301	0.145064	0.074401	0.0472487	0.0233506	0.0168321	0.0162968	0.0233927	0.0288191	0.0250882	0.0170592
a47	0.127629	0.158469	0.141099	0.153685	0.10436	0.0754209	0.0450981	0.0332326	0.0293718	0.0353848	0.0400699	0.0344734	0.0217073
a15	0.0980339	0.127318	0.140059	0.158171	0.114853	0.0830062	0.0522418	0.0368801	0.0331931	0.0425921	0.0449212	0.0409159	0.0278146
a79	0.0701646	0.0964225	0.119639	0.131195	0.116073	0.0979537	0.0720517	0.052676	0.0446191	0.0480238	0.0511573	0.0544539	0.0455707
a44	0.09758	0.103935	0.119893	0.140648	0.114101	0.101429	0.066988	0.0552384	0.049692	0.044626	0.03325	0.036454	0.0361659
a75	0.0896526	0.103569	0.126968	0.134079	0.120896	0.110213	0.084496	0.068462	0.0556676	0.0374625	0.0218926	0.0222658	0.0243758
a85	0.055221	0.0676174	0.10537	0.134094	0.130758	0.125666	0.0868661	0.0761587	0.0637881	0.0462193	0.0316145	0.036873	0.0397534
a47	0.0250239	0.0342213	0.0707718	0.110013	0.124288	0.131422	0.0937124	0.0920622	0.085644	0.0746048	0.0468891	0.0521475	0.0591995
a36	0.0334023	0.039772	0.0748931	0.122096	0.140261	0.146348	0.110347	0.0948088	0.0726169	0.0431825	0.0345885	0.0395037	0.0481806
a26	0.0302825	0.0265266	0.0445506	0.0809514	0.126424	0.15505	0.130763	0.110496	0.079606	0.0456157	0.0395713	0.0506256	0.079537
a44	0.0144763	0.0123831	0.0150797	0.0259951	0.0556196	0.121356	0.158793	0.177837	0.13663	0.0860725	0.0677561	0.060587	0.0674144
a96	0.0155001	0.0110824	0.0114844	0.0184848	0.039388	0.0877712	0.113686	0.139023	0.116187	0.0836024	0.0783842	0.102787	0.18262
a70	0.0167489	0.0131725	0.0148242	0.0216536	0.042371	0.0855932	0.109027	0.122115	0.101814	0.0809009	0.0784263	0.113781	0.199573
a13	0.0131519	0.011217	0.0128514	0.0194878	0.0317363	0.0679686	0.108561	0.149412	0.124661	0.104486	0.0927265	0.108276	0.155465
a57	0.017407	0.0139465	0.0158089	0.0241148	0.0379107	0.0815765	0.13396	0.195644	0.151507	0.0908264	0.0714971	0.0741882	0.0916129
a3	0.0127965	0.0114305	0.013086	0.0198593	0.0347741	0.0920167	0.141042	0.21246	0.172578	0.110845	0.0744117	0.0552031	0.0494961
a99	0.0339652	0.0266145	0.0224226	0.026168	0.0388065	0.0885179	0.115373	0.169278	0.158219	0.137122	0.08581	0.0524425	0.0452609
a87	0.0866582	0.0606019	0.0330095	0.0297315	0.031793	0.0594015	0.0644908	0.081707	0.0996088	0.141965	0.136894	0.0921651	0.081974
a23	0.0752706	0.0602027	0.039425	0.0388664	0.0496593	0.0835472	0.0720485	0.0771695	0.0967604	0.165252	0.12972	0.0684525	0.0436252
a83	0.0247523	0.0210041	0.0194355	0.02175	0.0303197	0.0460994	0.041096	0.0430486	0.0607974	0.13613	0.235895	0.166794	0.152877
a44	0.00424505	0.00384651	0.0051511	0.00979986	0.0182811	0.033466	0.0252842	0.0273551	0.0398909	0.139573	0.249616	0.223928	0.219564
a90	0.00811996	0.00672385	0.00746558	0.0136894	0.0258893	0.0462237	0.031374	0.031852	0.0367778	0.082303	0.145616	0.22494	0.339025
a25	0.00194547	0.0019109	0.00328601	0.00919828	0.0198627	0.0390508	0.0287548	0.0328944	0.0357926	0.0834897	0.179628	0.251863	0.312323
a92	0.00142649	0.00152756	0.00274215	0.00760426	0.0164191	0.0351116	0.0282853	0.0326167	0.0362334	0.0949461	0.199905	0.245615	0.297567
a56	0.00290812	0.00271363	0.00376943	0.00719139	0.0162751	0.0388035	0.0413983	0.0570586	0.0604927	0.127819	0.219141	0.2061	0.21633
a21	0.00202135	0.00188599	0.00270106	0.00460351	0.00951899	0.0219392	0.0247795	0.0340125	0.0365207	0.0909341	0.218219	0.259669	0.293195
a85	0.0012331	0.00110651	0.00172642	0.00275553	0.00587568	0.0135186	0.0161063	0.0251029	0.0283003	0.0702166	0.168268	0.280743	0.385047
