 	le	cabri	a	des	testicules	comme	ceux	de	l'	homme	</S>
a66	0.144898	0.132942	0.190438	0.154772	0.0968218	0.0700119	0.0813958	0.0613884	0.0344379	0.0199318	0.0129624
a87	0.0626116	0.0404081	0.0443918	0.0816201	0.0855031	0.13345	0.182115	0.150739	0.101552	0.068307	0.0493016
a10	0.24879	0.167578	0.180222	0.155845	0.134931	0.063414	0.0175702	0.00830541	0.00708843	0.00742456	0.00883169
a87	0.231139	0.215476	0.234379	0.11647	0.125818	0.0526696	0.0103414	0.0038275	0.00297822	0.00310704	0.0037944
a23	0.220708	0.207591	0.215588	0.134198	0.132192	0.059522	0.0127275	0.00523973	0.00371568	0.00386277	0.00465615
a66	0.246881	0.210467	0.232163	0.129996	0.101863	0.038352	0.0100939	0.00716025	0.00641542	0.00736427	0.00924436
a90	0.185391	0.173511	0.259018	0.13991	0.073662	0.0361677	0.0170846	0.0187729	0.0243632	0.0309376	0.0411828
a92	0.173298	0.159735	0.207596	0.124231	0.115757	0.0613534	0.0388505	0.0312175	0.0287912	0.0263661	0.0328042
a56	0.0604132	0.0823259	0.148934	0.164175	0.258462	0.127325	0.0621588	0.0353118	0.0247177	0.0178394	0.0183378
a75	0.0716137	0.0641723	0.0892883	0.104465	0.187903	0.192771	0.128063	0.0663595	0.0402863	0.0281653	0.0269136
a37	0.0610064	0.064264	0.099349	0.123835	0.194237	0.171311	0.121609	0.0699114	0.0387415	0.0284573	0.0272785
a85	0.0432641	0.0340062	0.0414643	0.0638166	0.11271	0.246611	0.204013	0.115723	0.0581591	0.0414932	0.0387395
a47	0.044136	0.0361704	0.0411071	0.0707043	0.108846	0.145152	0.154963	0.142023	0.10346	0.0814458	0.0719926
a98	0.0285386	0.018741	0.0142624	0.0236066	0.0461168	0.100733	0.165366	0.214626	0.147746	0.118495	0.121768
a92	0.0221634	0.0136613	0.0120053	0.0216924	0.0380795	0.0841278	0.144775	0.205155	0.181746	0.145229	0.131365
a98	0.0189446	0.01119	0.00934513	0.0129503	0.0225062	0.0690831	0.14532	0.224089	0.215718	0.157125	0.113728
a15	0.00555272	0.00297951	0.00217228	0.00308292	0.00537339	0.0318681	0.106947	0.20798	0.257774	0.207154	0.169117
a36	0.00215139	0.000927244	0.000591319	0.000738868	0.00112538	0.00783132	0.0403216	0.11556	0.226693	0.281748	0.322312
a47	0.00594793	0.00281208	0.00184391	0.00160115	0.00149457	0.0029737	0.0147993	0.0689698	0.163232	0.264498	0.471828
a79	0.000797599	0.000290111	0.000170895	0.000159389	0.000191689	0.000654881	0.00760654	0.0589465	0.173301	0.295498	0.462383
a44	0.00049072	0.0001758	9.6387e-05	9.68963e-05	0.000113853	0.000567768	0.00676893	0.0506186	0.152701	0.293427	0.494943
a57	0.00250788	0.00089406	0.000407779	0.000315416	0.000249376	0.000952283	0.00668815	0.0443829	0.136769	0.304485	0.502349
a3	0.00837351	0.00522626	0.00322991	0.00332774	0.00199045	0.00299421	0.00846001	0.0334214	0.114971	0.287906	0.5301
a10	0.0736832	0.053537	0.0675357	0.0905572	0.0615674	0.0354884	0.0383034	0.0574883	0.0952151	0.153808	0.272816
a87	0.111143	0.0981304	0.0991864	0.106374	0.0935972	0.0705846	0.0556429	0.0653133	0.0809371	0.10149	0.117601
a23	0.0809261	0.0757276	0.0740769	0.0814645	0.0872951	0.0971648	0.0951259	0.0990558	0.103793	0.106068	0.0993025
a87	0.0432583	0.0382713	0.0403842	0.0624458	0.0574418	0.0458449	0.0634001	0.100622	0.14711	0.187456	0.213766
a23	0.0116648	0.00950573	0.0113785	0.023873	0.0210063	0.0190115	0.0373252	0.0753075	0.158681	0.258559	0.373688
a87	0.0162196	0.0150415	0.0197531	0.0481544	0.0478454	0.0411959	0.0644291	0.0880308	0.145389	0.214528	0.299413
a23	0.0178902	0.0176605	0.0214531	0.03262	0.024036	0.0237124	0.0467491	0.0871554	0.160256	0.23633	0.332137
a87	0.0214418	0.0209926	0.0254776	0.0533709	0.0540508	0.0535896	0.0759737	0.0940408	0.14159	0.198808	0.260663
a23	0.0162094	0.0149843	0.0182646	0.0294805	0.0213084	0.0262145	0.0571894	0.108128	0.16764	0.233282	0.307298
</S>	0.0286447	0.0238044	0.0278862	0.0519959	0.0460423	0.0476577	0.0682404	0.0882364	0.13901	0.203667	0.274815
