 	mon	oncle	m'	a	reproché	de	ne	pas	l'	avoir	invité	au	mariage	de	ma	fille	</S>
a66	0.116096	0.114256	0.13656	0.116685	0.0988702	0.0800504	0.090382	0.0725365	0.0520808	0.031786	0.0254545	0.0231459	0.0161978	0.00778562	0.00646439	0.00579981	0.00584964
a87	0.133377	0.0814153	0.0804483	0.103184	0.0703283	0.0946261	0.102462	0.0655514	0.0313895	0.0202628	0.02668	0.0302158	0.03163	0.0238915	0.0296232	0.036136	0.0387784
a10	0.334779	0.143564	0.111789	0.094843	0.0407042	0.0317409	0.0338411	0.0220587	0.0188254	0.0139562	0.0179181	0.0198818	0.0171819	0.0148393	0.0187288	0.028527	0.0368211
a87	0.29184	0.176883	0.146882	0.102833	0.0796115	0.0245562	0.0259	0.0152325	0.0120516	0.0102585	0.0140057	0.0174682	0.0147613	0.0127979	0.0143898	0.0204233	0.0201053
a23	0.234195	0.160792	0.135531	0.0977778	0.0807201	0.0258992	0.0301125	0.0192011	0.0157302	0.0142469	0.0202692	0.0256423	0.0222876	0.0216337	0.0257373	0.0366252	0.0335982
a87	0.251309	0.162511	0.144504	0.104195	0.12525	0.0273416	0.0237325	0.0147426	0.0147733	0.0139247	0.0167638	0.0181506	0.0151363	0.0156649	0.016659	0.0169885	0.0183547
a23	0.263502	0.174787	0.137959	0.0921263	0.106263	0.0254744	0.0243003	0.0151361	0.0177094	0.0161553	0.0195102	0.019533	0.0140835	0.0164793	0.0186554	0.0191771	0.0191491
a9	0.229608	0.178159	0.123844	0.0788474	0.10364	0.0257874	0.0258061	0.0202861	0.0253483	0.0232	0.0263641	0.0231142	0.0175355	0.0206782	0.0257261	0.0242146	0.0278406
a30	0.215282	0.187432	0.12883	0.0871006	0.117333	0.034318	0.0332463	0.0222613	0.0244213	0.0218229	0.0235313	0.0193678	0.0132341	0.0144685	0.0191881	0.0177742	0.0203881
a53	0.249921	0.182963	0.128729	0.0828127	0.122763	0.0299676	0.0287334	0.0196355	0.0211041	0.0193838	0.020066	0.0161644	0.0108754	0.0126549	0.0164188	0.0172307	0.0205771
a90	0.258126	0.173455	0.113713	0.0864631	0.160833	0.0431737	0.0380471	0.0186652	0.0155726	0.0123022	0.0156525	0.013136	0.00820557	0.00816779	0.0120723	0.0103992	0.012016
a44	0.117183	0.106044	0.0897997	0.11466	0.27997	0.075694	0.0548325	0.0241869	0.0176302	0.0147661	0.0177461	0.018316	0.0131886	0.0119249	0.0149252	0.0130875	0.0160464
a76	0.0805067	0.0853454	0.0803679	0.118159	0.311997	0.0847264	0.058766	0.0248166	0.0179538	0.0158131	0.0191323	0.0210356	0.0158847	0.0139848	0.0166589	0.0150762	0.0197758
a69	0.0559324	0.0711064	0.0756217	0.123645	0.224909	0.0924906	0.0792653	0.0414182	0.0258935	0.0218286	0.0257532	0.0285631	0.0255631	0.0249575	0.0291771	0.0240036	0.0298712
a58	0.0413351	0.0592674	0.0661222	0.111894	0.212615	0.0989583	0.0765866	0.0379316	0.0251646	0.0221708	0.0266789	0.0307213	0.0282714	0.0292159	0.0372486	0.0377664	0.0580516
a75	0.0431561	0.0669525	0.0784494	0.123858	0.255461	0.10245	0.0737426	0.0332798	0.0238203	0.0215801	0.0233383	0.0245049	0.0194827	0.0186566	0.0217442	0.0256345	0.0438893
a5	0.0335381	0.0554961	0.0665385	0.109525	0.191553	0.0903735	0.0784344	0.0507487	0.033777	0.0292245	0.0301916	0.0373448	0.0343869	0.029965	0.0316861	0.0370279	0.0601893
a96	0.0362361	0.056238	0.0707415	0.126853	0.190914	0.0932554	0.0841679	0.062931	0.0407912	0.0342016	0.0294003	0.0354536	0.032799	0.0252567	0.023997	0.0246816	0.0320821
a75	0.0238418	0.0480632	0.0761408	0.145352	0.196411	0.093733	0.0854209	0.0624517	0.0429846	0.0365288	0.0310747	0.0338565	0.0284722	0.0219642	0.0207947	0.0231886	0.0297213
a79	0.0120273	0.0270441	0.0481435	0.107936	0.139382	0.0797082	0.0790258	0.0664444	0.0482579	0.0476259	0.041548	0.0540195	0.0527291	0.0443527	0.0419688	0.047419	0.0623682
