 	de	la	manière	qu'	elle	fait	goûter	ses	plats	aux	gens	ils	ne	coûtent	pas	cher	</S>
a66	0.135538	0.0944876	0.0660745	0.0659984	0.0836319	0.10257	0.103365	0.0629498	0.0533347	0.0688707	0.0707093	0.0321607	0.0244849	0.0117406	0.00570109	0.00872867	0.00965434
a87	0.160346	0.0959625	0.0665544	0.0750394	0.0559677	0.0965057	0.107415	0.0536112	0.115591	0.0651786	0.0301645	0.0129094	0.00907722	0.00988204	0.00903302	0.0179892	0.0187728
a23	0.299215	0.171991	0.127257	0.096711	0.0626264	0.0721741	0.0580599	0.0264692	0.0260229	0.0170538	0.0104523	0.0065135	0.00468807	0.00429635	0.00319127	0.0058972	0.00738028
a18	0.21529	0.156059	0.16461	0.0923077	0.0501095	0.0617843	0.0536841	0.0388214	0.0611622	0.0360361	0.0177828	0.00735761	0.00547571	0.00487821	0.00622212	0.0130937	0.0153266
a44	0.205713	0.152672	0.168061	0.115915	0.0671327	0.072699	0.0476354	0.0276976	0.0334757	0.024054	0.0131374	0.00719386	0.00733821	0.00783788	0.0108021	0.018027	0.020609
a36	0.30053	0.166887	0.122917	0.0893195	0.0680918	0.0698638	0.0449627	0.0281744	0.0185012	0.018034	0.0130189	0.00774046	0.00734932	0.00832696	0.00959508	0.01343	0.0132585
a37	0.283769	0.218459	0.140308	0.0931801	0.0562323	0.0466597	0.0312806	0.0172883	0.0125843	0.0114883	0.00790251	0.00611222	0.00854805	0.0136845	0.0143955	0.0204806	0.0176269
a61	0.245934	0.216045	0.139915	0.0930297	0.0540621	0.0420985	0.0301732	0.0195192	0.0174622	0.0142354	0.00979457	0.007996	0.0126284	0.0230512	0.0232712	0.0279822	0.0228025
a0	0.157139	0.175875	0.164099	0.130713	0.0856516	0.0638735	0.0467645	0.0308164	0.0291128	0.0219384	0.0151247	0.0102537	0.0123056	0.016303	0.0132106	0.0141995	0.0126209
a24	0.0946172	0.116154	0.129626	0.130918	0.0972821	0.0798887	0.060738	0.0501554	0.0591356	0.0394069	0.0279366	0.0158616	0.0171291	0.0223367	0.0175523	0.0215253	0.0197365
a31	0.060547	0.0692932	0.0820922	0.098851	0.0865164	0.0850321	0.0793633	0.0812073	0.108181	0.0707732	0.0520044	0.0229888	0.0193376	0.0213741	0.0165627	0.0233051	0.0225708
a21	0.0452351	0.0510029	0.0639795	0.101074	0.101797	0.0970897	0.0936203	0.0924403	0.100213	0.0784532	0.0667222	0.0286941	0.0215668	0.0186432	0.011361	0.014635	0.0134725
a5	0.0164228	0.0176363	0.0247601	0.0591021	0.0790973	0.0806171	0.102876	0.127665	0.123395	0.108574	0.110947	0.0520764	0.0340889	0.0212708	0.0123341	0.0152475	0.013891
a37	0.00704138	0.0077385	0.0121075	0.0302745	0.0555812	0.0584314	0.088262	0.145138	0.140779	0.124797	0.125092	0.0681366	0.0459605	0.0280153	0.0202537	0.0215987	0.0207919
a92	0.00650714	0.00692168	0.0124167	0.0314725	0.0637054	0.0698858	0.102995	0.161602	0.144663	0.122919	0.110737	0.0463593	0.0299583	0.0198368	0.0190783	0.0237723	0.0271696
a37	0.00461169	0.00460853	0.00696595	0.0175864	0.043024	0.0487575	0.0823662	0.143442	0.0998515	0.12136	0.129282	0.0823935	0.0507352	0.0363944	0.0381551	0.0436498	0.046816
a43	0.00779736	0.00738309	0.0108176	0.0237749	0.0477706	0.0558301	0.0840036	0.135313	0.0938429	0.111421	0.132914	0.0759286	0.0468854	0.0298455	0.033648	0.0470782	0.0557456
a0	0.0146549	0.0123355	0.0160148	0.0295477	0.0514684	0.0550089	0.0651324	0.106427	0.0707407	0.0916962	0.131035	0.101728	0.0679939	0.0380849	0.037353	0.0478258	0.0629528
a75	0.0181436	0.0164375	0.0222055	0.0382603	0.0578487	0.0615911	0.0614851	0.0900387	0.0648434	0.0902671	0.137171	0.115908	0.0779586	0.0375974	0.0272059	0.0344325	0.0486058
a79	0.0020855	0.00196243	0.003192	0.0068417	0.0159509	0.0224572	0.0453002	0.0800303	0.0512787	0.0622193	0.0943703	0.137778	0.0892708	0.0721556	0.0847932	0.0953451	0.134969
a15	0.0034378	0.00328617	0.005124	0.0104157	0.0215326	0.0284281	0.0484943	0.0715383	0.0469685	0.0508934	0.0748928	0.129919	0.0938564	0.0746146	0.0881191	0.104125	0.144354
a44	0.00796806	0.0075306	0.00991143	0.0187534	0.0340525	0.0430116	0.0633916	0.0799445	0.0396879	0.0491923	0.0725018	0.130519	0.100335	0.0793938	0.0746413	0.0844866	0.104679
a98	0.0124145	0.0114084	0.0137137	0.0219458	0.0338814	0.0447867	0.0656248	0.0870006	0.0445213	0.0470042	0.0581292	0.10965	0.0768776	0.0623561	0.072783	0.0988155	0.139087
a92	0.00489383	0.00431578	0.00509656	0.0100313	0.0202053	0.0278875	0.0498302	0.0683991	0.042991	0.0458999	0.0669173	0.115695	0.0901378	0.0777945	0.0857699	0.123806	0.16033
a12	0.00190464	0.00168447	0.00218356	0.00455299	0.0113683	0.017799	0.0392516	0.0642472	0.0389495	0.0413881	0.065248	0.154573	0.12478	0.111123	0.0963549	0.0979483	0.126643
a18	0.00263244	0.00241035	0.00347262	0.00625719	0.0132676	0.0211741	0.0398797	0.0625061	0.0234343	0.022057	0.032402	0.095509	0.0788698	0.0855847	0.10832	0.16279	0.239433
a62	0.021452	0.0197766	0.0260219	0.0347296	0.0465376	0.0622244	0.0718681	0.0863049	0.0323376	0.0257378	0.0275191	0.0589277	0.0497856	0.0457719	0.071076	0.105904	0.214026
a21	0.00355923	0.00282034	0.00387493	0.00643158	0.013175	0.0195994	0.0327603	0.0580682	0.0229771	0.0222053	0.0348272	0.0758727	0.0671378	0.0751344	0.106774	0.183054	0.271729
a47	0.00230694	0.00159492	0.00165346	0.00272991	0.00601404	0.00855925	0.0189087	0.0395157	0.0209159	0.0192029	0.0330867	0.0804748	0.0766367	0.0982303	0.132548	0.192903	0.264719
a62	0.0023058	0.00190095	0.00295643	0.00560394	0.0106792	0.0183962	0.0330292	0.0504638	0.0172246	0.0140156	0.0194451	0.0382175	0.0355092	0.0513983	0.111856	0.217565	0.369433
a47	0.00180358	0.00149065	0.00225146	0.00449597	0.0083864	0.0139752	0.0259317	0.0417775	0.0208428	0.0144766	0.01768	0.0334029	0.0330053	0.0492755	0.107201	0.207994	0.416009
a88	0.00204517	0.00171283	0.00259189	0.00536892	0.00923372	0.0147319	0.0219411	0.0297554	0.0121907	0.00959704	0.0111328	0.0230112	0.0260222	0.0493557	0.123152	0.224043	0.434114
a71	0.00105964	0.000856337	0.00128711	0.0026943	0.00493916	0.00880801	0.0173053	0.0223684	0.0139646	0.00868724	0.00984251	0.0209066	0.0247542	0.0443314	0.111341	0.223972	0.482882
a9	0.00685594	0.00637643	0.00819016	0.0134149	0.0216579	0.0296196	0.0348269	0.0287911	0.00971938	0.00850442	0.0107876	0.0294856	0.038021	0.0763113	0.163873	0.181529	0.332035
a99	0.0278888	0.0246588	0.0276597	0.0384337	0.0465821	0.049414	0.0505981	0.0443104	0.0264888	0.0259737	0.0348325	0.0651101	0.0715832	0.0992235	0.106828	0.102839	0.157575
a87	0.0347588	0.0231304	0.0161382	0.0217073	0.02488	0.0265095	0.0299726	0.0275511	0.0195253	0.0223345	0.0366164	0.101063	0.119737	0.14674	0.116024	0.119978	0.113334
