 	les	poissons	sont	pretsréalisé	fait	accompli	</S>
a66	0.461933	0.270796	0.140614	0.0552448	0.0320257	0.022557	0.01683
a87	0.583291	0.220569	0.0776066	0.0393169	0.0296852	0.0258418	0.0236896
a97	0.43843	0.196906	0.103684	0.0632463	0.0491165	0.0628625	0.0857549
a99	0.417179	0.178282	0.113389	0.0860375	0.0664113	0.0659759	0.0727255
a40	0.335723	0.20071	0.18284	0.127401	0.0702715	0.0413499	0.0417058
a54	0.669468	0.230622	0.0593312	0.0163045	0.00920206	0.00641835	0.00865369
a56	0.596324	0.267693	0.0861299	0.0243837	0.0127041	0.00662912	0.00613555
a0	0.595002	0.236145	0.0829954	0.0361583	0.0260278	0.0135089	0.0101628
a11	0.503264	0.210743	0.10219	0.0615105	0.0631084	0.0355006	0.0236839
a47	0.332208	0.206097	0.121355	0.0863881	0.111138	0.0790457	0.0637691
a12	0.248542	0.149943	0.091335	0.0761752	0.154154	0.146252	0.133598
a54	0.222549	0.170388	0.116725	0.10638	0.161149	0.118187	0.104622
a47	0.0903357	0.123322	0.129564	0.15786	0.217768	0.154198	0.126954
a98	0.0328165	0.061377	0.0743786	0.101998	0.182718	0.232502	0.31421
a85	0.047326	0.0908155	0.120944	0.159526	0.20622	0.185775	0.189393
a6	0.014445	0.0272211	0.043354	0.100168	0.178199	0.265019	0.371594
a36	0.00956361	0.019487	0.0367325	0.0868604	0.155127	0.253121	0.439109
a21	0.00122458	0.00236106	0.0059723	0.0170495	0.0399252	0.18709	0.746378
a5	0.000795844	0.00155604	0.00392406	0.0137989	0.0290594	0.165732	0.785134
a23	0.000384736	0.000900394	0.00213551	0.0072333	0.0175694	0.151929	0.819848
a5	0.000231675	0.000886463	0.00330596	0.0138159	0.0280188	0.161363	0.792378
a36	0.000246158	0.000862199	0.00331976	0.0168932	0.0397974	0.212129	0.726753
a27	0.00119835	0.00416787	0.00958006	0.0326465	0.0618191	0.212178	0.678411
a82	0.0126736	0.0150757	0.0218108	0.0440238	0.0947536	0.248865	0.562797
a97	0.0969362	0.0590907	0.0555287	0.0743972	0.129564	0.226001	0.358482
a3	0.0561072	0.0371476	0.0378817	0.0588436	0.0965187	0.231728	0.481773
a97	0.0181786	0.0114996	0.0114441	0.0227737	0.0573196	0.274207	0.604578
a9	0.0101474	0.00822884	0.010677	0.0293863	0.0848692	0.304165	0.552526
a97	0.0107256	0.00939471	0.01283	0.0374481	0.0854992	0.283002	0.5611
</S>	0.0175833	0.0167943	0.0194896	0.0410864	0.0851621	0.269422	0.550463
