 	quel	chemin	a	pris	le	chasseur	</S>
a66	0.551175	0.187854	0.0955647	0.0725467	0.0405719	0.0277131	0.0245751
a10	0.539413	0.131492	0.0785632	0.0645282	0.0556735	0.0573551	0.0729747
a53	0.506175	0.193438	0.091978	0.0555863	0.0405769	0.049116	0.0631296
a93	0.705063	0.160724	0.0573365	0.0344851	0.0169658	0.0123197	0.0131051
a4	0.533761	0.26998	0.104145	0.0489215	0.0206031	0.012366	0.0102227
a44	0.398109	0.295337	0.172186	0.0791574	0.0290962	0.0145236	0.0115904
a21	0.308622	0.291347	0.203955	0.101435	0.0449926	0.0265922	0.023056
a47	0.276184	0.235225	0.197298	0.1296	0.0747027	0.046853	0.0401367
a75	0.187346	0.205608	0.213822	0.159738	0.10739	0.0689252	0.0571719
a79	0.106896	0.165786	0.181465	0.16282	0.16171	0.124627	0.0966957
a37	0.0932181	0.179195	0.218188	0.193323	0.14668	0.0945469	0.0748491
a93	0.0794453	0.149769	0.208194	0.194981	0.147274	0.111027	0.109309
a4	0.0331767	0.0783429	0.15654	0.206504	0.206354	0.166195	0.152888
a58	0.0107817	0.0243497	0.075	0.168089	0.238874	0.244289	0.238617
a53	0.0028128	0.00546372	0.0177975	0.0620769	0.15876	0.317333	0.435756
a93	0.00165249	0.0050687	0.0179133	0.0660211	0.187465	0.344169	0.37771
a90	0.000719716	0.00199791	0.0078565	0.0362658	0.137955	0.349568	0.465637
a4	0.000601871	0.00193478	0.00749775	0.0308672	0.112048	0.331288	0.515761
a13	0.000496246	0.00139326	0.00473647	0.0199162	0.0865889	0.325135	0.561734
a3	0.000368718	0.000863125	0.00291719	0.0142472	0.0687511	0.298521	0.614331
a9	0.0528015	0.0395006	0.0540228	0.0867843	0.128822	0.23334	0.404729
a10	0.260768	0.145971	0.122729	0.111721	0.10102	0.112388	0.145402
a87	0.203552	0.126461	0.116316	0.111756	0.119932	0.147493	0.174491
a97	0.140367	0.11324	0.121388	0.124093	0.14034	0.174216	0.186356
a87	0.0335653	0.027176	0.0380253	0.0574602	0.13136	0.283013	0.4294
a97	0.0309417	0.0220167	0.0331671	0.0607778	0.13272	0.282398	0.437979
</S>	0.0445936	0.0393788	0.0640235	0.0924122	0.146876	0.245954	0.366762
