 	ingobha	haït	les	enfants	des	autres	parce	qu'	elle	est	stérile	</S>
a23	0.143104	0.138736	0.100872	0.0951686	0.102092	0.100407	0.108289	0.0733157	0.0435291	0.0393642	0.03019	0.0249322
a87	0.478547	0.120872	0.0695365	0.0605865	0.0475272	0.0462637	0.051126	0.032776	0.0162658	0.0201212	0.0247511	0.031627
a10	0.368751	0.173109	0.0823146	0.0576144	0.0416645	0.0356623	0.0409819	0.0318626	0.0230302	0.0300926	0.0465526	0.0683637
a87	0.377935	0.168873	0.0763334	0.0522428	0.037058	0.03066	0.0371056	0.0303704	0.0259913	0.034493	0.0523145	0.0766225
a23	0.304336	0.15328	0.078022	0.0582331	0.0454829	0.0405008	0.0479483	0.0409492	0.0377219	0.0479826	0.0662452	0.0792984
a83	0.344958	0.143575	0.0795305	0.0624345	0.0483267	0.0357714	0.0429209	0.0364243	0.028265	0.0431746	0.0592514	0.075368
a93	0.26355	0.133629	0.0693193	0.0583329	0.0544075	0.0461043	0.0597336	0.0522839	0.0464678	0.0594937	0.0671308	0.0895472
a90	0.296466	0.153158	0.0749539	0.0596816	0.0523245	0.0454669	0.0553076	0.0473185	0.037788	0.0464938	0.0527257	0.0783153
a98	0.172285	0.132534	0.0933952	0.0788446	0.0749171	0.0671833	0.0664918	0.0577664	0.0471698	0.0522234	0.0608134	0.0963756
a85	0.148262	0.134281	0.106253	0.0899119	0.0894877	0.0809849	0.0753311	0.0625092	0.0492087	0.0450878	0.0480444	0.0706374
a37	0.160754	0.160926	0.114358	0.0943863	0.0929812	0.0903496	0.0813046	0.0593011	0.0408067	0.0315652	0.029551	0.0437164
a66	0.133752	0.147926	0.111236	0.098841	0.0990008	0.0942811	0.0840746	0.0634749	0.0439717	0.0388714	0.0360841	0.0484857
a62	0.10641	0.134423	0.102498	0.0934365	0.0905854	0.0889822	0.0854407	0.0708625	0.0561835	0.0544113	0.0550135	0.0617533
a21	0.101785	0.146368	0.108342	0.098662	0.0939287	0.095439	0.0851074	0.0678679	0.0517742	0.0459843	0.048364	0.0563767
a85	0.0869972	0.142911	0.115375	0.0980834	0.0927216	0.0927245	0.0842671	0.0712544	0.0592801	0.048748	0.050173	0.0574641
a7	0.0800771	0.146893	0.123337	0.100569	0.102104	0.099118	0.0775888	0.0655471	0.0549248	0.0422743	0.0471542	0.0604126
a98	0.0620863	0.139386	0.137352	0.126703	0.115136	0.114401	0.0776914	0.0605948	0.0462067	0.0307122	0.0357149	0.0540157
a85	0.0642627	0.126619	0.13449	0.119037	0.115512	0.108353	0.0765898	0.0642073	0.0524721	0.0353734	0.0401697	0.0629124
a37	0.0546191	0.10815	0.112985	0.105421	0.109673	0.107049	0.0774733	0.0731505	0.0702212	0.0526769	0.0591489	0.0694314
a98	0.0600903	0.128905	0.155193	0.143925	0.125013	0.106771	0.0697046	0.0582113	0.046991	0.031113	0.0307196	0.0433627
a85	0.0503157	0.099642	0.121668	0.107894	0.101366	0.091004	0.0647373	0.0683714	0.0719212	0.0569094	0.0696717	0.0964992
a37	0.0481507	0.0916524	0.104463	0.0917108	0.0884319	0.0802809	0.0576337	0.06415	0.0734786	0.0641907	0.0945763	0.141281
a66	0.0777324	0.119301	0.136001	0.119755	0.106959	0.0911869	0.0579989	0.0558943	0.0546962	0.0422979	0.0513867	0.086791
a62	0.0737843	0.0905379	0.155617	0.144193	0.110717	0.0811891	0.048189	0.0500302	0.051305	0.0474202	0.0557489	0.0912675
a21	0.0447025	0.0725161	0.108455	0.100328	0.0929703	0.081197	0.0632902	0.0808589	0.0963023	0.0911807	0.0858984	0.0823012
a6	0.0539555	0.078133	0.111875	0.106523	0.0998637	0.0826945	0.0591778	0.068806	0.0839292	0.0791554	0.0858101	0.0900767
a36	0.0469034	0.0617947	0.0908409	0.089499	0.0868906	0.0770878	0.0486489	0.0571045	0.0675245	0.0642625	0.112122	0.197321
a2	0.0871013	0.0911719	0.112587	0.0979737	0.0847711	0.0731688	0.0463285	0.0525476	0.0599804	0.0610774	0.0898438	0.143449
a57	0.0873281	0.077819	0.112767	0.0985097	0.0878286	0.0613778	0.0316253	0.029223	0.0298932	0.0410575	0.101564	0.241007
a10	0.15119	0.102987	0.114554	0.0885799	0.0787358	0.060037	0.0368338	0.0360201	0.034341	0.0486664	0.0915541	0.156502
a24	0.127461	0.113521	0.106739	0.0782152	0.0689113	0.0536945	0.0404311	0.044749	0.0531963	0.0801278	0.109974	0.12298
a61	0.125018	0.100135	0.102312	0.0752504	0.0722208	0.058105	0.0437969	0.051193	0.0575254	0.0797734	0.107562	0.127108
a75	0.0108003	0.0128035	0.019758	0.0168716	0.0180564	0.0171692	0.0161235	0.0271697	0.0376316	0.0753167	0.216353	0.531947
a25	0.0229271	0.0362649	0.0550671	0.0481882	0.0476856	0.0390486	0.0276737	0.0409892	0.0580514	0.0888558	0.195835	0.339413
a92	0.0119362	0.0174913	0.0321152	0.0275234	0.0290152	0.0216276	0.0142872	0.0242138	0.0400741	0.0785376	0.23107	0.472108
a37	0.0140751	0.0237595	0.0431668	0.0404716	0.0414975	0.0320335	0.022762	0.0353862	0.0572393	0.0911441	0.21285	0.385615
a21	0.00871817	0.012218	0.0280314	0.0252444	0.0251109	0.0198277	0.0135236	0.0225349	0.0387716	0.0783518	0.23426	0.493408
a47	0.0122588	0.016393	0.0325013	0.0261606	0.0259858	0.020561	0.0172715	0.0283094	0.0469357	0.0980368	0.258587	0.416999
a62	0.0121547	0.014677	0.0311102	0.0253336	0.0248112	0.0209848	0.0150012	0.0247717	0.0366556	0.0765951	0.223485	0.49442
a93	0.00974117	0.0121213	0.0249944	0.0208493	0.0208603	0.0186704	0.0154157	0.0267488	0.0424933	0.0887407	0.247077	0.472288
a13	0.00514216	0.00730826	0.016163	0.0142951	0.0133767	0.0123524	0.00983326	0.01877	0.0330232	0.0708507	0.232486	0.566399
a83	0.00524712	0.0052806	0.0130487	0.0122908	0.0118184	0.00853266	0.00573408	0.0099039	0.0179741	0.0485857	0.215609	0.645975
a44	0.0105079	0.00840686	0.0177946	0.0166862	0.0166553	0.011625	0.00760106	0.0124678	0.0218294	0.0516298	0.217066	0.60773
a57	0.00321385	0.00282646	0.00636336	0.00582572	0.0055876	0.00452233	0.00328719	0.00623282	0.0114712	0.0343373	0.190425	0.725907
a87	0.0266293	0.0229016	0.0392821	0.0360416	0.0375818	0.0265064	0.0155038	0.0227209	0.0352173	0.0608277	0.192817	0.48397
a23	0.111095	0.104134	0.0947337	0.0696992	0.0669255	0.0514111	0.0328753	0.0350356	0.0407297	0.0566897	0.126748	0.209923
a87	0.0826916	0.0652018	0.080254	0.0640208	0.0572831	0.0491579	0.0324094	0.0352927	0.0383055	0.0575474	0.155468	0.282368
a23	0.0602804	0.070744	0.0953133	0.0698963	0.0664811	0.0472011	0.0264989	0.0305373	0.0355247	0.0490904	0.125015	0.323417
a87	0.0622322	0.0723088	0.0909141	0.0639223	0.0528383	0.0401146	0.02339	0.026612	0.0319582	0.0505811	0.145142	0.339986
</S>	0.0604866	0.0593714	0.0685986	0.0471907	0.0415271	0.0317722	0.0205377	0.025757	0.0335736	0.0536322	0.152789	0.404764
