 	le	barrage	de	mon	oncle	a	des	nasses	de	type	kooro	</S>
a66	0.191951	0.177523	0.152328	0.129473	0.117536	0.0904926	0.0514802	0.0260239	0.0168741	0.0146662	0.0156658	0.0159872
a10	0.31974	0.189944	0.160978	0.115585	0.0719401	0.0451881	0.0253701	0.0133121	0.0137877	0.0166079	0.0142085	0.0133388
a87	0.26545	0.16644	0.158621	0.140698	0.103237	0.0616685	0.0287623	0.0129801	0.0115459	0.0160293	0.0192681	0.0153008
a23	0.205776	0.140872	0.145522	0.135843	0.112106	0.0749779	0.0461581	0.0254487	0.0230389	0.0267685	0.037965	0.0255243
a99	0.0892318	0.0542682	0.0634081	0.0693001	0.0644467	0.0670926	0.0639277	0.0650963	0.0978867	0.137667	0.13173	0.0959454
a54	0.064675	0.0348268	0.0500754	0.0613016	0.0622948	0.0587155	0.0585199	0.0712865	0.115876	0.154846	0.138425	0.129156
a6	0.141378	0.114326	0.128513	0.127825	0.115718	0.0897176	0.0757451	0.0540748	0.053062	0.0435637	0.025961	0.0301168
a37	0.123554	0.117332	0.148105	0.130703	0.101562	0.0862875	0.0819025	0.0629876	0.061051	0.0407488	0.0241595	0.0216072
a6	0.0903659	0.0798784	0.118883	0.141024	0.13928	0.09566	0.0638218	0.0454883	0.0525715	0.0630609	0.0622753	0.0476913
a47	0.0416462	0.0451095	0.0748856	0.105523	0.133783	0.115478	0.0870805	0.0649903	0.0721061	0.0789925	0.102002	0.0784024
a79	0.0484261	0.0501863	0.0811882	0.112225	0.128211	0.106087	0.0695738	0.0522316	0.0622303	0.0767157	0.113402	0.0995234
a90	0.0717207	0.0703156	0.090929	0.104263	0.117247	0.0863373	0.0505591	0.0353879	0.0403873	0.0767728	0.141838	0.114242
a92	0.100744	0.108257	0.12352	0.123479	0.118413	0.0875391	0.0496252	0.0333883	0.0328407	0.0530477	0.0938411	0.0753066
a79	0.0330147	0.0427912	0.0616286	0.077384	0.0961155	0.0918747	0.0689439	0.061261	0.0661804	0.0950196	0.164313	0.141474
a90	0.0195212	0.0281168	0.0422359	0.0574099	0.0854216	0.106531	0.101011	0.0864372	0.0796508	0.0947642	0.154288	0.144611
a44	0.0238053	0.0307753	0.0380723	0.0457946	0.0706673	0.088847	0.0916121	0.0924029	0.0789356	0.107659	0.173063	0.158366
a37	0.0116121	0.0143722	0.0155207	0.0157281	0.0270146	0.0442768	0.0577506	0.0826655	0.08801	0.143153	0.25122	0.248676
a75	0.00291353	0.00372551	0.00388129	0.00348367	0.00481026	0.0087233	0.0143476	0.032872	0.0570601	0.172813	0.3197	0.37567
a98	0.00101281	0.00157601	0.00182675	0.00214222	0.00419006	0.0100029	0.0241297	0.061959	0.101885	0.16833	0.335033	0.287913
a47	0.000420611	0.000705448	0.000924228	0.0011605	0.00233103	0.00556422	0.0158573	0.0486504	0.0986021	0.175006	0.327555	0.323223
a7	0.000434775	0.000688035	0.000888598	0.00123246	0.00191231	0.00425748	0.0136742	0.0482299	0.0984751	0.149723	0.306153	0.374332
a90	0.00100009	0.00148515	0.0013038	0.00127381	0.00158175	0.00248597	0.00576393	0.0234354	0.06197	0.167491	0.3552	0.37701
a93	0.000954915	0.00157168	0.0016476	0.00194104	0.00290448	0.0059565	0.0144072	0.0434005	0.0811155	0.15417	0.340853	0.351077
a4	0.000542976	0.000894045	0.000851336	0.000884361	0.00103443	0.00173864	0.00411306	0.0185359	0.0514732	0.149908	0.353206	0.416817
a57	0.000767477	0.00119434	0.00109723	0.00121337	0.00140184	0.00217067	0.0047668	0.0168105	0.0400065	0.131464	0.389027	0.41008
a3	0.00458781	0.00582876	0.0038092	0.00306724	0.0029542	0.00460646	0.00805522	0.0206402	0.043542	0.127663	0.38092	0.394325
a87	0.159698	0.164389	0.131168	0.100084	0.0458257	0.0390679	0.0369506	0.0432943	0.0548016	0.0520477	0.0971296	0.0755433
a23	0.205664	0.189497	0.139269	0.100095	0.0570729	0.0472395	0.0399374	0.038742	0.0439514	0.039279	0.0666121	0.03264
a99	0.0544538	0.0492006	0.0397019	0.0302353	0.0194351	0.0213617	0.0372944	0.0631494	0.117158	0.162415	0.25534	0.150255
a30	0.0334975	0.02716	0.0220479	0.019169	0.0177164	0.0225413	0.0378013	0.0533122	0.0946922	0.176301	0.280948	0.214813
a27	0.0102733	0.0101919	0.0113463	0.0163251	0.0236897	0.0277344	0.034617	0.0372338	0.0615114	0.15983	0.326261	0.280986
</S>	0.0268141	0.0299175	0.0313578	0.0410644	0.0457774	0.0471272	0.0530731	0.0487372	0.0695283	0.146823	0.247785	0.211995
