 	celle	qui	l'	embrasse	c'	est	sa	femme	</S>
a66	0.254873	0.151505	0.102171	0.0908977	0.0657326	0.0736564	0.0971129	0.0933997	0.0706518
a87	0.281161	0.16011	0.109659	0.0954601	0.117037	0.123393	0.0644389	0.0296245	0.0191162
a23	0.265529	0.214256	0.156527	0.192995	0.0941991	0.0372851	0.0188519	0.0116904	0.00866598
a53	0.261979	0.233347	0.155883	0.203236	0.0680842	0.02771	0.0156009	0.0152043	0.0189561
a90	0.274879	0.220562	0.118939	0.216843	0.0712296	0.0369823	0.020463	0.0184582	0.0216446
a94	0.254227	0.210382	0.157093	0.268941	0.0603091	0.02456	0.0100656	0.00740063	0.00702163
a90	0.111438	0.14172	0.168028	0.246406	0.135202	0.0935741	0.0461401	0.0307561	0.0267356
a12	0.0499054	0.0819066	0.129287	0.197781	0.160133	0.155146	0.0931614	0.0702865	0.0623926
a35	0.0489018	0.0559592	0.0986524	0.136353	0.168777	0.214565	0.121961	0.0816798	0.0731503
a56	0.0304468	0.0357511	0.06197	0.0801768	0.152278	0.246597	0.178633	0.114785	0.0993609
a76	0.0212446	0.0188963	0.0276124	0.0349603	0.106491	0.242132	0.233223	0.167154	0.148287
a15	0.022402	0.0212904	0.0269109	0.029727	0.07103	0.159138	0.242206	0.222931	0.204364
a92	0.00564366	0.00764806	0.00909746	0.010206	0.0396272	0.143929	0.26615	0.267019	0.25068
a41	0.0016267	0.00195366	0.0024176	0.00393586	0.0186293	0.104965	0.295415	0.303753	0.267305
a85	0.00067715	0.000865984	0.00103994	0.00172281	0.0100863	0.0599107	0.238177	0.353683	0.333837
a0	0.000927988	0.00151743	0.00176702	0.00351218	0.00969665	0.0367824	0.142175	0.361322	0.442299
a43	0.000134739	0.000207887	0.000233328	0.000445424	0.00204887	0.0116484	0.0890402	0.351773	0.544468
a0	0.000350124	0.000617385	0.000705059	0.00153331	0.00525116	0.019312	0.0825161	0.27951	0.610204
a9	0.00430876	0.00755645	0.00899203	0.0136014	0.022151	0.0481573	0.114874	0.263383	0.516977
a10	0.049268	0.0533104	0.0563577	0.0769258	0.0658697	0.0967138	0.123408	0.175361	0.302786
a87	0.149684	0.147514	0.159569	0.215784	0.108824	0.0719596	0.0540193	0.0462702	0.0463772
a23	0.0847584	0.0920402	0.113992	0.220452	0.121474	0.0907103	0.0865559	0.100586	0.0894321
a87	0.0210545	0.0281286	0.0277507	0.0399448	0.0413156	0.0508179	0.119413	0.287825	0.38375
a97	0.00689607	0.0138654	0.0155235	0.0305004	0.0413143	0.0654622	0.139262	0.280816	0.40636
</S>	0.042337	0.0839302	0.0856244	0.151042	0.111077	0.100078	0.101197	0.145238	0.179478
