 	les	gens	sont	déçus	du	fait	qu'	il	n'	y	a	pas	eu	de	gibier	pour	commémorer	la	mort	du	notable	</S>
a66	0.135654	0.10768	0.107864	0.0358069	0.0452769	0.0762812	0.087663	0.0589559	0.060128	0.0612136	0.0472171	0.0393732	0.0237998	0.0199672	0.0249195	0.01674	0.0149982	0.00979349	0.00801178	0.00655537	0.00620147	0.00589908
a82	0.155331	0.136346	0.140965	0.0828739	0.0698558	0.0537225	0.0441458	0.0257432	0.0249958	0.0236079	0.019482	0.0174377	0.0177016	0.0201036	0.0186478	0.0184053	0.0175745	0.0178266	0.0170411	0.0194952	0.0247196	0.0339785
a30	0.252564	0.203793	0.178423	0.0520853	0.0219167	0.0142377	0.0120238	0.00860183	0.00921556	0.00970227	0.00798398	0.00731616	0.00701365	0.00862709	0.0102099	0.0122187	0.0395306	0.0297388	0.0266821	0.0250542	0.0335039	0.0295586
a3	0.21077	0.185932	0.188103	0.0658732	0.0255532	0.0174975	0.0130411	0.00969266	0.0121921	0.01492	0.0139452	0.0140244	0.0130824	0.014649	0.016311	0.0153252	0.043097	0.0305611	0.0260214	0.0226856	0.0250119	0.021712
a99	0.14156	0.130153	0.139203	0.0669996	0.0355079	0.0240908	0.0190591	0.0162632	0.0199376	0.0236018	0.0231111	0.023068	0.0211461	0.0227556	0.0238183	0.0208357	0.0604611	0.047751	0.0397963	0.0344943	0.0392836	0.0271039
a54	0.104862	0.109569	0.156884	0.108771	0.0479265	0.0259668	0.0197836	0.021523	0.0259623	0.0339178	0.0374918	0.0390469	0.0320856	0.0265324	0.0226924	0.0165043	0.0511793	0.0334343	0.023729	0.0212192	0.0228166	0.0181018
a85	0.115413	0.133454	0.155769	0.208707	0.133764	0.0657289	0.0425793	0.021098	0.0160901	0.018012	0.0169939	0.0153896	0.0103133	0.00813131	0.00691696	0.00466456	0.00455166	0.00421381	0.00431908	0.00403296	0.00522869	0.00462854
a5	0.0844656	0.108671	0.110121	0.215302	0.18725	0.125004	0.0597261	0.0204997	0.0149756	0.0144411	0.0119915	0.00981228	0.00643523	0.00500847	0.00429444	0.00309807	0.00267357	0.00286594	0.00310598	0.0028567	0.00370782	0.00369331
a12	0.0485298	0.0548747	0.0605602	0.219161	0.268447	0.152969	0.0664488	0.0253611	0.0194513	0.0178912	0.0139044	0.0111065	0.00744528	0.00571214	0.00582915	0.00435753	0.0039167	0.00339428	0.00289532	0.0025087	0.00267369	0.00256244
a18	0.0387204	0.0426026	0.0471887	0.200327	0.229723	0.170713	0.0825921	0.0363186	0.0284932	0.0238626	0.0172506	0.0130837	0.00907692	0.00728947	0.00841235	0.00804849	0.00824167	0.0065456	0.00607332	0.00482819	0.00518199	0.00542613
a75	0.0330234	0.0390804	0.0424343	0.162988	0.210831	0.176295	0.0959074	0.0442553	0.0337255	0.0251707	0.0172713	0.0130261	0.00997335	0.00880332	0.00978112	0.011247	0.0122531	0.00980453	0.010348	0.00871285	0.0110656	0.0140019
a25	0.033292	0.0381545	0.0416327	0.11378	0.163992	0.160224	0.0945155	0.0534046	0.0449532	0.0351727	0.026012	0.0205202	0.0165503	0.0158561	0.0194374	0.0233616	0.0168717	0.015608	0.0152228	0.0138237	0.0168541	0.02076
a56	0.0316029	0.0366389	0.0378416	0.0595001	0.0997668	0.145539	0.105673	0.067791	0.0575113	0.0418863	0.0307201	0.0255105	0.0225515	0.0233263	0.0289377	0.0363271	0.0254409	0.0221883	0.0218002	0.0201565	0.0243563	0.0349335
a34	0.0345158	0.0348134	0.0317024	0.0367488	0.0921025	0.164395	0.136443	0.0733725	0.0575092	0.0416738	0.0290806	0.0231547	0.0195616	0.0196863	0.0227169	0.0268829	0.0228968	0.0204262	0.0215739	0.0201408	0.0291352	0.0414677
a61	0.0203403	0.0214579	0.0214392	0.0253868	0.0540874	0.130497	0.138141	0.0893121	0.074211	0.0535087	0.037401	0.0300252	0.025228	0.0243698	0.0272514	0.0321943	0.0280331	0.0261275	0.0278086	0.0261309	0.036396	0.0506524
a31	0.0103672	0.0112382	0.0117762	0.0136372	0.0253931	0.0750636	0.114444	0.106121	0.0973913	0.071404	0.0506456	0.0405486	0.0336328	0.0316636	0.0364939	0.0439275	0.0366926	0.0336357	0.0341471	0.0309118	0.0391178	0.0517467
a61	0.00820845	0.00891059	0.00872328	0.0104026	0.0175555	0.054359	0.104201	0.128915	0.125228	0.091756	0.0636458	0.0496641	0.0375408	0.0324981	0.0372254	0.0430644	0.0390037	0.0297788	0.0266784	0.0229907	0.0255639	0.0340864
a47	0.00624671	0.00667624	0.00666107	0.00764497	0.0119054	0.0379983	0.0848457	0.131299	0.133683	0.101144	0.0717358	0.0558729	0.0419073	0.0347349	0.039988	0.0453145	0.0437746	0.0309182	0.0269804	0.022723	0.0244175	0.0335286
a62	0.00522395	0.00593413	0.00587509	0.00844741	0.0141978	0.0411933	0.0873857	0.140088	0.146343	0.111163	0.0777382	0.0619824	0.0458186	0.0369736	0.0409351	0.0430546	0.0343524	0.0209101	0.0168321	0.0142025	0.0163418	0.0250074
a96	0.00389368	0.00394064	0.00381911	0.00392143	0.006537	0.0193871	0.0485241	0.104586	0.126429	0.106862	0.0848765	0.0718694	0.0579746	0.0468535	0.0539012	0.0579768	0.0541687	0.0378319	0.0309542	0.0227662	0.022396	0.0305312
a98	0.00281452	0.00286106	0.00253492	0.00332795	0.00617105	0.0191574	0.0409765	0.0964509	0.126444	0.106602	0.0838309	0.0681756	0.0553857	0.0442957	0.0499797	0.056304	0.0612721	0.0373436	0.0308611	0.0262623	0.030757	0.0481915
