 	lorsque	la	femme	accouche	ses	seins	deviennent	gros	</S>
a66	0.188398	0.160892	0.146334	0.227239	0.172636	0.0719124	0.01724	0.00814899	0.00720041
a87	0.272226	0.153808	0.167498	0.117652	0.108325	0.0551438	0.0370946	0.0429619	0.0452913
a23	0.310698	0.163882	0.152458	0.0940515	0.059067	0.0500333	0.0384062	0.0525836	0.0788203
a30	0.412464	0.221168	0.1528	0.0657251	0.0320617	0.0298932	0.0225242	0.0225184	0.0408445
a94	0.301464	0.185616	0.116489	0.102506	0.0721696	0.068783	0.048929	0.0454659	0.0585777
a96	0.433496	0.239658	0.0992097	0.0652771	0.0367794	0.0388085	0.0271014	0.0254671	0.0342028
a93	0.432666	0.26147	0.124876	0.0666165	0.0304516	0.0303986	0.0186196	0.0156005	0.0193018
a90	0.333562	0.244366	0.155758	0.0913032	0.0471197	0.0421375	0.0279818	0.0251353	0.0326361
a15	0.26428	0.234932	0.16218	0.0915365	0.0497842	0.0537606	0.0445524	0.0423813	0.0565929
a7	0.195113	0.203776	0.155242	0.100011	0.062247	0.0671453	0.0602587	0.0660585	0.0901495
a90	0.191933	0.195991	0.155408	0.113915	0.0612294	0.0621562	0.0543366	0.0636088	0.101421
a56	0.17009	0.163869	0.149378	0.124712	0.0767764	0.0760805	0.0605429	0.0691124	0.109439
a94	0.218741	0.22838	0.193247	0.145382	0.0710859	0.0464592	0.0269575	0.0273769	0.0423701
a57	0.140986	0.194958	0.214417	0.153913	0.0887588	0.0610333	0.0376021	0.0417471	0.0665851
a25	0.0860585	0.12805	0.196318	0.160206	0.112431	0.0800814	0.0600661	0.0700023	0.106786
a57	0.0631292	0.0936159	0.171354	0.185177	0.153023	0.100357	0.0662139	0.0671294	0.100001
a87	0.0918363	0.12822	0.184321	0.146369	0.104184	0.090921	0.0728265	0.0731592	0.108164
a40	0.107049	0.107223	0.109074	0.0763605	0.0661854	0.0912089	0.0990082	0.130794	0.213097
a47	0.0301326	0.0365707	0.0464319	0.032644	0.0602479	0.130353	0.157759	0.18994	0.315921
a7	0.0710602	0.0946381	0.102365	0.0798786	0.0959524	0.143625	0.0997816	0.112383	0.200317
a21	0.053888	0.064094	0.0785771	0.0753418	0.105833	0.154509	0.112682	0.129387	0.225688
a92	0.0678068	0.100871	0.112601	0.110448	0.116632	0.144158	0.113704	0.102341	0.131439
a98	0.0385248	0.056703	0.0934496	0.101294	0.106446	0.139902	0.122416	0.142412	0.198853
a47	0.0326741	0.0511388	0.0809721	0.0863268	0.0831968	0.120139	0.137678	0.175774	0.232101
a85	0.0204416	0.0275206	0.038913	0.0476219	0.0575995	0.0990764	0.157274	0.222582	0.328971
a92	0.0116992	0.0185548	0.0266576	0.0325599	0.0347618	0.0623367	0.143842	0.27245	0.397138
a85	0.00957281	0.0163692	0.0286669	0.0390269	0.0494778	0.0826087	0.168194	0.259896	0.346187
a6	0.00650208	0.0109494	0.0195695	0.0228497	0.0275344	0.0534177	0.141185	0.28684	0.431152
a36	0.00602856	0.00931635	0.0182229	0.02826	0.0407965	0.0714405	0.166865	0.271309	0.387761
a37	0.00656484	0.00648727	0.0145255	0.0184053	0.0287727	0.0412909	0.118219	0.275245	0.49049
a70	0.00384369	0.00379209	0.00777379	0.0111123	0.0233267	0.0391248	0.122499	0.283601	0.504926
a13	0.00228406	0.00208701	0.00341849	0.00441378	0.0107344	0.0195994	0.0872251	0.289473	0.580765
a4	0.00582793	0.00473684	0.00551071	0.00982627	0.0301968	0.0516168	0.147042	0.273413	0.47183
a13	0.00156167	0.0014225	0.00207407	0.00258625	0.00812183	0.0170316	0.0910764	0.326397	0.549729
a38	0.00168983	0.00132998	0.00184161	0.00252302	0.0098156	0.0204643	0.0995789	0.295347	0.56741
a13	0.00302582	0.00226342	0.00300144	0.00318748	0.00969558	0.0187324	0.0832619	0.26913	0.607702
a3	0.0162986	0.0113023	0.0127479	0.0132685	0.030111	0.0473664	0.120282	0.248535	0.500089
a99	0.0552227	0.0345472	0.0383632	0.0464217	0.0733317	0.0821619	0.133223	0.215331	0.321397
a9	0.0816449	0.058333	0.0647509	0.071983	0.0824471	0.0806723	0.120201	0.180451	0.259517
a10	0.0871828	0.0692995	0.0816071	0.0983004	0.110574	0.0930605	0.11895	0.150061	0.190965
a87	0.0754385	0.0666851	0.0836864	0.104262	0.119291	0.0947764	0.112745	0.1494	0.193716
a23	0.0680286	0.0595556	0.0887919	0.112037	0.12331	0.0901411	0.105583	0.147803	0.204749
a99	0.0364902	0.0235408	0.0359667	0.0289114	0.030933	0.0381191	0.0834264	0.202451	0.520162
a97	0.0355899	0.028045	0.0470198	0.0320883	0.0319701	0.0432441	0.0876358	0.193732	0.500675
a38	0.0392749	0.0358236	0.0478057	0.0313031	0.0252199	0.0296724	0.0628737	0.18534	0.542687
a37	0.0382265	0.0325196	0.0482866	0.0265824	0.025283	0.0345416	0.0747165	0.195356	0.524487
</S>	0.0519562	0.0456488	0.0634659	0.0429379	0.0446221	0.0598818	0.0991455	0.184867	0.407475
