 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
a87	0.232764	0.168636	0.158313	0.150582	0.103103	0.0606017	0.032811	0.0279286	0.0291943	0.0360659
a23	0.208344	0.159454	0.100272	0.0933944	0.0735037	0.060731	0.0459036	0.0650477	0.0861809	0.10717
a53	0.173523	0.179459	0.131431	0.0936274	0.0604909	0.0447905	0.0417945	0.0613157	0.0987734	0.114795
a15	0.379982	0.251525	0.119716	0.0476661	0.0375022	0.0345398	0.0335687	0.0288516	0.0317481	0.0349012
a73	0.369431	0.226725	0.171814	0.0936617	0.0504426	0.032815	0.0217376	0.0116276	0.0117838	0.00996148
a56	0.307515	0.231756	0.180238	0.116318	0.0630577	0.0359558	0.0234388	0.0142524	0.0148858	0.0125831
a98	0.21187	0.197082	0.205728	0.179973	0.0885398	0.0384239	0.0231031	0.0162762	0.0203419	0.0186609
a14	0.121739	0.150103	0.183159	0.204195	0.12722	0.0649293	0.0405553	0.0326069	0.038821	0.036671
a41	0.126593	0.152523	0.182968	0.206985	0.120706	0.0605332	0.0397026	0.0345275	0.0388484	0.0366131
a32	0.104715	0.13498	0.169379	0.198591	0.129913	0.0719465	0.0520357	0.0444446	0.0479232	0.0460712
a11	0.0943116	0.129933	0.178335	0.235776	0.147392	0.0655485	0.0393433	0.0329962	0.0376852	0.0386788
a62	0.0783335	0.123212	0.169769	0.226269	0.174347	0.0726317	0.0366514	0.0313562	0.0408661	0.0465641
a21	0.063867	0.101656	0.140475	0.208226	0.215041	0.1066	0.0450441	0.033127	0.0408791	0.0450839
a85	0.0869232	0.102477	0.132469	0.190423	0.190624	0.118054	0.0595856	0.0410402	0.0402507	0.0381535
a41	0.101425	0.105632	0.115833	0.143025	0.131842	0.092155	0.0649777	0.0663593	0.0829286	0.0958227
a27	0.0963654	0.0959149	0.0945553	0.102494	0.0999684	0.0794481	0.0757796	0.0907993	0.115831	0.148844
a11	0.0655723	0.0904407	0.0751336	0.0632496	0.0834943	0.0834784	0.0784516	0.0966332	0.147715	0.215831
a75	0.0545858	0.0732086	0.0658962	0.0588371	0.0913815	0.101113	0.0940778	0.102928	0.14821	0.209761
a41	0.0462689	0.0537094	0.0540398	0.0621277	0.0782406	0.0773506	0.0931796	0.127873	0.175343	0.231867
a96	0.031157	0.0374502	0.0399108	0.0459358	0.0583833	0.0675985	0.0891976	0.147764	0.207067	0.275536
a38	0.0415383	0.0489124	0.055378	0.0723105	0.0896133	0.107884	0.124943	0.125204	0.150707	0.183509
a24	0.038736	0.0442851	0.0466689	0.0569596	0.0705269	0.0864768	0.119611	0.13989	0.178381	0.218465
a94	0.0289339	0.0328183	0.0330377	0.0412608	0.0489784	0.063695	0.11012	0.160645	0.214807	0.265705
a90	0.0427793	0.0456429	0.0425347	0.0472547	0.0537518	0.0618858	0.0996208	0.140399	0.196551	0.26958
a76	0.0381507	0.0431613	0.0434832	0.0486388	0.0633897	0.0723322	0.106595	0.133399	0.186646	0.264205
a94	0.0487434	0.0516426	0.0495902	0.0525381	0.0607503	0.0658502	0.0827558	0.113807	0.180267	0.294056
a90	0.0221221	0.0278215	0.0272038	0.0324538	0.0410142	0.0520702	0.0856598	0.146634	0.231711	0.33331
a56	0.0259977	0.0315653	0.0279488	0.0267551	0.0414339	0.0591479	0.101145	0.152503	0.216717	0.316786
a94	0.0372828	0.0402162	0.0341364	0.0354808	0.0409621	0.0501833	0.0836327	0.14157	0.212139	0.324396
a98	0.030472	0.0346258	0.0297609	0.0308061	0.0375507	0.0484163	0.0793035	0.139772	0.215702	0.353591
a73	0.021611	0.0248889	0.0232072	0.0227169	0.0275721	0.0346339	0.0630709	0.138457	0.247594	0.396249
a44	0.0233761	0.0297534	0.0275517	0.0275605	0.031767	0.0344362	0.0575305	0.123769	0.232512	0.411743
a84	0.0265253	0.0330364	0.0315407	0.0329988	0.0362643	0.0375964	0.0576636	0.118078	0.220335	0.405961
a58	0.00684574	0.00988551	0.00852521	0.00882175	0.0141687	0.0206062	0.0395829	0.109082	0.247839	0.534643
a93	0.00581349	0.00872965	0.00777676	0.00773547	0.011362	0.0191328	0.0379777	0.111566	0.25812	0.531786
a32	0.0104273	0.0124792	0.00890677	0.00781583	0.0106522	0.0175829	0.0361136	0.106849	0.256564	0.532609
a54	0.0087097	0.0106682	0.00782467	0.0078133	0.0089685	0.013049	0.0292281	0.103685	0.263526	0.546527
a73	0.0218683	0.0238845	0.0154148	0.0117807	0.0140378	0.0216936	0.0458384	0.125232	0.24088	0.479371
a84	0.00951499	0.01106	0.0071745	0.00550636	0.00776722	0.0134309	0.0324228	0.104579	0.244326	0.564218
a87	0.00200624	0.00274954	0.00199293	0.00230241	0.00327996	0.0057929	0.0193247	0.103644	0.298915	0.559993
</S>	0.004641	0.0042851	0.00242356	0.00175641	0.00275974	0.00711789	0.0246282	0.122497	0.306579	0.523313
