 	j'	ai	découvert	le	sentier	d'	une	antilope	dans	la	forêt	nommée	lebhee	</S>
a66	0.0668561	0.0437092	0.0481901	0.0642849	0.067393	0.08861	0.105677	0.121151	0.114675	0.115008	0.120391	0.0306351	0.00883102	0.00458759
a87	0.355366	0.174857	0.12134	0.0492631	0.0196345	0.0223189	0.0359216	0.0459477	0.0454121	0.045238	0.0506788	0.0163593	0.0120188	0.00564373
a23	0.304463	0.256933	0.150701	0.0540384	0.0297017	0.0238902	0.0261779	0.0280388	0.0245822	0.0225767	0.0244231	0.0227559	0.0209579	0.0107605
a18	0.363734	0.284947	0.128029	0.0485288	0.0357255	0.021942	0.0157526	0.0168651	0.0125571	0.0112047	0.0148318	0.014707	0.0179807	0.0131944
a50	0.25531	0.17396	0.163436	0.110313	0.0620356	0.0412468	0.0311362	0.033731	0.019877	0.0167883	0.0220808	0.015922	0.0293679	0.024796
a88	0.388722	0.244715	0.0975528	0.096072	0.0485351	0.0329603	0.0195727	0.0165582	0.0126182	0.0106802	0.0135693	0.00771201	0.00688261	0.00384976
a38	0.25116	0.24016	0.149582	0.150505	0.0672862	0.0397824	0.0211383	0.0163555	0.0122432	0.0101101	0.0149252	0.0134497	0.00835107	0.00495187
a70	0.123358	0.130102	0.185959	0.212805	0.108084	0.0594533	0.0344442	0.0288422	0.0204375	0.0171441	0.0230176	0.0300384	0.014886	0.0114287
a96	0.086148	0.0965969	0.200471	0.223594	0.125166	0.0759799	0.0472676	0.0401792	0.0286672	0.0222769	0.0255063	0.0156598	0.00620105	0.006286
a62	0.0545154	0.0639718	0.172364	0.212551	0.145893	0.091524	0.058196	0.0511128	0.0401298	0.0338516	0.038333	0.0170035	0.0090857	0.0114678
a61	0.0297971	0.0328505	0.114595	0.170187	0.166032	0.115978	0.085785	0.0781632	0.0642792	0.0540744	0.0570737	0.0146589	0.00717967	0.00934634
a34	0.0159749	0.0168704	0.0636343	0.122148	0.170813	0.1237	0.0965665	0.087362	0.0815041	0.0813376	0.0930377	0.021095	0.0117006	0.0142549
a93	0.0100744	0.0104203	0.0344358	0.0785165	0.144773	0.121823	0.104873	0.0959684	0.102798	0.109985	0.127877	0.0254897	0.0146727	0.0182933
a96	0.00895373	0.00869857	0.0260633	0.0607838	0.134834	0.11381	0.10636	0.0990304	0.108227	0.121387	0.13803	0.0345779	0.0176838	0.0215618
a93	0.00758336	0.00715198	0.0164871	0.0369858	0.121127	0.11249	0.106411	0.098611	0.112534	0.133459	0.146194	0.0454837	0.0265161	0.0289664
a56	0.00882923	0.00817096	0.0165892	0.031471	0.108666	0.0967539	0.0931777	0.0898467	0.107973	0.135617	0.14519	0.0749363	0.0467786	0.035999
a75	0.00588228	0.0053602	0.00873999	0.017633	0.0727689	0.0767839	0.0759154	0.0730546	0.095645	0.131766	0.143095	0.0983516	0.0901529	0.10485
a79	0.00231856	0.00187701	0.00258431	0.00555613	0.0250509	0.0338139	0.0384303	0.0395945	0.0598893	0.0851929	0.104782	0.111224	0.17282	0.316868
a37	0.00124775	0.000959664	0.00138927	0.00323434	0.0185767	0.0245247	0.0280983	0.0293553	0.0427423	0.0578254	0.0761645	0.150764	0.233265	0.331852
a70	0.00197	0.00174938	0.00248077	0.00427383	0.0248248	0.0281057	0.0267929	0.0272578	0.028554	0.034219	0.0457852	0.0942011	0.283341	0.396444
a44	0.00097956	0.000918102	0.00139446	0.00208675	0.00886366	0.00927436	0.00975003	0.011533	0.0114134	0.0126917	0.0156054	0.0484679	0.351394	0.515627
a70	0.000483181	0.000420918	0.000609525	0.000900489	0.00419283	0.00474533	0.00543336	0.00700676	0.00767197	0.00849802	0.0100646	0.0326372	0.310395	0.606941
a11	0.000228855	0.000199031	0.000322609	0.000398806	0.00135578	0.00166244	0.00247035	0.00388185	0.00388421	0.00341113	0.00360396	0.0134945	0.208789	0.756297
a0	0.00171566	0.00156335	0.00195004	0.00202156	0.00480981	0.00740759	0.0105535	0.0142005	0.0104144	0.0061702	0.00528514	0.0148961	0.192779	0.726233
a75	0.0018706	0.00179205	0.00213191	0.00249914	0.00567395	0.00734067	0.00925295	0.0111143	0.00789819	0.00482382	0.00445855	0.014235	0.194859	0.73205
a21	5.53322e-05	3.88539e-05	5.04401e-05	5.59088e-05	0.00018611	0.000272237	0.000430564	0.000753796	0.00148087	0.00245177	0.00373452	0.0230032	0.237373	0.730114
a5	6.83398e-05	4.58978e-05	5.46837e-05	6.98223e-05	0.000220808	0.000306964	0.000445794	0.000745295	0.00114612	0.00156471	0.00249187	0.0166009	0.210449	0.765789
a21	6.87217e-05	5.4433e-05	6.72075e-05	8.35145e-05	0.000362237	0.000482044	0.000663984	0.00101398	0.0014929	0.00174438	0.00221118	0.0108732	0.17982	0.801062
a12	0.00013924	0.000114703	0.000129464	0.000158924	0.000410721	0.000512973	0.000683907	0.00102221	0.00140509	0.00165975	0.00200131	0.00992778	0.167498	0.814336
a18	0.000185851	0.000160406	0.00021377	0.0002377	0.000533613	0.000583515	0.0007308	0.00107123	0.00138511	0.00162556	0.00203697	0.0077277	0.1503	0.833208
