 	les	vagues	ballottent	la	pirogue	</S>
a23	0.500084	0.244974	0.113619	0.0561037	0.0358438	0.0493746
a70	0.567001	0.213021	0.101077	0.0545992	0.0313221	0.0329805
a38	0.521128	0.217267	0.146568	0.0597044	0.023876	0.0314566
a41	0.416907	0.319088	0.188342	0.0508109	0.0148762	0.00997647
a94	0.29183	0.394444	0.228183	0.0534224	0.0195268	0.0125937
a24	0.32809	0.408795	0.179172	0.0450575	0.0213029	0.017582
a41	0.281036	0.351557	0.237311	0.0745917	0.032859	0.0226454
a58	0.21929	0.248522	0.264752	0.138477	0.0703825	0.0585764
a82	0.08674	0.119914	0.273048	0.216942	0.154385	0.148971
a87	0.0889677	0.124164	0.161259	0.13025	0.1874	0.307959
a23	0.122196	0.163197	0.242421	0.174901	0.146469	0.150815
a24	0.0661964	0.0667694	0.122066	0.184887	0.256596	0.303485
a41	0.084637	0.130577	0.258612	0.222224	0.164114	0.139835
a98	0.0497565	0.0639973	0.164441	0.219644	0.255356	0.246804
a38	0.038645	0.0393056	0.0849577	0.165978	0.293063	0.378051
a24	0.0194148	0.0196883	0.0544325	0.137758	0.298124	0.470583
a32	0.0149888	0.0144304	0.0367234	0.109906	0.279161	0.544791
a11	0.0055702	0.00499852	0.0127928	0.0561829	0.247404	0.673052
a75	0.00574855	0.00490881	0.011543	0.0465511	0.227308	0.70394
a41	0.00569927	0.00342749	0.00646588	0.0326795	0.211055	0.740673
a26	0.00468666	0.00263155	0.00776894	0.0388111	0.218198	0.727904
a98	0.00482904	0.00321172	0.00884245	0.0318539	0.166308	0.784955
a41	0.00434427	0.00217088	0.0100392	0.0463532	0.192921	0.744171
a24	0.00358271	0.00196232	0.00763186	0.0350877	0.177346	0.774389
a98	0.00486484	0.00275523	0.00973182	0.0461779	0.195904	0.740566
a71	0.00670947	0.0038631	0.014982	0.0623743	0.234083	0.677989
a3	0.00927691	0.003982	0.0138551	0.0629233	0.231216	0.678746
a87	0.0268971	0.00833697	0.0159978	0.059692	0.19744	0.691636
</S>	0.046252	0.0190077	0.0279487	0.08598	0.239418	0.581394
