 	il	va	récolter	le	miel	</S>
a10	0.270072	0.202157	0.181017	0.126992	0.101387	0.118375
a82	0.177317	0.161845	0.168424	0.150745	0.160612	0.181057
a10	0.279748	0.213785	0.160682	0.108744	0.106024	0.131017
a87	0.271023	0.210106	0.159556	0.120749	0.108386	0.13018
a79	0.339969	0.243879	0.152991	0.0982757	0.0823458	0.082539
a20	0.297175	0.253962	0.213493	0.0960863	0.0651205	0.0741632
a35	0.415746	0.304282	0.149929	0.0535047	0.0397698	0.0367688
a30	0.394787	0.321938	0.182746	0.054277	0.0271234	0.0191291
a14	0.393468	0.329135	0.165961	0.0677939	0.0262087	0.0174339
a35	0.387095	0.324114	0.160502	0.0805843	0.0294366	0.0182682
a26	0.334626	0.303434	0.176608	0.108251	0.0469595	0.0301214
a38	0.336032	0.253017	0.171702	0.124325	0.0684472	0.046477
a76	0.274038	0.267323	0.196556	0.14864	0.0710188	0.0424247
a94	0.170943	0.195803	0.225089	0.196605	0.121966	0.0895943
a57	0.0909256	0.101434	0.192144	0.238243	0.212205	0.165048
a79	0.0328523	0.0513845	0.139562	0.247911	0.255916	0.272374
a53	0.0370178	0.060277	0.181484	0.253646	0.222711	0.244865
a90	0.0294314	0.0433992	0.124508	0.186816	0.281242	0.334604
a76	0.0304786	0.0433958	0.108869	0.159985	0.270451	0.386821
a14	0.0262141	0.0451146	0.0910939	0.129469	0.249241	0.458867
a35	0.0200752	0.0374416	0.0864946	0.126469	0.25224	0.47728
a66	0.0142823	0.0279551	0.0828005	0.109147	0.22347	0.542346
a11	0.0115983	0.0212021	0.0520079	0.0942752	0.21618	0.604737
a94	0.00821105	0.0152785	0.0328248	0.0731606	0.205694	0.664831
a56	0.00406211	0.00859072	0.0201135	0.0547922	0.20493	0.707511
a62	0.00336999	0.00744501	0.020816	0.0524665	0.199545	0.716358
a83	0.00414547	0.00866185	0.0239923	0.0567429	0.197207	0.70925
a25	0.00882184	0.0181215	0.0379818	0.0758978	0.217402	0.641775
a87	0.0199976	0.0351732	0.0664121	0.0994899	0.21307	0.565857
</S>	0.0276098	0.0488433	0.0841068	0.108792	0.19353	0.537118
