 	sur	le	chemin	de	l'	école	les	jeunes	garçons	provoquent	les	jeunes	filles	</S>
a66	0.0501655	0.0438875	0.0431169	0.0460291	0.0606391	0.0986763	0.17987	0.295493	0.13967	0.0242967	0.00886252	0.00392997	0.00263675	0.00272679
a87	0.240364	0.157736	0.0814349	0.0789321	0.0780885	0.0985998	0.0956912	0.0830136	0.0318555	0.0122699	0.0076595	0.00926863	0.0111545	0.0139321
a23	0.214195	0.161177	0.123969	0.12836	0.112391	0.0850817	0.0569876	0.038463	0.0230209	0.00881237	0.00853092	0.0101364	0.012002	0.0168731
a87	0.189842	0.165694	0.136163	0.13068	0.115048	0.0950813	0.0563579	0.0175232	0.0115894	0.0110825	0.012681	0.0152388	0.0186551	0.0243644
a23	0.152388	0.140917	0.147135	0.143757	0.135825	0.0971471	0.0590334	0.0268625	0.0146423	0.0125465	0.0142967	0.0154909	0.0184591	0.0214997
a99	0.161982	0.145397	0.127741	0.117056	0.101514	0.0830785	0.0493887	0.0231978	0.0285029	0.0244656	0.0253798	0.0318366	0.0372837	0.0431759
a40	0.100992	0.0989611	0.0879801	0.0850284	0.0808147	0.0982779	0.114914	0.0910311	0.0720105	0.0302007	0.022873	0.0326576	0.0386383	0.0456202
a36	0.143608	0.140061	0.100516	0.0838266	0.068645	0.0967475	0.126293	0.122211	0.0475717	0.0173992	0.0116076	0.0140572	0.0131151	0.0143414
a37	0.164134	0.190791	0.116713	0.0994878	0.0725688	0.0965025	0.10809	0.0619386	0.0211085	0.0141411	0.0129292	0.0148892	0.0134342	0.0132719
a54	0.143416	0.158287	0.11226	0.115512	0.100733	0.104934	0.093701	0.057281	0.0282957	0.0236128	0.0190872	0.0163603	0.0126627	0.0138568
a47	0.0729332	0.0862912	0.0703311	0.0828969	0.0773751	0.109555	0.120813	0.099271	0.0752638	0.0643376	0.0456881	0.0349704	0.0291348	0.0311389
a7	0.0798003	0.0929461	0.0716199	0.0804569	0.0741283	0.105268	0.128368	0.0996815	0.0624804	0.0535557	0.0425372	0.0363054	0.0328886	0.0399639
a54	0.115763	0.122071	0.10242	0.110089	0.101266	0.107564	0.109486	0.0866247	0.0416465	0.0279156	0.0199506	0.0165567	0.0160487	0.0225995
a47	0.0534707	0.0580015	0.0691429	0.0811094	0.0900868	0.110964	0.135667	0.111238	0.0768606	0.0636316	0.0437997	0.0305838	0.0318754	0.0435685
a36	0.0648844	0.0649299	0.0748414	0.0832536	0.0895569	0.111258	0.145577	0.131588	0.0613018	0.0482656	0.0312226	0.0245038	0.0291648	0.0396524
a2	0.0392393	0.0362102	0.0433701	0.0547421	0.0654705	0.074616	0.109276	0.14851	0.107453	0.0943425	0.0606808	0.0408536	0.0492166	0.0760194
a54	0.0406393	0.0349493	0.0449631	0.0607314	0.0846794	0.0700863	0.101079	0.134616	0.109858	0.0933272	0.0520884	0.0395426	0.0541939	0.0792456
a47	0.0101821	0.0102522	0.0136845	0.019402	0.0262466	0.0413342	0.0738852	0.10655	0.1025	0.106651	0.107579	0.110405	0.113933	0.157396
a92	0.0101138	0.00918675	0.0130269	0.0171149	0.0244571	0.0310401	0.0622855	0.12841	0.144076	0.1289	0.10123	0.0744526	0.0963079	0.159398
a79	0.00915815	0.00857225	0.0115993	0.0159403	0.0235729	0.0347962	0.0778407	0.156194	0.138141	0.100537	0.0901036	0.0991442	0.105168	0.129232
a44	0.00374775	0.00343251	0.00480214	0.00686615	0.0107568	0.0148806	0.035156	0.0911635	0.134586	0.137185	0.120377	0.113162	0.131559	0.192326
a98	0.00426435	0.00365779	0.0052385	0.00782277	0.0122552	0.0138458	0.031334	0.0847596	0.139446	0.155873	0.126944	0.104026	0.124321	0.186212
a85	0.00138263	0.0012646	0.00162578	0.00217944	0.0029797	0.00399115	0.00781792	0.0266902	0.07304	0.112536	0.120085	0.132587	0.197263	0.316558
a37	0.00132485	0.0011834	0.00142332	0.00168524	0.00213039	0.00244704	0.00519036	0.0166534	0.0483257	0.0824085	0.0963699	0.12702	0.233443	0.380395
a98	0.00196599	0.00161532	0.0022165	0.00278676	0.00381025	0.00344778	0.00647195	0.0192822	0.0559783	0.108261	0.139611	0.158641	0.191903	0.304008
a47	0.000291124	0.000229654	0.000290993	0.000370189	0.000492508	0.000541551	0.00101723	0.00416899	0.0263802	0.0705827	0.106489	0.161052	0.257258	0.370836
a92	0.000168486	0.000134784	0.000166217	0.000210068	0.000265208	0.000233138	0.000375438	0.0019793	0.0236645	0.0735007	0.134964	0.225005	0.256207	0.283126
a37	0.000356334	0.000269703	0.000365604	0.000402796	0.000511428	0.000518054	0.000929085	0.00388309	0.0265156	0.0748627	0.131467	0.200703	0.242379	0.316836
a70	0.00118517	0.000842375	0.00105344	0.0011202	0.00131693	0.000806612	0.000950435	0.00245304	0.0180533	0.0574761	0.10516	0.165763	0.263183	0.380636
a57	0.00123166	0.000995484	0.00126187	0.0014038	0.00171915	0.000934025	0.000913919	0.00223506	0.014962	0.03405	0.065657	0.126028	0.253609	0.495
a93	0.00134895	0.00100214	0.000917572	0.000992455	0.00118479	0.000527273	0.000479479	0.00162144	0.00961147	0.0290841	0.054409	0.126881	0.264819	0.507121
a56	0.000393997	0.000330033	0.000424029	0.000509313	0.000665612	0.000425171	0.000498373	0.00138211	0.00710269	0.0173503	0.0339972	0.0923544	0.261361	0.583206
a12	0.000289101	0.000249777	0.000338003	0.000407348	0.000543603	0.000349824	0.00040819	0.00117251	0.00558582	0.0128925	0.0270315	0.0840973	0.262228	0.604407
a18	0.000276621	0.000251752	0.000334171	0.000457114	0.000644559	0.000354377	0.000354921	0.00112924	0.00730582	0.0152688	0.0297444	0.0892209	0.279925	0.574733
a53	0.000617988	0.00045837	0.000397129	0.000473173	0.000614952	0.000233583	0.000244904	0.00103982	0.00706397	0.0184426	0.0358094	0.116599	0.303766	0.514239
a44	0.000126063	0.000107833	0.000129637	0.000177178	0.000265934	0.000137227	0.000172099	0.000627337	0.00334327	0.00709357	0.0151654	0.0587308	0.268958	0.644966
a57	0.000179022	0.000151662	0.000176404	0.000238102	0.000352316	0.0001673	0.000186998	0.000691222	0.00459248	0.010473	0.0231241	0.0835236	0.290283	0.585861
a3	0.000745633	0.000548717	0.000358922	0.000389071	0.000449493	0.000173871	0.000193775	0.00121007	0.00716484	0.0176764	0.031739	0.0972262	0.288453	0.553671
a87	0.0140161	0.00848003	0.00514825	0.00428629	0.0040188	0.00305685	0.0039127	0.013894	0.0307647	0.0629639	0.087683	0.143074	0.239076	0.379626
a23	0.176631	0.106465	0.0561943	0.0508978	0.0494615	0.0412335	0.0440029	0.0509534	0.0441755	0.057831	0.0642746	0.0810226	0.0860547	0.090802
a87	0.118919	0.065753	0.0310691	0.0304992	0.029211	0.0130647	0.00853818	0.00762842	0.0104105	0.0259121	0.0479585	0.132846	0.204591	0.273599
</S>	0.0225667	0.0132377	0.00684435	0.00729115	0.0075767	0.00436606	0.0037301	0.00524601	0.0127298	0.0300967	0.051024	0.130609	0.270899	0.433783
