 	l'	oiseau	iswele	se	nourrit	de	piment	</S>
a66	0.374173	0.262457	0.11139	0.065446	0.0563067	0.0475486	0.0522466	0.0304325
a87	0.413399	0.287485	0.131274	0.0889098	0.0466473	0.0171597	0.0104039	0.00472201
a23	0.428098	0.31856	0.129031	0.0558601	0.0283243	0.0138717	0.0142427	0.0120125
a71	0.27042	0.296268	0.253826	0.105957	0.0365724	0.0109125	0.00953765	0.0165053
a9	0.221436	0.260969	0.301239	0.123855	0.0436914	0.0157444	0.0129467	0.0201189
a24	0.280356	0.269268	0.276963	0.105251	0.0306229	0.0138554	0.0121492	0.0115349
a62	0.212402	0.238617	0.279318	0.17062	0.0619389	0.0218923	0.0100865	0.0051253
a21	0.172934	0.264917	0.292842	0.181623	0.0573165	0.0190092	0.00747586	0.00388206
a12	0.118364	0.207561	0.301339	0.219266	0.0959869	0.0357449	0.014028	0.0077092
a62	0.0959334	0.144798	0.289214	0.229046	0.144137	0.0629054	0.021506	0.0124606
a31	0.0784707	0.0957009	0.181284	0.236042	0.228468	0.11291	0.0396117	0.0275134
a21	0.072542	0.0665207	0.118231	0.226232	0.278958	0.151996	0.055145	0.030376
a85	0.0586425	0.0433312	0.0614433	0.124787	0.253518	0.22236	0.128975	0.106944
a92	0.0169132	0.0118604	0.01611	0.0400984	0.154658	0.254227	0.250946	0.255188
a34	0.0222666	0.0107046	0.00968649	0.0249359	0.124957	0.273997	0.280109	0.253343
a96	0.0267421	0.0115196	0.0111676	0.0276697	0.10357	0.231939	0.323605	0.263787
a70	0.0107219	0.00441775	0.0047773	0.011955	0.040429	0.139526	0.370065	0.418108
a57	0.00388379	0.00142259	0.0012665	0.00291048	0.0100301	0.0443025	0.283416	0.652768
a71	0.018068	0.0107871	0.00686206	0.00939514	0.017835	0.0387776	0.206368	0.691907
a9	0.0356752	0.0185514	0.00932635	0.014438	0.0323629	0.0603091	0.213006	0.616331
a87	0.158546	0.079919	0.0266187	0.0321428	0.0700177	0.107543	0.212483	0.31273
a23	0.229921	0.173111	0.0731648	0.0538622	0.0864306	0.0938671	0.138933	0.15071
a99	0.105366	0.0849914	0.0437905	0.0316174	0.0427783	0.0857841	0.263207	0.342465
a84	0.0267299	0.0161881	0.00914144	0.0104603	0.0328656	0.112479	0.319788	0.472347
</S>	0.0281095	0.0183674	0.0111891	0.0119958	0.0338823	0.0915446	0.249079	0.555832
