 	la	cour	de	l'	école	est	plane	</S>
a66	0.334462	0.211554	0.11112	0.0959424	0.10068	0.0803755	0.047809	0.018058
a87	0.320078	0.237566	0.149576	0.110275	0.0771363	0.0526324	0.037036	0.0157009
a23	0.460036	0.251888	0.115204	0.0554253	0.0341538	0.0250251	0.0302755	0.0279926
a97	0.458035	0.2643	0.121286	0.0491631	0.0312837	0.0205934	0.0238459	0.0314927
a99	0.366937	0.233572	0.140219	0.0792107	0.0684946	0.0465139	0.0356796	0.0293731
a54	0.351182	0.242537	0.146207	0.0873634	0.0689248	0.041183	0.0332115	0.0293913
a37	0.245985	0.241586	0.180541	0.124617	0.0868719	0.0501017	0.0427696	0.027529
a21	0.181885	0.231029	0.208453	0.167185	0.119759	0.0494173	0.028284	0.0139887
a5	0.110053	0.162823	0.215913	0.204248	0.178161	0.071618	0.0414219	0.015763
a36	0.0927348	0.124932	0.168909	0.190499	0.207308	0.105567	0.0781206	0.0319292
a15	0.0622597	0.0738342	0.110632	0.156615	0.211842	0.161431	0.147385	0.0760011
a92	0.0315188	0.0436369	0.100154	0.196077	0.264077	0.177053	0.112792	0.0746916
a56	0.0432744	0.0554205	0.0976833	0.163646	0.213182	0.192064	0.152869	0.0818611
a96	0.0520468	0.0557443	0.0888214	0.143743	0.205103	0.203701	0.162898	0.0879441
a31	0.0272448	0.0232496	0.0354152	0.0735319	0.150283	0.235859	0.249304	0.205112
a88	0.015287	0.010846	0.0139816	0.0283214	0.0793178	0.196885	0.276394	0.378968
a71	0.0123978	0.0084011	0.00936968	0.0164595	0.0446238	0.146974	0.259835	0.50194
a75	0.0145156	0.0114193	0.0100642	0.0162916	0.0334248	0.102629	0.237629	0.574027
a12	0.00251023	0.00160974	0.00226361	0.0058644	0.0191798	0.0760681	0.181103	0.711402
a88	0.00264421	0.00180842	0.00241009	0.00596755	0.0177261	0.0750603	0.198468	0.695915
a25	0.00538648	0.0041887	0.00431965	0.00954155	0.019736	0.0636317	0.209823	0.683372
a10	0.0113876	0.00874469	0.00885074	0.0165405	0.0249151	0.0684418	0.222495	0.638624
a87	0.17473	0.0833562	0.0529777	0.0586616	0.0585604	0.090926	0.178232	0.302557
a23	0.432082	0.222228	0.101862	0.062946	0.0418296	0.0401912	0.0469036	0.0519579
a87	0.237289	0.102024	0.0516896	0.0367513	0.0314938	0.0558341	0.117071	0.367847
</S>	0.0513703	0.0240083	0.0169834	0.0215109	0.0317857	0.0827439	0.202279	0.569318
