 	je	me	courbe	pour	puiser	l'	eau	</S>
a66	0.255497	0.179389	0.126988	0.120027	0.145405	0.105216	0.0437613	0.023716
a87	0.42671	0.197351	0.130153	0.100625	0.0889626	0.0357596	0.0128081	0.00763072
a23	0.458374	0.288344	0.155304	0.0501228	0.0253818	0.0107231	0.00617727	0.00557233
a97	0.486217	0.254659	0.148326	0.0513094	0.0242258	0.0111926	0.0101078	0.0139622
a87	0.39619	0.268519	0.183664	0.0737726	0.0404518	0.0153871	0.0107283	0.011287
a23	0.446484	0.258842	0.149051	0.0673397	0.038659	0.0172167	0.0110253	0.0113827
a18	0.440373	0.186331	0.136381	0.0739703	0.0478847	0.0374477	0.0352116	0.0424017
a54	0.278548	0.139978	0.130814	0.0899925	0.0651972	0.091368	0.101833	0.102269
a5	0.333781	0.18015	0.160639	0.0857873	0.0475588	0.0621614	0.0710784	0.0588444
a12	0.121197	0.149026	0.193922	0.155307	0.107244	0.105121	0.0984655	0.0697164
a96	0.0917911	0.129928	0.179892	0.170785	0.150921	0.103545	0.0944998	0.078639
a66	0.0763782	0.130339	0.196848	0.187607	0.161901	0.0897395	0.082174	0.0750128
a70	0.0707636	0.137088	0.19839	0.190675	0.162608	0.0793232	0.0746374	0.0865145
a93	0.0636504	0.109924	0.173593	0.205777	0.19877	0.08401	0.0733352	0.0909399
a70	0.0491494	0.0827243	0.139232	0.20739	0.246741	0.107295	0.0818941	0.0855744
a96	0.0350437	0.0524784	0.0996814	0.193057	0.268463	0.132752	0.0993673	0.119157
a98	0.0190213	0.0254375	0.0476569	0.123671	0.258895	0.182578	0.151054	0.191686
a92	0.00952109	0.015048	0.0321707	0.113085	0.210179	0.219904	0.181155	0.218937
a56	0.00894387	0.0120197	0.0229388	0.0817166	0.166834	0.255936	0.22594	0.225671
a62	0.00712961	0.00944159	0.0173457	0.0548367	0.136292	0.244177	0.267777	0.263
a83	0.00367084	0.00367569	0.0059984	0.0165986	0.0606993	0.196623	0.335388	0.377347
a18	0.00302062	0.00294372	0.00512578	0.0148817	0.0562975	0.164671	0.287557	0.465503
a75	0.0050917	0.00422516	0.0064073	0.0157022	0.0413045	0.143332	0.254624	0.529313
a25	0.000325318	0.000389279	0.000841015	0.00364078	0.0137904	0.120735	0.298726	0.561552
a92	0.000267496	0.000336672	0.000711586	0.00284615	0.0102319	0.0769367	0.232193	0.676477
a37	0.000654467	0.000668749	0.00115276	0.00382942	0.0116444	0.0861438	0.246729	0.649178
a47	0.000899299	0.000683322	0.000930121	0.00283074	0.008674	0.0727164	0.216491	0.696775
a0	0.00105332	0.000708789	0.00100662	0.00348929	0.0115862	0.0754855	0.211192	0.695478
a11	0.0117826	0.00687672	0.00691954	0.0142095	0.0232193	0.0846081	0.212969	0.639415
a88	0.0328093	0.0164312	0.0142664	0.0274582	0.0367005	0.0904035	0.207019	0.574912
a71	0.0229989	0.0123821	0.0112298	0.0224112	0.0324667	0.0855318	0.20503	0.60795
a62	0.0486176	0.0245172	0.0223058	0.0398101	0.0502178	0.106449	0.214086	0.493997
a12	0.00493526	0.00292898	0.00377693	0.0107188	0.0211247	0.0742209	0.205757	0.676537
a18	0.00115365	0.00084583	0.00141666	0.00485247	0.0129975	0.0659968	0.200563	0.712174
a27	0.0132191	0.00714244	0.00732943	0.0167882	0.0271409	0.0778765	0.202832	0.647671
a26	0.117761	0.0451754	0.0346382	0.0476491	0.0496846	0.0983897	0.194329	0.412373
a82	0.273194	0.109652	0.0650651	0.056847	0.0471708	0.0744074	0.135554	0.238109
a87	0.311089	0.133602	0.0662026	0.0462667	0.0359711	0.0667641	0.124999	0.215106
a23	0.28989	0.170709	0.091682	0.0590374	0.0397076	0.0834964	0.116869	0.148609
a87	0.169205	0.0919045	0.0733997	0.0661563	0.0473841	0.125894	0.184082	0.241974
</S>	0.0679625	0.0431026	0.0410942	0.0580077	0.0496762	0.128236	0.235298	0.376623
