 	la	parole	qu'	il	m'	adressée	m'	a	frustré	</S>
a87	0.1714	0.0980275	0.0920526	0.124804	0.19382	0.147086	0.0794318	0.0384878	0.0312715	0.0236192
a10	0.221102	0.0881131	0.0641571	0.0692013	0.0928066	0.0728292	0.0989228	0.0723269	0.0856885	0.134853
a87	0.174574	0.0807911	0.0845783	0.0968215	0.102359	0.0710276	0.0830572	0.0846724	0.109834	0.112285
a79	0.269308	0.132273	0.0982241	0.0747406	0.0748714	0.0541215	0.0678999	0.0645972	0.0835122	0.080452
a5	0.267269	0.145075	0.0931781	0.0668418	0.0862065	0.0553006	0.0564542	0.0528728	0.0754981	0.101304
a34	0.584037	0.236418	0.0840237	0.0368887	0.0227956	0.00812404	0.00583773	0.006263	0.00606761	0.00954455
a83	0.429982	0.277478	0.138697	0.064348	0.0415085	0.0155314	0.00861939	0.00635927	0.00706735	0.0104083
a90	0.286971	0.283823	0.205126	0.106933	0.0664028	0.0219118	0.00859776	0.00551285	0.00599462	0.00872716
a92	0.154449	0.212721	0.258301	0.157108	0.0983848	0.032055	0.0158355	0.0149102	0.0206595	0.0355752
a0	0.140984	0.228335	0.275901	0.152768	0.0999155	0.0392495	0.0146742	0.0100179	0.0139989	0.024155
a21	0.0898389	0.151222	0.30609	0.207385	0.12053	0.0409568	0.016927	0.0137865	0.0201646	0.033099
a18	0.105676	0.170363	0.276892	0.186071	0.113112	0.0556439	0.0216915	0.0141043	0.0219022	0.0345449
a75	0.0429951	0.0595258	0.181001	0.25173	0.178982	0.0842641	0.0369952	0.0327756	0.0504193	0.0813122
a25	0.0641478	0.0733408	0.129198	0.149433	0.115846	0.0909423	0.0527077	0.0462714	0.0937395	0.184374
a98	0.0342071	0.0429013	0.0816584	0.108788	0.108232	0.112166	0.0668366	0.0630384	0.138807	0.243366
a92	0.033867	0.0411641	0.0624869	0.074722	0.0699557	0.0640976	0.0419656	0.054797	0.162779	0.394165
a85	0.0275016	0.0354615	0.058219	0.0763165	0.0838927	0.0933088	0.0600603	0.0729388	0.164793	0.327508
a61	0.0220934	0.0235578	0.0350391	0.0531687	0.0743029	0.118271	0.0851773	0.100355	0.194635	0.293401
a21	0.0206639	0.0239035	0.0506255	0.0781364	0.0986306	0.133115	0.0992348	0.0880106	0.129794	0.277886
a31	0.0388611	0.0334169	0.0446482	0.0542044	0.0566518	0.0995154	0.091516	0.11235	0.177345	0.291492
a0	0.0104518	0.0102552	0.0222001	0.0384826	0.0577816	0.141993	0.136699	0.133032	0.170965	0.27814
a75	0.00243045	0.00257435	0.00563355	0.00971554	0.0164645	0.0672647	0.0860863	0.113679	0.20688	0.489273
a61	0.00315269	0.00284295	0.00471692	0.00710867	0.0104684	0.0361795	0.0624009	0.119361	0.265589	0.48818
a62	0.00176301	0.00170899	0.00419821	0.00897537	0.017571	0.0779726	0.12063	0.156189	0.215345	0.395647
a83	0.00127915	0.00137707	0.00377948	0.00747494	0.0143776	0.056611	0.087203	0.122843	0.197565	0.50749
a93	0.00100234	0.00113951	0.00267274	0.00527791	0.0094604	0.0335748	0.0665063	0.114347	0.200799	0.565219
a13	0.00123871	0.00144258	0.00385252	0.00799569	0.0150208	0.0532225	0.0845466	0.118938	0.186864	0.526878
a18	0.000921381	0.000921719	0.00202427	0.00416554	0.00745548	0.0281309	0.0698435	0.124389	0.206458	0.55569
a62	0.00299314	0.00175957	0.00186142	0.00284804	0.00418227	0.0148496	0.0532318	0.101404	0.226126	0.590745
a47	0.00161536	0.00125076	0.00201175	0.00339262	0.00520045	0.0183233	0.0495271	0.105396	0.221358	0.591925
a83	0.00374539	0.00273695	0.00325697	0.00463199	0.00616624	0.0174084	0.0586947	0.155194	0.256337	0.491828
a66	0.00132815	0.00130103	0.00209379	0.00346326	0.00540902	0.0213175	0.062337	0.136604	0.235819	0.530327
a9	0.0048019	0.00246354	0.00193103	0.00263868	0.0032181	0.0148786	0.0585816	0.104342	0.247024	0.56012
a99	0.0226608	0.0154751	0.00957054	0.0138045	0.019283	0.0714309	0.151076	0.163892	0.220984	0.311824
a97	0.00993715	0.00638017	0.00353509	0.00444024	0.00762239	0.0263252	0.0699465	0.125104	0.280005	0.466705
a3	0.0124017	0.00779009	0.00472758	0.00776807	0.013239	0.0381734	0.0774556	0.115971	0.247342	0.475131
a38	0.0175373	0.0143267	0.0100519	0.0146231	0.021228	0.0494902	0.0596358	0.0841751	0.217071	0.511861
</S>	0.00650144	0.0080664	0.0081041	0.014609	0.0258105	0.0549023	0.0759924	0.103525	0.230936	0.471553
