 	un	impoli	manque	du	respect	à	tout	le	monde	</S>
a15	0.228548	0.295447	0.0898275	0.0917404	0.0771401	0.0720453	0.0624046	0.0374873	0.0241214	0.0212382
a66	0.241785	0.292099	0.0875472	0.108129	0.0768865	0.0525217	0.0335542	0.0317899	0.0326406	0.0430468
a87	0.43816	0.339018	0.0428314	0.0337512	0.0278793	0.0300104	0.0251195	0.0195756	0.0191088	0.0245457
a23	0.437082	0.366761	0.0887037	0.0377092	0.0144408	0.0108914	0.00876762	0.00896749	0.0107511	0.0159258
a87	0.372988	0.389939	0.123863	0.061304	0.0184825	0.00742006	0.00374626	0.00378563	0.00581624	0.0126551
a10	0.360469	0.366763	0.123385	0.0762136	0.0267022	0.0122008	0.00642285	0.00597475	0.00801187	0.0138568
a24	0.354217	0.39756	0.100905	0.0800823	0.0263112	0.0100299	0.00525036	0.00510436	0.00752958	0.0130105
a62	0.264362	0.298942	0.158915	0.126619	0.0499856	0.0215982	0.0116634	0.0127539	0.0205601	0.0346006
a88	0.184364	0.243673	0.222722	0.173065	0.0857675	0.0376438	0.0172366	0.0114229	0.0107338	0.0133712
a62	0.0692302	0.138263	0.218244	0.233356	0.165043	0.081364	0.0337878	0.0206822	0.0181393	0.021891
a75	0.0358688	0.0749664	0.17631	0.239843	0.217099	0.12508	0.0546538	0.0277018	0.022821	0.0256553
a21	0.0386481	0.0812294	0.153604	0.237044	0.209226	0.139412	0.0666369	0.0303423	0.0216704	0.0221857
a85	0.0220817	0.0455167	0.116066	0.218986	0.259842	0.185259	0.0844464	0.032545	0.0189397	0.0163184
a36	0.0223412	0.0464806	0.116473	0.173148	0.205476	0.170567	0.111714	0.0626289	0.0460921	0.0450797
a75	0.0193482	0.0286476	0.0544222	0.11011	0.205403	0.200326	0.140707	0.0764286	0.0742619	0.0903451
a85	0.0137373	0.0182119	0.0339546	0.0712399	0.162662	0.163853	0.154244	0.115783	0.119051	0.147263
a6	0.00580081	0.00691519	0.0152646	0.0366513	0.117879	0.143723	0.160123	0.143116	0.158179	0.212347
a0	0.0072218	0.00753728	0.0170219	0.0393803	0.113917	0.13685	0.16435	0.138935	0.149934	0.224854
a11	0.00475778	0.00319834	0.00531963	0.00897894	0.0338161	0.0623012	0.11676	0.140582	0.214526	0.409761
a94	0.0104437	0.00645941	0.00809371	0.00991733	0.0192619	0.0296153	0.0705867	0.134145	0.246272	0.465205
a58	0.00722356	0.00405926	0.00383983	0.00452607	0.00980229	0.0152611	0.04473	0.119218	0.269079	0.522261
a82	0.0078372	0.00457776	0.00367102	0.00365267	0.00516388	0.00758394	0.0189702	0.0640928	0.239579	0.644872
a10	0.0519934	0.0311179	0.0167126	0.0199759	0.024348	0.0326079	0.0596322	0.105977	0.22769	0.429945
a87	0.0969819	0.0824233	0.0343663	0.032014	0.0305282	0.0383301	0.0617498	0.104583	0.193535	0.325488
a10	0.146348	0.121445	0.0629404	0.0536493	0.0481234	0.0516705	0.0636781	0.090801	0.146533	0.214811
a87	0.132087	0.0916205	0.0530179	0.0513444	0.0521559	0.0636347	0.0857173	0.11165	0.152707	0.206066
a23	0.0896948	0.0614695	0.0470836	0.0501632	0.0524714	0.0653255	0.0893406	0.126507	0.177408	0.240536
a87	0.0195416	0.0204125	0.0194419	0.0289497	0.0359478	0.0561621	0.0921314	0.15787	0.22351	0.346033
a97	0.00904843	0.0107873	0.0108073	0.0124663	0.015805	0.0295941	0.0680556	0.141866	0.268871	0.432699
a10	0.0406691	0.036896	0.0352686	0.0372402	0.039934	0.0548577	0.0758547	0.112456	0.197625	0.369198
a87	0.0703284	0.0615611	0.0540044	0.0550316	0.0597062	0.0731762	0.0868386	0.10791	0.162201	0.269243
</S>	0.0374385	0.0346384	0.0395391	0.0442817	0.047869	0.0620431	0.0757243	0.110105	0.197927	0.350434
