 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
a23	0.273324	0.188838	0.105922	0.0656504	0.0607329	0.077082	0.0698408	0.0439249	0.0292835	0.0284514	0.0251948	0.0317552
a87	0.383813	0.253385	0.104414	0.054322	0.0496817	0.0369147	0.0315486	0.0189301	0.0138062	0.0142905	0.0156003	0.0232943
a23	0.140298	0.135044	0.118808	0.107449	0.102507	0.0782326	0.068569	0.0468064	0.0379344	0.0388554	0.0430664	0.0824294
a13	0.197135	0.157072	0.119604	0.0872082	0.0645123	0.036938	0.0345589	0.0309229	0.0326754	0.039701	0.0516786	0.147994
a9	0.359656	0.245159	0.176035	0.0941868	0.0403639	0.0204995	0.0131248	0.00765755	0.00915164	0.00982466	0.00857022	0.0157709
a54	0.254905	0.203393	0.199157	0.142272	0.0721617	0.0352226	0.0214622	0.0126377	0.0144224	0.0139077	0.0118889	0.0185694
a30	0.151336	0.143768	0.181971	0.174293	0.094703	0.0622839	0.0454355	0.0294108	0.0294965	0.028623	0.0257785	0.0329014
a41	0.16322	0.166996	0.191364	0.156615	0.10432	0.072247	0.0502201	0.0280335	0.0254899	0.0199883	0.00948482	0.0120212
a26	0.116198	0.139264	0.177623	0.173077	0.1317	0.0927517	0.0667335	0.0376824	0.0282335	0.0193591	0.00848834	0.00888895
a41	0.0712764	0.0953663	0.130579	0.141367	0.154139	0.126835	0.104337	0.0673886	0.0463902	0.0327223	0.0146553	0.0149439
a2	0.0928284	0.116341	0.135145	0.145545	0.148139	0.115485	0.0998508	0.0589883	0.0381019	0.0281352	0.0113501	0.0100906
a30	0.0568921	0.0838875	0.105564	0.122523	0.17708	0.147689	0.121913	0.0676434	0.0404866	0.0355045	0.0191914	0.021626
a41	0.0611948	0.0956785	0.11138	0.100598	0.12343	0.120437	0.11305	0.0784723	0.0550781	0.0534345	0.0349438	0.0523038
a37	0.0472936	0.0754839	0.0887704	0.105101	0.160863	0.146499	0.140971	0.084967	0.0576296	0.049682	0.0222231	0.0205164
a12	0.0291153	0.0568792	0.0802739	0.104438	0.16841	0.14514	0.139469	0.0905905	0.0625332	0.0572422	0.0346458	0.0312623
a32	0.0431641	0.0626471	0.0850777	0.126783	0.158355	0.127872	0.116078	0.0785656	0.0569749	0.0554517	0.0478158	0.0412159
a25	0.0398783	0.0549134	0.0720781	0.10323	0.147111	0.136323	0.129586	0.0900029	0.0625321	0.0613557	0.055062	0.0479266
a24	0.0267168	0.0413067	0.0500642	0.0577138	0.118618	0.161653	0.176332	0.11859	0.0681901	0.06322	0.0502508	0.0673452
a41	0.0261055	0.0373993	0.0435853	0.0559995	0.101761	0.113334	0.134722	0.104764	0.0789572	0.0911466	0.107536	0.104689
a85	0.0198559	0.0282676	0.0322193	0.0419369	0.0867468	0.112994	0.144449	0.11422	0.0859443	0.0972509	0.112115	0.124001
a30	0.0267584	0.0282656	0.0288763	0.0353694	0.0615795	0.0875102	0.125064	0.113375	0.0975488	0.111438	0.124425	0.15979
a11	0.0410781	0.0455705	0.0462412	0.047022	0.0670697	0.0915214	0.132463	0.11807	0.0904315	0.0965084	0.0992044	0.12482
a21	0.0121309	0.0153868	0.018806	0.023962	0.0488323	0.0794086	0.125991	0.129302	0.0956729	0.108758	0.144504	0.197246
a61	0.0305317	0.0300233	0.0367082	0.0504897	0.0633205	0.0874757	0.105518	0.108617	0.102344	0.116006	0.133129	0.135837
a21	0.0231042	0.0253851	0.0320398	0.0486441	0.0671382	0.0911131	0.103782	0.10291	0.0962684	0.115293	0.134318	0.160004
a61	0.0254448	0.0267956	0.0304157	0.0424279	0.0567082	0.0755259	0.0933717	0.101941	0.0951344	0.112702	0.137031	0.202501
a43	0.0243111	0.0242609	0.0259657	0.033632	0.0478352	0.0550884	0.0732209	0.085397	0.0812626	0.100112	0.153496	0.295417
a75	0.0190072	0.0185154	0.0191576	0.0237957	0.0458538	0.0558881	0.0744112	0.0823563	0.0727222	0.102289	0.172104	0.3139
a41	0.0151635	0.0147606	0.0162079	0.0229995	0.0400277	0.0513553	0.0659605	0.0805235	0.0816902	0.111816	0.168475	0.33102
a18	0.00783709	0.00867036	0.0103029	0.0144497	0.0244557	0.0337708	0.0538342	0.0740929	0.0814207	0.104102	0.171078	0.415986
a75	0.00641306	0.00524862	0.00505916	0.00642776	0.0172187	0.0273431	0.041303	0.0505026	0.0458253	0.0748304	0.1749	0.544929
a41	0.0107861	0.0109678	0.011569	0.0155841	0.0309495	0.0440956	0.0620812	0.079465	0.0793874	0.105306	0.170435	0.379374
a37	0.00590891	0.00684736	0.00828207	0.0122073	0.0248384	0.0344339	0.053542	0.0722049	0.0760189	0.0990565	0.168712	0.437947
a41	0.00938198	0.00935879	0.00987044	0.0149425	0.0368308	0.0472155	0.0624024	0.0696334	0.069554	0.0894782	0.151287	0.430044
a90	0.00808411	0.00801115	0.00840196	0.0115524	0.0241171	0.0292337	0.0450829	0.0562134	0.0587087	0.0778606	0.159693	0.513041
a20	0.0183342	0.0180066	0.0180691	0.0262482	0.0531974	0.0642216	0.0754129	0.0771177	0.0711856	0.0909741	0.15273	0.334503
a84	0.0225332	0.0211979	0.016354	0.0188934	0.039395	0.0446599	0.0534191	0.0516011	0.0511123	0.0701535	0.136598	0.474082
a87	0.00724098	0.00494071	0.00327738	0.00315223	0.00646761	0.00848764	0.0142602	0.0193921	0.0217071	0.0456335	0.179041	0.6864
</S>	0.00662091	0.00416223	0.00193946	0.00116416	0.0015752	0.00180128	0.00397729	0.00718549	0.0126805	0.039245	0.235112	0.684536
