 	j'	ai	obtenu	le	pardon	de	mes	péchés	auprès	de	dieu	</S>
a66	0.563997	0.213964	0.0704668	0.0289534	0.0262937	0.0183592	0.018611	0.0185338	0.0115771	0.0117515	0.00909385	0.00839902
a87	0.446968	0.241996	0.0967421	0.0304926	0.0331472	0.0290109	0.0233765	0.0171744	0.0114894	0.016196	0.0225949	0.0308116
a23	0.434931	0.235214	0.124944	0.0586807	0.0453435	0.0231694	0.0168498	0.0144806	0.00933895	0.00958468	0.0112869	0.0161758
a99	0.34478	0.167705	0.0764214	0.0449864	0.0622056	0.063547	0.0540802	0.0422381	0.0296862	0.0321811	0.0355496	0.0466191
a50	0.303228	0.103168	0.0643613	0.0691956	0.0860875	0.0632095	0.0447287	0.0318026	0.0386296	0.0524605	0.0638896	0.0792398
a62	0.226208	0.185046	0.152138	0.107297	0.0840848	0.0566487	0.0411845	0.0230269	0.0240924	0.0326296	0.0335259	0.0341172
a88	0.0939317	0.134393	0.171831	0.173994	0.171095	0.0966787	0.0522718	0.0167186	0.0222524	0.0259456	0.0211406	0.0197476
a94	0.0375619	0.0715569	0.111786	0.150969	0.196721	0.175122	0.104058	0.0362238	0.0362119	0.0332294	0.0245028	0.0220569
a93	0.0394599	0.0779161	0.15468	0.184103	0.198616	0.143434	0.0889308	0.0310234	0.0281826	0.0217691	0.0164933	0.0153913
a70	0.0384862	0.071774	0.148909	0.181446	0.201553	0.14071	0.0881942	0.0329963	0.0312012	0.0247821	0.0197502	0.020198
a50	0.0247477	0.0385881	0.0738047	0.111673	0.193223	0.199327	0.139903	0.0786015	0.0491195	0.0347276	0.0275299	0.0287557
a96	0.0081819	0.0133859	0.0311844	0.0666162	0.147437	0.235469	0.19645	0.123511	0.0552321	0.04159	0.0375421	0.0434008
a88	0.00875389	0.0115753	0.0207124	0.04255	0.112385	0.186941	0.175334	0.115183	0.0825782	0.082686	0.0767526	0.0845493
a0	0.00433938	0.0050111	0.0105818	0.0261127	0.0832062	0.176853	0.193013	0.149636	0.0854185	0.0861102	0.0824681	0.0972507
a11	0.00469093	0.00526742	0.0121309	0.0269473	0.0759522	0.146505	0.176059	0.145589	0.096901	0.101394	0.0968357	0.111727
a54	0.00508807	0.00502123	0.0112526	0.0259108	0.0705629	0.112874	0.125126	0.115486	0.101915	0.123528	0.136579	0.166657
a47	0.00113162	0.00184087	0.00613593	0.00864372	0.0125736	0.0291168	0.0479986	0.112744	0.0878387	0.149944	0.226649	0.315382
a36	0.000954175	0.000986607	0.00347563	0.00639401	0.0124085	0.0282363	0.0427713	0.108516	0.0895674	0.143441	0.209495	0.353754
a0	0.000649284	0.000558562	0.0018573	0.00320591	0.00742225	0.0135226	0.0171341	0.0430345	0.0761216	0.14436	0.251676	0.440457
a11	0.000385947	0.000437312	0.00215349	0.00426988	0.00744498	0.00853789	0.0090349	0.0159675	0.0513093	0.136985	0.273195	0.490279
a54	0.00112234	0.00113506	0.00370764	0.00456331	0.00688867	0.00785941	0.00721691	0.0120462	0.0459355	0.137503	0.274728	0.497294
a7	0.00203326	0.00173779	0.00470131	0.0046723	0.00576269	0.00589897	0.00454292	0.00648877	0.0306866	0.11743	0.274368	0.541677
a54	0.00101567	0.000947006	0.00315325	0.00354957	0.00535899	0.00644873	0.00534003	0.00758236	0.0416233	0.141458	0.278651	0.504872
a6	0.000627266	0.000756289	0.00249937	0.00241428	0.00367379	0.00507773	0.00479052	0.0082108	0.027111	0.118938	0.282838	0.543063
a36	0.00015131	0.000203454	0.000783919	0.000887821	0.00166658	0.00381308	0.00411276	0.00788066	0.0224265	0.100572	0.290231	0.56727
a37	0.00039194	0.000485905	0.00172772	0.00194248	0.00323293	0.00544047	0.00518613	0.00868509	0.0306459	0.117004	0.28355	0.541707
a26	0.000474275	0.00061014	0.00209922	0.0028597	0.00437794	0.00558706	0.00517642	0.00899768	0.0433188	0.129713	0.27645	0.520336
a36	0.00515282	0.00374749	0.00806101	0.00944492	0.0140002	0.0224528	0.0210473	0.0298613	0.0899383	0.154236	0.264551	0.377507
a26	0.00910389	0.00677029	0.0159617	0.0183623	0.0248917	0.0302383	0.0239513	0.0243406	0.0819447	0.155386	0.249019	0.36003
a71	0.0840054	0.0382448	0.0446807	0.0442845	0.0488967	0.0542507	0.0463375	0.043656	0.108883	0.132507	0.16123	0.193024
a9	0.119163	0.0576807	0.0485975	0.0407324	0.0486425	0.0534113	0.0506686	0.0564667	0.110834	0.116389	0.132075	0.16534
a87	0.180753	0.104476	0.0711408	0.04163	0.0465545	0.0443692	0.0421318	0.042454	0.086681	0.0872046	0.107635	0.14497
a23	0.128453	0.101736	0.0951635	0.0522193	0.0561966	0.0481791	0.0449616	0.0434371	0.0770432	0.0821076	0.111178	0.159325
a87	0.0700258	0.0630036	0.074372	0.0486768	0.0545696	0.0386651	0.0428932	0.0495519	0.0984413	0.1229	0.144839	0.192062
</S>	0.022204	0.0221033	0.0314252	0.0218958	0.0227253	0.0238787	0.0371567	0.0521075	0.0990847	0.145218	0.209933	0.312268
