 	ce	cheveu	est	celui	de	ta	femme	ce	n'	est	pas	un	poil	</S>
a97	0.0910794	0.0742433	0.169269	0.117865	0.114116	0.120049	0.0827309	0.0789722	0.0490718	0.0352962	0.0222221	0.0177904	0.0142403	0.0130542
a3	0.118629	0.0548851	0.0334829	0.0315878	0.0438857	0.0500219	0.0526502	0.0713895	0.068103	0.0696142	0.0735663	0.0813998	0.109913	0.140872
a82	0.291641	0.0878278	0.0662713	0.0476433	0.0533783	0.0531961	0.0466507	0.0632982	0.0465628	0.0437104	0.0397137	0.0397744	0.0529983	0.0673338
a3	0.335919	0.113741	0.0531338	0.0322432	0.0394149	0.0413206	0.0391634	0.0551493	0.0477775	0.0469266	0.0435106	0.042334	0.0513915	0.0579746
a99	0.250294	0.0914672	0.0411541	0.0311224	0.0458185	0.0521395	0.0525518	0.0728174	0.0651429	0.0647166	0.058249	0.0543688	0.0592097	0.0609483
a38	0.220261	0.0823547	0.0361949	0.0348292	0.0567713	0.0675177	0.0669411	0.0826604	0.0782565	0.0748787	0.0605723	0.0515419	0.0474343	0.0397858
a50	0.187011	0.0850665	0.0418283	0.0315545	0.0462127	0.0520451	0.048615	0.0625193	0.0721149	0.0726545	0.0675645	0.0675804	0.0803594	0.0848738
a62	0.454408	0.180364	0.0338712	0.0221425	0.027515	0.0269794	0.0232933	0.0266263	0.0296005	0.0284848	0.0278716	0.0315819	0.0428825	0.0443789
a47	0.394121	0.202007	0.0573637	0.0432654	0.0412084	0.0386417	0.0330375	0.0318464	0.0280768	0.0245472	0.0225905	0.0240756	0.0297411	0.0294768
a31	0.284776	0.228213	0.0835281	0.0664682	0.0607371	0.0559092	0.0457633	0.038796	0.0295151	0.0248119	0.0208585	0.020342	0.0218119	0.0184697
a47	0.292378	0.229163	0.0961524	0.0667366	0.0531813	0.0474769	0.0389242	0.0327253	0.0254257	0.0220409	0.0204085	0.0219135	0.0260212	0.0274522
a21	0.237021	0.195754	0.0989517	0.0743629	0.0662947	0.0610829	0.0491839	0.0430321	0.0338217	0.0303777	0.0272102	0.0274108	0.0284944	0.0270021
a47	0.264246	0.234162	0.132371	0.0723742	0.0480746	0.0485097	0.0363966	0.0326348	0.0248616	0.0220565	0.0191868	0.0202728	0.021029	0.0238248
a21	0.143294	0.153651	0.140235	0.117671	0.0914398	0.0840926	0.0606079	0.051002	0.0359376	0.0298982	0.0246952	0.0235992	0.0227606	0.0211164
a85	0.148834	0.175235	0.16011	0.102686	0.07132	0.074467	0.0571903	0.0524365	0.0377023	0.0308477	0.023469	0.022605	0.0204507	0.0226461
a47	0.115334	0.155769	0.133026	0.114284	0.0866352	0.0855333	0.0662482	0.0555967	0.0425475	0.0345852	0.0266476	0.0262055	0.0250406	0.0325475
a92	0.06828	0.100262	0.151295	0.158838	0.115329	0.107604	0.0726946	0.054374	0.0381359	0.0289755	0.0235311	0.0234133	0.0237885	0.0334786
a98	0.0427148	0.0666864	0.136445	0.161902	0.124728	0.10984	0.0782241	0.0615871	0.0451963	0.0359208	0.0306717	0.0304028	0.0315698	0.0441113
a85	0.0221196	0.0260484	0.0901101	0.144965	0.129716	0.127539	0.099785	0.076576	0.0634837	0.0506832	0.0405804	0.0386045	0.0372872	0.0525019
a6	0.0166982	0.0215572	0.0844468	0.151114	0.12898	0.127754	0.101865	0.077578	0.0614912	0.0477822	0.0385105	0.0377401	0.0400452	0.0644371
a75	0.013972	0.0177113	0.0593143	0.159684	0.148444	0.142223	0.108008	0.0763805	0.0589735	0.0437338	0.0355516	0.0346968	0.0365305	0.0647768
a85	0.009569	0.0103742	0.0347845	0.109147	0.115943	0.122585	0.107684	0.0832038	0.0795533	0.0701065	0.0622089	0.0581802	0.0534265	0.0832334
a92	0.00964887	0.00893772	0.0319704	0.118904	0.126377	0.135787	0.115998	0.0851615	0.0763135	0.0633951	0.0536825	0.0499139	0.0471408	0.07677
a34	0.0107543	0.0102277	0.02938	0.117508	0.13952	0.147339	0.124901	0.089101	0.0775568	0.0587498	0.0462694	0.0414575	0.0388485	0.0683866
a56	0.00922743	0.00905372	0.025516	0.112149	0.129378	0.149883	0.127356	0.090982	0.0759003	0.0566029	0.0445769	0.0408155	0.0431538	0.0854049
a44	0.00631337	0.00658522	0.0193636	0.0875964	0.1099	0.13653	0.124076	0.0941695	0.0865156	0.0702774	0.058226	0.0538592	0.0527947	0.0937932
