 	elle	lui	posa	un	bandage	autour	de	sa	tête	blessée	</S>
a23	0.166655	0.211877	0.155814	0.196432	0.154211	0.0548013	0.0205913	0.0149146	0.0110836	0.00738822	0.0062324
a53	0.215661	0.216593	0.155683	0.160811	0.0977675	0.0567456	0.0283163	0.0236802	0.0185939	0.0134741	0.0126743
a54	0.151985	0.190998	0.119253	0.125201	0.105465	0.0966979	0.06994	0.0449877	0.0387676	0.0281435	0.0285611
a92	0.184342	0.275342	0.122674	0.126324	0.107585	0.0719417	0.0417037	0.0260033	0.0234763	0.0126098	0.00799985
a37	0.161096	0.258444	0.134508	0.116407	0.0799894	0.0648659	0.0499341	0.0417089	0.0411968	0.029507	0.0223435
a61	0.12082	0.204077	0.137922	0.148051	0.122468	0.0668367	0.0473779	0.0330105	0.0404571	0.0428681	0.036112
a62	0.102734	0.175421	0.147953	0.175318	0.157481	0.0709262	0.0443001	0.0283068	0.0328301	0.0324591	0.032271
a70	0.100323	0.153293	0.15294	0.185436	0.161952	0.0705368	0.046141	0.0277568	0.0323065	0.0342386	0.0350761
a34	0.0888169	0.123171	0.168303	0.216973	0.182298	0.0635426	0.0408476	0.0247935	0.0271559	0.0302033	0.0338951
a93	0.0882069	0.131257	0.171251	0.214722	0.170386	0.068419	0.0415882	0.0239433	0.0248481	0.0286338	0.0367439
a75	0.0601057	0.0911832	0.158195	0.211021	0.214467	0.0864084	0.0534589	0.0288043	0.0269557	0.0307187	0.0386829
a18	0.0368701	0.0557194	0.0735357	0.122078	0.135309	0.0940755	0.0794601	0.060889	0.0742778	0.115501	0.152284
a38	0.0362652	0.0463847	0.0869928	0.157481	0.251023	0.132938	0.076933	0.0450815	0.0436727	0.0520679	0.0711603
a21	0.0254301	0.0350958	0.0651156	0.117148	0.201591	0.133641	0.0938634	0.0617907	0.0646743	0.0797112	0.121939
a96	0.0361607	0.044426	0.054846	0.0883823	0.154943	0.137794	0.10594	0.0728971	0.0730913	0.0940638	0.137456
a62	0.0142381	0.0159515	0.0264845	0.051852	0.152578	0.188523	0.157263	0.0968993	0.0823082	0.0923047	0.121598
a70	0.00835773	0.00909166	0.016679	0.0357969	0.124211	0.178456	0.179489	0.133143	0.111195	0.0931277	0.110453
a34	0.0082582	0.0091026	0.014852	0.0313502	0.109196	0.170527	0.178897	0.132107	0.118388	0.102929	0.124393
a62	0.00849699	0.00947086	0.0161906	0.0322644	0.0926805	0.163009	0.162825	0.128271	0.115512	0.123211	0.148069
a83	0.00418258	0.00395209	0.00686658	0.0163047	0.0652674	0.128994	0.155597	0.141265	0.15864	0.147106	0.171824
a93	0.00120947	0.00115937	0.00192281	0.00502795	0.0215978	0.0630777	0.105719	0.12425	0.208216	0.205409	0.262411
a34	0.000816782	0.000838854	0.00165061	0.00422052	0.0158274	0.053884	0.0927489	0.117128	0.200399	0.241996	0.27049
a47	0.000671836	0.000608848	0.00119179	0.00295598	0.0114782	0.0338521	0.0627556	0.0930367	0.218492	0.273194	0.301763
a88	0.00179658	0.00175441	0.00295404	0.00613809	0.0191452	0.0548879	0.0927612	0.12942	0.244867	0.213193	0.233082
a34	0.000172142	0.000161051	0.000293538	0.000892692	0.00418587	0.0135049	0.0354868	0.0610238	0.195426	0.276779	0.412075
a75	0.000198663	0.000190005	0.000342586	0.000933569	0.00408525	0.0141152	0.0343104	0.0594377	0.179805	0.299407	0.407175
a79	0.000204256	0.000214829	0.000440084	0.00121291	0.00392226	0.0170707	0.0461563	0.083775	0.216494	0.263603	0.366907
a7	6.95832e-05	7.30958e-05	0.000163618	0.000441725	0.00150723	0.00604496	0.0194157	0.0438071	0.152588	0.265594	0.510296
a26	0.000106858	9.39115e-05	0.000196157	0.000340447	0.000878813	0.00289929	0.00941108	0.030987	0.115778	0.268088	0.57122
a93	0.003329	0.00236536	0.0037384	0.00282532	0.00491549	0.0239973	0.0432074	0.0747692	0.155503	0.244082	0.441268
a56	0.000191129	0.000133954	0.000248983	0.000311927	0.000793626	0.00467744	0.0136339	0.0428542	0.15348	0.239981	0.543694
a75	0.000317398	0.000200028	0.000339055	0.000501819	0.00122927	0.00782606	0.0225214	0.0554003	0.165693	0.236275	0.509697
a92	0.000300711	0.000232415	0.000397088	0.000711031	0.0020704	0.00871556	0.0259838	0.0595125	0.165977	0.227582	0.508517
a7	0.000138738	0.000119718	0.000232691	0.000445337	0.0013212	0.00600546	0.0202383	0.0461296	0.141349	0.234486	0.549535
a26	3.60013e-05	4.0796e-05	0.000100704	0.000163243	0.000347668	0.00170488	0.0059562	0.0194909	0.0997557	0.313056	0.559348
a57	0.00312163	0.00272229	0.0041205	0.00348883	0.00532166	0.0296955	0.0499487	0.0898983	0.175421	0.258698	0.377563
a87	0.0437922	0.0284081	0.0373405	0.0346233	0.036213	0.0920855	0.0880642	0.12344	0.134658	0.176275	0.205101
a23	0.0861624	0.0634363	0.0734089	0.0624771	0.0567758	0.0869956	0.0871557	0.113319	0.123337	0.131283	0.11565
a87	0.0299915	0.0168607	0.019822	0.0195962	0.0283308	0.10571	0.098471	0.141645	0.121498	0.178021	0.240053
</S>	0.00580704	0.0039756	0.00914178	0.015309	0.0284398	0.0871251	0.0771015	0.123299	0.13705	0.209679	0.303071
