 	le	manguier	a	fleuri	</S>
a66	0.575139	0.339654	0.0682523	0.0112581	0.00569747
a87	0.499115	0.300729	0.142626	0.0387371	0.0187937
a23	0.593104	0.283177	0.0813026	0.0265686	0.0158478
a79	0.561708	0.246336	0.0889445	0.053487	0.0495251
a69	0.417815	0.220511	0.112172	0.134362	0.11514
a54	0.334411	0.369789	0.177274	0.087142	0.0313838
a15	0.0843136	0.225741	0.299606	0.318536	0.0718037
a79	0.0783856	0.189007	0.263497	0.336257	0.132854
a94	0.100328	0.1312	0.134742	0.385564	0.248166
a12	0.0853994	0.0759086	0.0749659	0.374022	0.389704
a43	0.0305582	0.0216858	0.03679	0.259966	0.651
a56	0.0180906	0.013415	0.0235701	0.184781	0.760143
a75	0.00905002	0.00755615	0.017927	0.133794	0.831673
a47	0.00303536	0.00270195	0.01148	0.107352	0.875431
a36	0.00457728	0.00509612	0.016111	0.0980475	0.876168
a26	0.0259316	0.0426238	0.0852204	0.228497	0.617727
a57	0.0934911	0.0757385	0.073732	0.196752	0.560286
a87	0.475213	0.199891	0.0755116	0.0827395	0.166646
a23	0.552193	0.329234	0.0723105	0.0258049	0.0204569
a87	0.358262	0.206147	0.122272	0.124557	0.188762
</S>	0.0381656	0.03141	0.0607496	0.289147	0.580528
