 	on	a	passé	un	bon	moment	</S>
a23	0.466074	0.241734	0.0944271	0.0539823	0.0434683	0.0500809	0.0502334
a85	0.453971	0.201565	0.111302	0.0720108	0.0575835	0.0560408	0.0475268
a66	0.323365	0.212514	0.119933	0.077446	0.0642367	0.109369	0.0931359
a23	0.346974	0.275642	0.111875	0.0874377	0.0552132	0.074163	0.0486949
a87	0.214959	0.255474	0.194146	0.162825	0.0752368	0.0636996	0.0336591
a23	0.146198	0.136039	0.125422	0.146797	0.110937	0.178069	0.156537
a38	0.0930951	0.0813313	0.0977985	0.13384	0.138655	0.228228	0.227052
a90	0.124542	0.180329	0.180219	0.183213	0.116917	0.126211	0.0885688
a76	0.160796	0.210103	0.202602	0.184342	0.117109	0.0843071	0.0407408
a12	0.164437	0.214847	0.204246	0.172429	0.109394	0.0880898	0.0465577
a18	0.140953	0.173051	0.172043	0.1865	0.146416	0.12196	0.0590754
a12	0.107871	0.120621	0.155996	0.18927	0.181563	0.168217	0.0764617
a56	0.0839353	0.0807485	0.117996	0.172	0.20878	0.222274	0.114265
a32	0.0809864	0.0801154	0.114179	0.155934	0.19402	0.23972	0.135045
a75	0.0723867	0.0633051	0.0759478	0.108285	0.169922	0.296724	0.21343
a76	0.0652399	0.0600371	0.0747469	0.122676	0.1919	0.27206	0.21334
a94	0.0493357	0.0518621	0.0674614	0.114008	0.185097	0.292968	0.239268
a24	0.0457763	0.0414723	0.0466394	0.0725062	0.127923	0.326424	0.339258
a62	0.0143067	0.0127434	0.0185061	0.0416485	0.0974301	0.328991	0.486375
a76	0.021808	0.0172894	0.0212776	0.0427882	0.0955967	0.307652	0.493588
a90	0.0220017	0.0189334	0.0221959	0.042234	0.0772296	0.278364	0.539041
a13	0.0215625	0.0180469	0.0216588	0.0436532	0.0866509	0.289005	0.519422
a38	0.029817	0.0194809	0.020081	0.0379273	0.0706174	0.231977	0.590099
a41	0.0252271	0.0133364	0.013157	0.0275425	0.0516165	0.211665	0.657456
a27	0.0162795	0.00834302	0.00935652	0.0239209	0.0496978	0.210586	0.681817
a57	0.0113812	0.00465752	0.00485505	0.013881	0.0369437	0.193753	0.734529
a87	0.0100277	0.00393572	0.00326005	0.00928727	0.0267665	0.217807	0.728916
</S>	0.0158408	0.00811672	0.00687719	0.0138818	0.0318412	0.201661	0.721781
