 	je	me	suis	pris	le	pied	dans	un	fil	</S>
a84	0.241289	0.190856	0.150474	0.0966136	0.0719738	0.0654525	0.0648685	0.0509376	0.0385963	0.028938
a87	0.456768	0.240418	0.112434	0.0631069	0.0375776	0.0235621	0.0181561	0.0161155	0.0167634	0.0150987
a23	0.406248	0.240038	0.140901	0.0783738	0.039483	0.0221951	0.0176964	0.0175256	0.0199403	0.0175994
a83	0.395194	0.210896	0.136884	0.072051	0.0309545	0.0201195	0.0197102	0.0258083	0.0402835	0.0480999
a62	0.338358	0.156029	0.146886	0.102874	0.0506704	0.0318091	0.0265275	0.0350282	0.0517174	0.0601009
a12	0.2801	0.203431	0.176275	0.176663	0.091966	0.0365609	0.0126829	0.00877037	0.00753484	0.00601546
a96	0.160349	0.157281	0.172354	0.216345	0.154372	0.0733499	0.0275937	0.0173161	0.0129327	0.00810727
a94	0.0984817	0.10587	0.138997	0.2129	0.207852	0.119045	0.0476641	0.028416	0.0246289	0.0161453
a93	0.0672784	0.0764406	0.101186	0.171092	0.21362	0.163053	0.0756937	0.0470451	0.0464668	0.0381251
a90	0.0621557	0.0783446	0.105322	0.191722	0.217969	0.139188	0.0692206	0.0453737	0.0489834	0.0417206
a92	0.0444768	0.053576	0.0616014	0.135023	0.204619	0.170355	0.114081	0.0754182	0.0766866	0.0641626
a36	0.0238251	0.0264766	0.0225983	0.0504021	0.1009	0.137454	0.179673	0.154863	0.157948	0.145861
a85	0.00937504	0.00791659	0.00497302	0.00874398	0.0206234	0.0514981	0.128867	0.18031	0.266077	0.321615
a92	0.00633874	0.00547819	0.00404216	0.00613682	0.0155239	0.0454633	0.12141	0.183825	0.265942	0.34584
a56	0.00361413	0.00302649	0.00213506	0.00372889	0.0131501	0.0526649	0.143165	0.185925	0.247907	0.344683
a92	0.00111643	0.000936297	0.000586211	0.000863596	0.00253619	0.0110638	0.0601202	0.149281	0.291095	0.482401
a56	0.000195557	0.000148424	8.70592e-05	0.0001746	0.000783034	0.00440292	0.0341564	0.118605	0.278281	0.563166
a43	0.000360346	0.000277596	0.000147628	0.000240808	0.000888971	0.00465756	0.0373534	0.135723	0.298011	0.522339
a62	0.000240279	0.000153245	6.13787e-05	0.000102118	0.000392148	0.00198522	0.0209992	0.101369	0.291768	0.58293
a61	0.000454264	0.000385914	0.000303148	0.00060945	0.00199319	0.00584989	0.0283795	0.102775	0.262567	0.596683
a96	0.000375765	0.000321169	0.000227186	0.000490739	0.00167293	0.00513297	0.0267789	0.104144	0.270464	0.590392
a36	0.000433603	0.000338094	0.000190596	0.000508099	0.00207451	0.00738091	0.0368312	0.126026	0.282265	0.543952
a26	0.00331405	0.00256331	0.00172124	0.00375412	0.0110529	0.0314354	0.0981131	0.187077	0.278065	0.382904
a82	0.0545114	0.0337687	0.0186131	0.0187369	0.0279402	0.0531459	0.110681	0.169751	0.218026	0.294826
a87	0.273074	0.181261	0.100494	0.0605951	0.0386982	0.0355688	0.0490427	0.0664107	0.0845596	0.110296
a23	0.282774	0.219327	0.139194	0.104688	0.0648934	0.0394841	0.0353562	0.0366947	0.0375399	0.0400496
a99	0.0574587	0.0417637	0.0232286	0.0135566	0.00933602	0.0103755	0.0343123	0.105796	0.241865	0.462308
a87	0.0305977	0.0206449	0.0126313	0.00878421	0.00848135	0.0132378	0.0495296	0.128056	0.273261	0.454776
a97	0.00626708	0.00440566	0.00308843	0.0024359	0.00328889	0.00747321	0.0349063	0.108827	0.281698	0.547609
</S>	0.0216619	0.0169545	0.0117353	0.0116154	0.0133282	0.0185814	0.0512513	0.117961	0.265165	0.471746
