 	c'	est	un	brave	homme	</S>
a10	0.317546	0.194132	0.151841	0.132517	0.100608	0.103356
a40	0.0961594	0.0922745	0.13081	0.230784	0.256947	0.193025
a41	0.208697	0.116741	0.124998	0.142729	0.173898	0.232936
a36	0.403972	0.190787	0.172603	0.139017	0.0610212	0.0325992
a12	0.365441	0.206013	0.204632	0.141142	0.0491651	0.0336073
a61	0.361255	0.196222	0.196778	0.155371	0.0562899	0.0340852
a75	0.213604	0.190879	0.205117	0.208047	0.106002	0.0763512
a85	0.141836	0.153293	0.190209	0.250927	0.153756	0.109979
a43	0.0760208	0.0933186	0.133032	0.234981	0.251668	0.210979
a31	0.035054	0.048142	0.0691703	0.164509	0.316098	0.367027
a11	0.0288923	0.0374796	0.0551734	0.130975	0.297167	0.450312
a98	0.00770755	0.0130921	0.0287022	0.131806	0.323095	0.495598
a47	0.00719696	0.00983512	0.0212659	0.0807205	0.262636	0.618346
a36	0.00592363	0.0102292	0.022416	0.115657	0.262663	0.583111
a2	0.00710838	0.0133468	0.0327629	0.138752	0.243431	0.564599
a57	0.0261368	0.0359502	0.057897	0.115804	0.223961	0.540251
a10	0.100857	0.0805477	0.103633	0.13166	0.206754	0.376547
</S>	0.0934926	0.0798836	0.121368	0.205621	0.219072	0.280562
