 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a23	0.213031	0.115369	0.0538119	0.0526794	0.0756405	0.11484	0.162143	0.212485
a85	0.322089	0.229988	0.127358	0.085498	0.0430086	0.0378972	0.0624972	0.0916641
a87	0.202368	0.179499	0.0867974	0.062056	0.0891514	0.0911691	0.133941	0.155018
a23	0.249112	0.252976	0.154031	0.128831	0.061323	0.0411076	0.0459322	0.0666874
a40	0.182897	0.165336	0.0896622	0.0667381	0.0432089	0.0693207	0.141343	0.241494
a73	0.360376	0.133002	0.053191	0.0258813	0.0458497	0.0799434	0.143415	0.158342
a37	0.351675	0.167287	0.105301	0.077398	0.122557	0.0647282	0.0568003	0.0542532
a94	0.328187	0.213152	0.142995	0.104667	0.0815428	0.043321	0.0431059	0.0430293
a20	0.255034	0.217967	0.146037	0.125308	0.113297	0.0518143	0.0464368	0.0441065
a76	0.209436	0.210083	0.139655	0.117254	0.134357	0.0690268	0.0615985	0.0585884
a94	0.167068	0.162404	0.139735	0.16247	0.176452	0.0869469	0.0584579	0.0464669
a24	0.17111	0.167956	0.132979	0.149966	0.196618	0.072354	0.0568116	0.052204
a71	0.105943	0.135619	0.121752	0.144925	0.242929	0.0990677	0.078019	0.0717459
a25	0.0921889	0.120668	0.107369	0.119367	0.21194	0.113058	0.111116	0.124293
a87	0.0581963	0.0735082	0.0736667	0.0901717	0.229115	0.137109	0.152227	0.186006
a2	0.0559934	0.0540525	0.0436322	0.0476059	0.216655	0.15335	0.18927	0.23944
a20	0.0478311	0.039896	0.0295796	0.0303607	0.186535	0.178162	0.226331	0.261305
a41	0.0466527	0.0593786	0.0416624	0.0519115	0.204523	0.192155	0.205697	0.19802
a24	0.0212257	0.0377324	0.0414103	0.0776895	0.257745	0.223897	0.192586	0.147715
a41	0.0231552	0.0306958	0.0345248	0.0552864	0.153597	0.188726	0.260278	0.253736
a94	0.0111335	0.01817	0.0201529	0.0330676	0.125591	0.194435	0.292653	0.304797
a73	0.01074	0.0111629	0.0111442	0.0187339	0.079856	0.156941	0.310017	0.401405
a32	0.0270253	0.0309004	0.0218686	0.0258903	0.0960849	0.167552	0.285578	0.3451
a11	0.00925726	0.0115784	0.00969113	0.0154242	0.0734966	0.170691	0.312636	0.397225
a76	0.00599517	0.00681093	0.006225	0.0115371	0.050658	0.13996	0.319249	0.459565
a41	0.0109751	0.0153001	0.0138229	0.0188186	0.0945503	0.17626	0.274255	0.396018
a12	0.0062962	0.00849015	0.00879238	0.0129788	0.0696517	0.16832	0.316679	0.408791
a0	0.00771963	0.0104914	0.0115241	0.0195314	0.0567527	0.116326	0.253529	0.524126
a24	0.00415561	0.00487946	0.00425965	0.00669667	0.0283694	0.0969426	0.278698	0.575999
a9	0.00378574	0.00410132	0.0029603	0.00386317	0.0236409	0.0952679	0.268214	0.598166
a87	0.00234634	0.00424551	0.00409407	0.00501275	0.0312958	0.111254	0.255896	0.585855
</S>	0.00437036	0.00574611	0.00632128	0.00935567	0.0447946	0.134507	0.247501	0.547404
