 	nous	n'	avons	pas	peur	</S>
a23	0.385334	0.180069	0.106587	0.136443	0.127653	0.0639132
a18	0.569146	0.19516	0.100596	0.0686006	0.0424398	0.0240582
a62	0.392861	0.294185	0.134379	0.0686547	0.058773	0.0511466
a0	0.497159	0.349797	0.100857	0.0315775	0.0143924	0.00621669
a21	0.367821	0.33976	0.22183	0.0497958	0.0143366	0.00645549
a75	0.491947	0.371095	0.105325	0.0195569	0.00778675	0.00428949
a5	0.396475	0.324398	0.151491	0.0610967	0.0400014	0.0265376
a61	0.303557	0.327493	0.220638	0.0831594	0.0412063	0.023946
a75	0.135558	0.1907	0.297103	0.197754	0.111351	0.0675353
a85	0.152148	0.163716	0.229721	0.211273	0.152765	0.0903777
a37	0.142613	0.128638	0.177714	0.21685	0.194136	0.140049
a90	0.121139	0.101803	0.125413	0.238324	0.2507	0.162622
a25	0.0406058	0.0391415	0.0705432	0.231385	0.351774	0.266551
a94	0.0266267	0.0247963	0.0399207	0.14864	0.366692	0.393324
a54	0.0234702	0.0197686	0.0254384	0.095791	0.312272	0.52326
a69	0.0167765	0.0190262	0.0315672	0.0919903	0.258651	0.581988
a58	0.0114007	0.0129803	0.0223789	0.0735821	0.266257	0.613401
a40	0.00669395	0.00702884	0.0116759	0.0450902	0.191533	0.737978
a75	0.0078214	0.00961265	0.0177606	0.0544312	0.206594	0.70378
a47	0.0117236	0.0132191	0.0197794	0.0692221	0.218565	0.667491
a36	0.0120927	0.0127028	0.0247871	0.10221	0.283196	0.565011
a2	0.00829107	0.00693194	0.0131333	0.0639752	0.243519	0.66415
a57	0.0423491	0.0267789	0.0327627	0.0902847	0.219544	0.588281
a10	0.198883	0.120419	0.0834234	0.11354	0.170838	0.312896
a87	0.210879	0.142273	0.080659	0.108961	0.188436	0.268792
a23	0.116142	0.0786793	0.0512003	0.113648	0.255636	0.384694
a87	0.0475669	0.0403165	0.0429581	0.104128	0.238959	0.526072
</S>	0.0387879	0.0334856	0.0413521	0.100891	0.222011	0.563473
