 	j'	ai	peur	de	votre	chien	</S>
a66	0.380625	0.211524	0.13988	0.101352	0.0798474	0.0525192	0.0342527
a10	0.167647	0.143025	0.143621	0.136212	0.151633	0.134944	0.122919
a87	0.433493	0.245754	0.119617	0.0519372	0.0441821	0.0524963	0.0525202
a23	0.47091	0.288342	0.129433	0.0458696	0.0243115	0.0209005	0.0202337
a87	0.376757	0.282398	0.170949	0.0752404	0.0393726	0.0307649	0.0245185
a83	0.371895	0.282047	0.164898	0.0762336	0.0420373	0.0340152	0.0288734
a50	0.270602	0.286716	0.190073	0.0972861	0.0552852	0.0533659	0.0466717
a62	0.215232	0.27432	0.234722	0.11949	0.0666375	0.0479386	0.04166
a31	0.219648	0.298349	0.249168	0.110631	0.0513406	0.0349038	0.0359592
a83	0.215736	0.289259	0.260828	0.120718	0.0483778	0.0318412	0.0332399
a21	0.18194	0.24174	0.26086	0.144797	0.0654186	0.047499	0.0577454
a85	0.19814	0.230931	0.244375	0.169865	0.0814369	0.0413373	0.0339147
a44	0.143901	0.178071	0.217819	0.18698	0.129872	0.0811708	0.062186
a90	0.0827717	0.0995736	0.170482	0.170743	0.145987	0.140598	0.189844
a76	0.0503876	0.0590445	0.118572	0.164267	0.193675	0.192512	0.221542
a94	0.0217569	0.0324518	0.0771243	0.134506	0.22913	0.244741	0.260291
a13	0.00790022	0.00956687	0.0238785	0.056717	0.15181	0.287767	0.462361
a98	0.00372834	0.00513858	0.00965894	0.0182101	0.0617988	0.236721	0.664744
a73	0.00230926	0.00320319	0.00827008	0.0223199	0.0988745	0.279433	0.58559
a44	0.00264247	0.0034295	0.00755825	0.0179827	0.0790866	0.265494	0.623806
a98	0.00357673	0.00495836	0.00955299	0.01905	0.0598635	0.223723	0.679276
a85	0.00299713	0.00352856	0.0060614	0.0139535	0.061349	0.245546	0.666564
a37	0.00270518	0.00309187	0.00562212	0.0130935	0.062553	0.254177	0.658757
a85	0.00164721	0.00199535	0.0039043	0.0105851	0.0487448	0.221574	0.711549
a66	0.00459209	0.00589646	0.0105567	0.0223757	0.0770703	0.227321	0.652188
a62	0.0156307	0.0131364	0.0166456	0.0357861	0.0966077	0.214926	0.607267
a88	0.00779854	0.00797262	0.0121174	0.0295935	0.0940254	0.223656	0.624837
a83	0.00505045	0.00619065	0.0111297	0.029816	0.0989543	0.238168	0.610691
a9	0.00716301	0.00884378	0.0150039	0.0352363	0.105944	0.238568	0.589241
a87	0.0822245	0.0628192	0.0666558	0.0892929	0.153116	0.215029	0.330863
a23	0.237234	0.13614	0.0954613	0.0868736	0.115294	0.149046	0.17995
a87	0.172471	0.123103	0.107828	0.0948447	0.101469	0.164414	0.23587
</S>	0.0242912	0.0234534	0.0288522	0.0405793	0.0991267	0.280438	0.503259
