 	la	mère	a	acheté	un	ballon	à	son	enfant	</S>
a66	0.340698	0.244119	0.101225	0.0679799	0.0672668	0.0653109	0.0581098	0.0292021	0.0150176	0.011071
a87	0.384129	0.239757	0.123636	0.100274	0.0678552	0.0406808	0.0219753	0.00973895	0.00621341	0.00574142
a23	0.439934	0.278528	0.115304	0.0640771	0.0321952	0.0215743	0.0166376	0.0119085	0.00949916	0.0103419
a87	0.452177	0.244647	0.110976	0.0575947	0.0293221	0.0225138	0.0159178	0.0161071	0.0202919	0.0304535
a23	0.234924	0.148478	0.114416	0.085828	0.069567	0.0659952	0.0528052	0.0607963	0.0716021	0.0955882
a99	0.177526	0.140699	0.13021	0.121139	0.0942253	0.0695816	0.0605255	0.0652233	0.0646467	0.0762229
a30	0.16786	0.158904	0.144855	0.145048	0.115207	0.0700368	0.0522828	0.0475506	0.0461221	0.0521342
a53	0.122646	0.118386	0.11795	0.126336	0.113506	0.0827124	0.0692667	0.0737293	0.0817339	0.0937348
a15	0.0553169	0.099351	0.173765	0.206163	0.152301	0.100339	0.0742674	0.056029	0.0439397	0.0385283
a0	0.0462916	0.100865	0.20166	0.243971	0.16958	0.0963192	0.0575144	0.0346035	0.0262866	0.0229095
a56	0.0418454	0.0749599	0.157851	0.221473	0.176317	0.111143	0.0698622	0.0508926	0.0480427	0.047614
a96	0.0730593	0.0844789	0.144728	0.189142	0.145743	0.110314	0.0792594	0.0585205	0.0553202	0.0594354
a75	0.0595933	0.0678682	0.118722	0.168621	0.161613	0.129926	0.0974815	0.0679207	0.0619017	0.0663539
a98	0.0158551	0.0186801	0.0403569	0.0756458	0.129613	0.149001	0.154919	0.143286	0.134307	0.138337
a85	0.0102038	0.0139244	0.0335049	0.0695516	0.132425	0.154326	0.167798	0.158236	0.134586	0.125444
a79	0.00744265	0.00783804	0.0156688	0.0358896	0.0985054	0.142984	0.183545	0.178264	0.16369	0.166172
a25	0.0150124	0.013181	0.0190747	0.0340538	0.0905085	0.142424	0.205312	0.189865	0.14929	0.141279
a79	0.0045543	0.00417875	0.0068488	0.0145044	0.0504151	0.0917078	0.17582	0.235874	0.208852	0.207245
a44	0.0049656	0.00402325	0.00494961	0.00768005	0.0242342	0.0500628	0.114444	0.220493	0.269305	0.299843
a93	0.00347101	0.0025606	0.00189429	0.00280301	0.00752407	0.0166506	0.0610647	0.208999	0.318527	0.376506
a56	0.00169538	0.00118182	0.000960115	0.00148385	0.00334769	0.0066884	0.0260218	0.125707	0.326567	0.506347
a93	0.00074777	0.000553539	0.000504032	0.000857075	0.0022235	0.00447862	0.0191938	0.110102	0.332268	0.529072
a4	0.000374386	0.000286041	0.000291526	0.000603852	0.00200612	0.00476437	0.0204728	0.110049	0.335395	0.525758
a13	0.000858641	0.000719226	0.00073741	0.00136841	0.00328994	0.00597612	0.0192357	0.0824323	0.299949	0.585434
a9	0.00382956	0.00405625	0.00419798	0.00763068	0.0142457	0.0180577	0.0433078	0.11755	0.2765	0.510624
a87	0.0375074	0.0375881	0.0322699	0.0365455	0.0427551	0.0428245	0.0732923	0.131697	0.211885	0.353636
a23	0.344791	0.197424	0.108106	0.0835495	0.056787	0.0430123	0.0439548	0.0426187	0.0382202	0.0415366
a87	0.135619	0.0796751	0.0414482	0.0329135	0.0268331	0.0262176	0.0427269	0.101001	0.208918	0.304648
</S>	0.0366131	0.0254628	0.015048	0.0142331	0.0152924	0.0177478	0.036329	0.116212	0.279159	0.443903
