 	le	feu	produit	des	étincelles	</S>
a66	0.465806	0.298113	0.137232	0.0544413	0.0231861	0.021222
a87	0.553933	0.287282	0.090491	0.0342638	0.0242724	0.00975772
a23	0.496589	0.301011	0.103809	0.0482602	0.0333732	0.0169579
a99	0.460138	0.246046	0.0874259	0.0525498	0.111662	0.0421779
a83	0.361306	0.171083	0.106134	0.10942	0.192958	0.0590987
a94	0.191592	0.119526	0.18813	0.273392	0.176786	0.0505743
a5	0.108817	0.113474	0.244111	0.349333	0.153154	0.0311105
a79	0.0705765	0.12051	0.258294	0.372469	0.143993	0.0341574
a7	0.0812803	0.164644	0.325359	0.320948	0.0834417	0.0243271
a26	0.0717301	0.114055	0.191841	0.25816	0.219843	0.144371
a4	0.04026	0.0498037	0.0779087	0.147279	0.327653	0.357096
a50	0.0204193	0.025846	0.0404505	0.110512	0.41656	0.386212
a88	0.00320752	0.00325768	0.00496182	0.030965	0.284796	0.672812
a9	0.00161724	0.00146047	0.00190445	0.0132435	0.188782	0.792992
a38	0.00242459	0.0017209	0.00293282	0.0170554	0.11326	0.862607
a12	0.00357393	0.00214649	0.00305564	0.0130685	0.111295	0.866861
a18	0.00521757	0.00321665	0.00354429	0.0127112	0.11838	0.85693
a71	0.00715609	0.00383824	0.00438521	0.011429	0.078306	0.894886
a9	0.0314016	0.0164616	0.0120767	0.0217399	0.113359	0.804962
a18	0.129131	0.0612113	0.0213347	0.0246315	0.0883787	0.675312
a71	0.142893	0.0762185	0.026167	0.0286137	0.112936	0.613172
a25	0.071919	0.0371027	0.0164327	0.0253288	0.113685	0.735532
a10	0.0887416	0.0469839	0.0196978	0.0311664	0.125802	0.687609
a87	0.23873	0.158359	0.0513438	0.0384548	0.0933921	0.41972
a23	0.324933	0.232677	0.0754885	0.0402308	0.0537897	0.272881
a87	0.353042	0.201157	0.0444055	0.0254201	0.0566805	0.319294
</S>	0.218792	0.115377	0.0306737	0.0268317	0.0701968	0.538129
