 	je	lui	ai	confié	mon	enfant	</S>
a82	0.341256	0.186219	0.168567	0.138229	0.0912699	0.0444292	0.0300301
a97	0.230107	0.180814	0.141918	0.143023	0.135511	0.0896459	0.0789824
a99	0.479496	0.256535	0.118169	0.0503248	0.0351141	0.0277204	0.0326398
a62	0.435674	0.265074	0.135693	0.0687014	0.0363939	0.0277252	0.0307377
a47	0.567605	0.242446	0.0931251	0.0268617	0.0216647	0.0219064	0.0263907
a88	0.404515	0.253652	0.150988	0.0613764	0.0433572	0.0380793	0.0480324
a71	0.291036	0.256358	0.202375	0.0947585	0.0604037	0.0460192	0.0490498
a70	0.187944	0.206313	0.209598	0.123493	0.0951985	0.0791998	0.0982538
a93	0.198733	0.223077	0.244171	0.127831	0.0824331	0.0598749	0.0638805
a34	0.185155	0.200335	0.23784	0.144873	0.0941597	0.0661146	0.0715221
a98	0.217426	0.2168	0.230138	0.138994	0.0832442	0.0556769	0.0577211
a92	0.136384	0.151189	0.176267	0.151071	0.138002	0.118829	0.128257
a75	0.115274	0.113707	0.135282	0.161321	0.168043	0.154202	0.15217
a47	0.0547574	0.0646192	0.0941457	0.165516	0.215596	0.206274	0.199092
a92	0.0257148	0.0314495	0.0540708	0.129494	0.183624	0.24314	0.332507
a47	0.0185941	0.0191049	0.0322628	0.106469	0.172213	0.271632	0.379725
a79	0.00587464	0.00644311	0.0116336	0.0514332	0.123489	0.286607	0.51452
a7	0.00292197	0.00343086	0.00660078	0.0355772	0.102885	0.280623	0.567961
a90	0.00218319	0.00226824	0.00329117	0.0219044	0.0663557	0.257524	0.646473
a15	0.00192275	0.00250994	0.00384751	0.0284793	0.0961297	0.303633	0.563478
a69	0.00189698	0.00261902	0.00343364	0.0175746	0.0708608	0.289179	0.614436
a7	0.00184948	0.002241	0.0027487	0.0142141	0.0538817	0.267192	0.657873
a84	0.0032144	0.00438235	0.00542466	0.0183039	0.0649624	0.267731	0.635981
a82	0.0714598	0.0592653	0.0456742	0.0577914	0.117224	0.250087	0.398499
a87	0.284961	0.172559	0.0890792	0.0635351	0.0884602	0.138141	0.163264
a23	0.250117	0.175654	0.107292	0.0792334	0.0987885	0.132194	0.15672
a99	0.138343	0.0961147	0.0645817	0.0828955	0.147055	0.218082	0.252929
a87	0.0974362	0.0807112	0.0682524	0.0892788	0.14073	0.209062	0.31453
a23	0.0557349	0.0545711	0.0537307	0.0817451	0.134588	0.233625	0.386005
a87	0.0964561	0.0955146	0.0885909	0.0994761	0.139984	0.193145	0.286833
</S>	0.0466952	0.0557036	0.0620274	0.0888242	0.147754	0.237107	0.361889
