 	ses	amis	l'	on	tapé	parce	qu'	il	est	faible	</S>
a66	0.155615	0.217792	0.160668	0.193122	0.113788	0.0737726	0.0387508	0.021708	0.012173	0.00698395	0.00562685
a87	0.299902	0.242414	0.147651	0.114599	0.0438145	0.0399346	0.029436	0.0232188	0.0240632	0.0190855	0.0158803
a40	0.377994	0.158126	0.110228	0.084234	0.0465072	0.0367545	0.03529	0.0325383	0.0398572	0.0399104	0.0385598
a47	0.28062	0.169315	0.113882	0.101764	0.0489669	0.0408448	0.0416585	0.0422272	0.0568789	0.0544023	0.0494401
a36	0.174389	0.16826	0.131864	0.12703	0.0580661	0.0485354	0.0424797	0.0505733	0.0635937	0.064297	0.0709122
a37	0.140473	0.160668	0.153349	0.160021	0.100157	0.0614584	0.0421904	0.0481232	0.0512885	0.0443899	0.0378817
a21	0.234191	0.155808	0.130433	0.126175	0.0978497	0.0603204	0.0450647	0.0436493	0.0392026	0.0345238	0.0327826
a85	0.186384	0.143575	0.14171	0.160782	0.143072	0.0888036	0.0469705	0.028305	0.0206854	0.0196933	0.0200192
a47	0.0828702	0.11038	0.139168	0.144266	0.112956	0.103723	0.0775915	0.0597618	0.0500199	0.0565355	0.0627274
a36	0.0825583	0.104911	0.127314	0.168129	0.170022	0.0953754	0.0532168	0.0381976	0.0365948	0.0539349	0.0697457
a21	0.0668028	0.103778	0.0983123	0.119032	0.15595	0.106201	0.067612	0.0547413	0.0538085	0.0733187	0.100443
a90	0.0617801	0.13035	0.12399	0.147993	0.157033	0.118793	0.0671671	0.0441959	0.0388545	0.0482671	0.0615771
a92	0.0242788	0.0693897	0.0714698	0.109825	0.168639	0.143609	0.0914948	0.0655735	0.0603019	0.0823327	0.113085
a56	0.0113629	0.0325713	0.0351154	0.0582676	0.0952398	0.115362	0.113688	0.115622	0.110447	0.134133	0.17819
a43	0.012759	0.0380811	0.0414677	0.0686992	0.146308	0.161073	0.123423	0.0859139	0.0712794	0.0977754	0.15322
a75	0.0137722	0.0288732	0.0284163	0.041712	0.116782	0.15182	0.125745	0.0965916	0.0807318	0.114696	0.20086
a79	0.00290181	0.00701634	0.00677132	0.0111175	0.029324	0.0595604	0.0907654	0.11569	0.139012	0.215607	0.322234
a25	0.0021782	0.00535911	0.00560736	0.00947278	0.0266431	0.0590202	0.106011	0.136894	0.141049	0.192889	0.314876
a6	0.0024019	0.00492739	0.00552756	0.0085481	0.0202654	0.0348695	0.0592975	0.0859799	0.116273	0.214193	0.447716
a12	0.00330212	0.00653195	0.00657028	0.0100841	0.0229735	0.0412594	0.076506	0.112733	0.147573	0.21813	0.354337
a18	0.00162228	0.00277841	0.00262905	0.00376467	0.00979524	0.0227593	0.046258	0.0809172	0.134887	0.25706	0.437528
a27	0.00121751	0.0013873	0.0013047	0.00155282	0.00262391	0.00525153	0.0130584	0.0300652	0.0837149	0.271994	0.58783
a90	0.0134025	0.0175419	0.0177438	0.0180692	0.0168256	0.019747	0.0280056	0.0461865	0.0854989	0.217221	0.519758
a94	0.0266781	0.0305662	0.0287494	0.0282181	0.0266915	0.0390033	0.0624968	0.0849077	0.115567	0.193862	0.363259
a4	0.000916121	0.00105723	0.00101702	0.00108796	0.00168876	0.00417353	0.0136256	0.0395588	0.108318	0.265772	0.562785
a57	0.000117019	0.000220193	0.000213886	0.000284903	0.000574649	0.00206659	0.00881096	0.0354158	0.112115	0.273096	0.567085
a82	0.000548351	0.000633601	0.000630426	0.000684084	0.00128455	0.00276575	0.00892262	0.0256682	0.0680159	0.220108	0.670739
a3	0.0156348	0.0182141	0.0160453	0.0149271	0.016656	0.0239868	0.0447927	0.0755671	0.120786	0.219767	0.433624
a97	0.082866	0.0723039	0.0561474	0.0473173	0.0356141	0.0412033	0.0526283	0.075824	0.120897	0.181114	0.234085
a87	0.10735	0.0923208	0.0739472	0.061522	0.0513166	0.062574	0.0609964	0.0733226	0.110757	0.147921	0.157972
a97	0.0817868	0.0682969	0.0559001	0.0497596	0.0636332	0.0925058	0.0892142	0.0896382	0.116135	0.142437	0.150693
a87	0.042034	0.0354624	0.0297477	0.0290451	0.0423795	0.053913	0.0529949	0.0608756	0.114968	0.22471	0.31387
a97	0.0406053	0.0397711	0.0366452	0.0383587	0.0475399	0.0502051	0.0449566	0.0515985	0.0999508	0.219728	0.330641
</S>	0.0413656	0.0414463	0.0366311	0.0386335	0.0415927	0.0423943	0.0416463	0.0482801	0.100873	0.234136	0.333001
