 	ses	yeux	sont	brouillés	par	les	larmes	</S>
a23	0.209286	0.139711	0.112046	0.129243	0.166017	0.102289	0.0749128	0.066495
a79	0.375397	0.204793	0.127146	0.104625	0.0833446	0.0454389	0.0334009	0.0258542
a54	0.280655	0.16818	0.0930744	0.080285	0.0993986	0.104804	0.085891	0.0877132
a79	0.3788	0.204772	0.103481	0.0707175	0.0703055	0.0715094	0.0552245	0.0451906
a96	0.425884	0.29911	0.135321	0.0544662	0.0294361	0.0241123	0.0166947	0.0149759
a61	0.301015	0.314876	0.177713	0.0868749	0.0386499	0.0288	0.0264058	0.0256654
a0	0.230796	0.280284	0.218265	0.12901	0.0540843	0.0340053	0.0272749	0.0262799
a75	0.133729	0.185221	0.216858	0.191781	0.100964	0.0637604	0.0553299	0.0523552
a85	0.0987011	0.138119	0.176769	0.175043	0.134755	0.108771	0.0850191	0.0828231
a61	0.0526273	0.0841548	0.150885	0.204074	0.171342	0.117536	0.11116	0.108222
a31	0.0679373	0.0901499	0.142351	0.212013	0.218256	0.114702	0.0805236	0.074067
a21	0.050104	0.0618331	0.0987177	0.166974	0.245658	0.164525	0.111794	0.100394
a61	0.0838395	0.0946476	0.119024	0.14438	0.177168	0.141215	0.121795	0.11793
a75	0.0506682	0.0551507	0.0824142	0.124845	0.191239	0.182957	0.15779	0.154936
a85	0.0474662	0.0494782	0.0659743	0.0801082	0.0998078	0.122714	0.224945	0.309507
a36	0.0336887	0.0363154	0.0480727	0.0580961	0.090474	0.130591	0.254754	0.348009
a11	0.0126836	0.0101087	0.0171726	0.0327575	0.0901824	0.153811	0.305352	0.377932
a75	0.00340328	0.00293308	0.00504065	0.0119651	0.0384207	0.111837	0.324673	0.501727
a6	0.0107933	0.00774372	0.0130315	0.0235513	0.06028	0.151362	0.320362	0.412877
a37	0.00580257	0.00448982	0.00739797	0.0151717	0.0446988	0.130621	0.339768	0.45205
a75	0.00158031	0.00133707	0.00274786	0.00766141	0.0300504	0.1074	0.327759	0.521463
a47	0.00358833	0.00268855	0.00414712	0.0077632	0.0259889	0.105817	0.332491	0.517516
a36	0.00273792	0.00195234	0.0033389	0.00756008	0.0306606	0.130756	0.374757	0.448237
a2	0.00267265	0.00173462	0.00285995	0.00616393	0.0300569	0.107534	0.295207	0.553771
a57	0.0403043	0.0172015	0.0186546	0.0274133	0.0600938	0.108636	0.219758	0.507939
a10	0.0774849	0.0540637	0.0556724	0.0703321	0.0986682	0.12654	0.179209	0.33803
a87	0.0698549	0.0540409	0.0581224	0.0722223	0.116141	0.172201	0.200844	0.256574
a23	0.110459	0.0800924	0.0812261	0.100252	0.161213	0.176958	0.143978	0.145821
a87	0.0713772	0.0544542	0.0512919	0.0531649	0.107646	0.193927	0.245418	0.222721
</S>	0.0145388	0.0107688	0.0161469	0.0322623	0.097859	0.181498	0.302234	0.344693
