 	les	mouches	envahissent	la	viande	</S>
a40	0.186959	0.155896	0.246028	0.146909	0.150146	0.114062
a5	0.148165	0.136282	0.227543	0.177145	0.180041	0.130824
a27	0.477764	0.192982	0.128644	0.0851297	0.0635302	0.0519503
a30	0.555777	0.183465	0.111042	0.064082	0.045553	0.0400804
a24	0.364471	0.159841	0.122529	0.0809669	0.109189	0.163003
a88	0.541236	0.211947	0.108765	0.0602749	0.0399753	0.0378024
a31	0.381676	0.271247	0.154203	0.077368	0.0587935	0.0567125
a61	0.350005	0.277132	0.175881	0.0847821	0.060443	0.0517569
a75	0.264804	0.285377	0.206647	0.103657	0.0752803	0.0642345
a85	0.183823	0.220947	0.186582	0.145825	0.132979	0.129844
a47	0.0982122	0.200393	0.21606	0.1756	0.162616	0.147118
a37	0.0941526	0.193623	0.235247	0.169965	0.151754	0.155258
a61	0.105716	0.199659	0.255159	0.175483	0.140336	0.123647
a88	0.090693	0.193228	0.271094	0.201882	0.139946	0.103157
a75	0.0530414	0.121874	0.22629	0.23433	0.212367	0.152098
a5	0.0622693	0.0983717	0.146214	0.185296	0.229847	0.278002
a18	0.077945	0.108809	0.141129	0.187868	0.243738	0.240511
a75	0.00982843	0.0204864	0.0470753	0.114361	0.301524	0.506724
a6	0.0425158	0.0546832	0.072784	0.145238	0.267919	0.41686
a37	0.0306724	0.0444409	0.0650314	0.138792	0.278022	0.443042
a66	0.00716135	0.0145516	0.0345477	0.10085	0.288039	0.554851
a44	0.00508193	0.00940339	0.0196537	0.0547375	0.22739	0.683734
a26	0.00268747	0.00693724	0.0165578	0.0539415	0.229733	0.690143
a57	0.0084546	0.0107192	0.0179636	0.0560627	0.222968	0.683832
a87	0.0546998	0.0522784	0.0962013	0.138924	0.282021	0.375875
a23	0.0796727	0.0852539	0.15718	0.192472	0.26347	0.221952
a87	0.0674614	0.0890294	0.167484	0.233287	0.255348	0.18739
a23	0.0589797	0.0787462	0.129922	0.202017	0.272338	0.257998
</S>	0.0467984	0.0735758	0.13856	0.213647	0.279476	0.247943
