 	ce	jeune	garçon	est	avare	si	bien	que	tous	ses	parents	murmurent	contre	lui	</S>
a66	0.220373	0.124361	0.0476962	0.0452431	0.0767967	0.0411234	0.0569327	0.0586084	0.0818536	0.0705019	0.0921444	0.0481076	0.0143898	0.0109304	0.010938
a87	0.31169	0.118167	0.0396042	0.0233883	0.0186037	0.0171966	0.0224008	0.0337634	0.0509346	0.0711493	0.110981	0.0697043	0.0386292	0.0349931	0.0387943
a23	0.452832	0.157666	0.0459122	0.0251202	0.0222018	0.0243436	0.0269943	0.0362311	0.039391	0.042633	0.0546836	0.025366	0.0153745	0.0140798	0.0171704
a99	0.3639	0.137161	0.0504796	0.0281435	0.0244535	0.0201204	0.0204108	0.0293725	0.0348475	0.0460563	0.0682635	0.0436313	0.039044	0.0409038	0.053212
a20	0.193468	0.0966353	0.0380863	0.0360376	0.0483007	0.0464132	0.047874	0.0538649	0.0534467	0.0572097	0.0791657	0.0616495	0.0561377	0.0590874	0.072623
a36	0.205358	0.20223	0.111991	0.0717964	0.0515685	0.0372298	0.0357473	0.0318657	0.0289823	0.0308596	0.0472641	0.0524786	0.0408658	0.0253093	0.026454
a37	0.0764832	0.09321	0.101293	0.113925	0.0932903	0.0459163	0.0432385	0.0408298	0.0333036	0.0355346	0.0512795	0.074349	0.0747167	0.0571584	0.065472
a61	0.0790841	0.0973346	0.111336	0.143779	0.109458	0.057676	0.0537783	0.0505836	0.0417796	0.0390349	0.0474989	0.0552073	0.0366434	0.0316782	0.0451274
a83	0.05592	0.0765624	0.0871594	0.119897	0.101164	0.0709127	0.0641961	0.0633751	0.0541295	0.053677	0.053127	0.0589385	0.042082	0.0433303	0.0555289
a54	0.039639	0.0565974	0.073007	0.110315	0.1022	0.0798047	0.0744063	0.0768513	0.0645329	0.0617604	0.0481217	0.0490256	0.042424	0.0526753	0.0686396
a15	0.0220205	0.0330957	0.0489689	0.0779275	0.0838114	0.0602498	0.066226	0.0701576	0.0637477	0.0546456	0.0504319	0.0675982	0.0694287	0.097037	0.134653
a79	0.0198406	0.0339835	0.0693424	0.117905	0.110319	0.0775379	0.0778504	0.0756038	0.0681823	0.0525216	0.0404221	0.0472396	0.0437412	0.0646351	0.100876
a15	0.0201079	0.032734	0.060418	0.0963677	0.0842743	0.0718344	0.0702121	0.0715842	0.0656233	0.0562692	0.0429255	0.0555317	0.0570294	0.0857437	0.129345
a6	0.0135428	0.0206051	0.0432093	0.0864852	0.0978028	0.0935919	0.094393	0.0903086	0.0822301	0.061158	0.0440518	0.0440116	0.0442518	0.0722473	0.112111
