 	aujourd'	hui	le	féticheur	va	prélever	du	sang	sur	ce	malade	</S>
a23	0.100666	0.0853021	0.110578	0.132107	0.128097	0.0901353	0.0788887	0.0777116	0.0838453	0.0514518	0.0346764	0.0265414
a87	0.142115	0.0793829	0.0741145	0.0659871	0.0831997	0.120287	0.104115	0.0728336	0.103686	0.0634501	0.0470579	0.0437708
a23	0.16186	0.114365	0.098533	0.0719769	0.0771109	0.107079	0.0841269	0.0531257	0.0543246	0.0413058	0.0523618	0.0838302
a87	0.253158	0.136264	0.0925572	0.0558666	0.0597946	0.0789421	0.0661273	0.0461603	0.0521433	0.0408671	0.0473527	0.0707664
a79	0.189973	0.120719	0.0899272	0.0626258	0.0670584	0.0898251	0.0750314	0.0531136	0.0545462	0.0480297	0.0584562	0.0906947
a20	0.333313	0.138816	0.0888413	0.0585656	0.0529051	0.0548751	0.0414483	0.0340834	0.0491321	0.0390544	0.0454566	0.063509
a69	0.300384	0.125545	0.080565	0.056575	0.0555371	0.070146	0.0722159	0.0594339	0.0600226	0.0437312	0.0361006	0.0397446
a15	0.200447	0.141731	0.115407	0.0833424	0.0770072	0.0883691	0.0929793	0.0676775	0.0473661	0.0311963	0.0261709	0.0283072
a37	0.174452	0.150832	0.125669	0.0955398	0.085008	0.0841091	0.0846167	0.065361	0.0449823	0.0316007	0.0277385	0.0300917
a75	0.132442	0.134772	0.115956	0.0968232	0.0854704	0.0883886	0.0896896	0.0735859	0.0566488	0.0432852	0.0395811	0.0433571
a6	0.118936	0.126513	0.105351	0.0898185	0.0792506	0.0783755	0.0842573	0.0780666	0.0702017	0.0628804	0.0536138	0.0527356
a37	0.0933331	0.113367	0.095502	0.0847051	0.0741276	0.0731677	0.0811757	0.0812671	0.0776853	0.078563	0.0718447	0.0752615
a85	0.0600886	0.0877768	0.0855765	0.0923531	0.0794727	0.0788159	0.0826709	0.0810996	0.0768229	0.0792996	0.0813811	0.114642
a5	0.0533206	0.0858994	0.0866053	0.0837868	0.0724125	0.0740342	0.0764887	0.0757867	0.0838134	0.0960954	0.0990561	0.112701
a18	0.0671561	0.0951826	0.0949984	0.105693	0.0903932	0.0831598	0.0852378	0.0875488	0.0777768	0.069538	0.0619933	0.0813223
a61	0.0453715	0.0623639	0.0625897	0.0785563	0.0743558	0.0651464	0.0697475	0.0915754	0.0897919	0.0994989	0.10532	0.155683
a66	0.0428995	0.0568509	0.0577988	0.0767159	0.0736742	0.0651499	0.0733569	0.103216	0.104628	0.126528	0.108784	0.110399
a90	0.0246048	0.031455	0.0314607	0.0451817	0.0492099	0.0450009	0.0513135	0.0835702	0.100496	0.167189	0.173419	0.197099
a76	0.0337564	0.0435705	0.0378629	0.0501211	0.04792	0.0384633	0.0436339	0.0689163	0.0862715	0.159005	0.183835	0.206644
a90	0.0391857	0.049704	0.038992	0.0399659	0.0344382	0.0260803	0.033689	0.0539306	0.0653665	0.127897	0.197272	0.293479
a58	0.0378071	0.0526825	0.03753	0.042949	0.0374456	0.0272209	0.0325545	0.0559569	0.0647217	0.140858	0.195664	0.27461
a53	0.0183731	0.0250038	0.0178436	0.0200447	0.0181053	0.0139832	0.0170249	0.0301811	0.0445183	0.113597	0.237329	0.443995
a90	0.00918093	0.0124112	0.00867578	0.0100299	0.00928533	0.0071913	0.00957937	0.0204177	0.0351911	0.102319	0.242784	0.532935
a56	0.0123451	0.0162313	0.0105866	0.0107996	0.00953826	0.0077877	0.011368	0.0209906	0.036755	0.102442	0.255601	0.505554
a34	0.00897463	0.0113164	0.00755721	0.00776914	0.00700519	0.00611314	0.00890542	0.0169479	0.0339403	0.105022	0.267228	0.51922
a47	0.00700321	0.00912855	0.00669207	0.00692655	0.00688167	0.00645129	0.00839157	0.0142699	0.0325489	0.103575	0.270821	0.52731
a96	0.00609635	0.00748806	0.00566034	0.00634779	0.00666594	0.00663288	0.00851646	0.0142937	0.0386889	0.114933	0.279662	0.505015
a83	0.0071541	0.00807692	0.00598702	0.00645771	0.00636886	0.00617242	0.00811738	0.0144752	0.0357922	0.108281	0.275923	0.517194
a9	0.0152711	0.0152718	0.010899	0.0108256	0.0108136	0.0122497	0.0159986	0.0250279	0.0551743	0.128847	0.267361	0.43226
a99	0.0316548	0.0316149	0.0249897	0.0272578	0.0301852	0.0341216	0.0439683	0.0592123	0.0852978	0.145854	0.212004	0.27384
a87	0.0541455	0.0466195	0.0434191	0.0511087	0.0546441	0.0603641	0.0617735	0.0689899	0.094638	0.128147	0.163967	0.172183
a23	0.086372	0.0822276	0.0775165	0.0775639	0.072169	0.0685933	0.0688238	0.0726783	0.0865241	0.101286	0.109243	0.0970028
a87	0.0497915	0.0533728	0.0410795	0.0374508	0.0325964	0.0303166	0.0274369	0.0351845	0.059289	0.147414	0.223328	0.262739
a10	0.0176207	0.0226393	0.022452	0.0298539	0.0332761	0.0351205	0.0253334	0.0317704	0.0609542	0.146519	0.232323	0.342138
a87	0.0369424	0.0462523	0.0421234	0.0435724	0.0424435	0.0424887	0.0317496	0.0348771	0.0584941	0.125002	0.198538	0.297516
</S>	0.0346328	0.0461954	0.0436002	0.0413773	0.0373971	0.0372038	0.0307408	0.0341957	0.0575293	0.115196	0.201266	0.320665
