 	j'	ai	manqué	de	camion	pour	partir	à	boundji	</S>
a66	0.44876	0.194275	0.108985	0.062275	0.0449383	0.0466251	0.0424725	0.0274986	0.0140467	0.0101237
a87	0.332671	0.181216	0.133664	0.0884896	0.0546168	0.0570718	0.0530152	0.0358762	0.0301826	0.0331967
a23	0.404138	0.279823	0.132654	0.0494352	0.0289564	0.0251363	0.021507	0.0190705	0.0169258	0.0223536
a99	0.385652	0.2717	0.116449	0.0511146	0.0317362	0.0270509	0.0198261	0.0214042	0.0302101	0.0448568
a40	0.364017	0.205399	0.0892523	0.0467753	0.0408993	0.0417258	0.0337935	0.0418465	0.0603203	0.0759708
a36	0.418493	0.217542	0.115603	0.0640775	0.0637794	0.0390759	0.0253801	0.0220274	0.0193572	0.014665
a2	0.222443	0.236793	0.193795	0.112778	0.0760938	0.0333937	0.027585	0.0354923	0.0370536	0.0245725
a11	0.0849362	0.125039	0.168538	0.177478	0.145649	0.0730799	0.0571558	0.0609184	0.0607087	0.0464971
a18	0.0612757	0.0862001	0.142521	0.190857	0.175793	0.103666	0.0662879	0.0578453	0.0580643	0.0574898
a25	0.038316	0.0416486	0.0823135	0.145043	0.177607	0.146914	0.0956284	0.079396	0.0880736	0.10506
a62	0.021129	0.0252294	0.0592924	0.117558	0.160632	0.138711	0.0872783	0.0866154	0.123772	0.179782
a12	0.0165729	0.0169633	0.0317099	0.0731692	0.121296	0.134113	0.0980673	0.10246	0.155726	0.249922
a62	0.0163234	0.0169078	0.0280133	0.0617213	0.107286	0.145355	0.113326	0.110411	0.160121	0.240536
a90	0.0181525	0.0172942	0.0266595	0.0539248	0.097763	0.171973	0.152083	0.121034	0.143751	0.197365
a69	0.00853126	0.00877683	0.0183055	0.0438878	0.0825211	0.157203	0.160478	0.142656	0.158172	0.219469
a90	0.0108855	0.00984415	0.0202936	0.0486536	0.0888498	0.154613	0.16174	0.154	0.149672	0.201449
a93	0.00810894	0.00821336	0.0211849	0.0502817	0.0898872	0.16074	0.166154	0.146607	0.14894	0.199883
a4	0.00544086	0.00426539	0.00912046	0.0234772	0.0498177	0.122401	0.15602	0.175075	0.179867	0.274516
a62	0.00307285	0.00211311	0.00428689	0.010686	0.0230164	0.0630127	0.0900616	0.156798	0.245328	0.401624
a88	0.00200317	0.00128566	0.0021461	0.00444806	0.00855641	0.0270768	0.053825	0.140287	0.288091	0.472281
a75	0.000903695	0.000622091	0.000972793	0.00180496	0.00315444	0.00996252	0.0200602	0.0639361	0.245339	0.653244
a92	0.000485806	0.000368328	0.000731694	0.00156409	0.00326234	0.00951093	0.0175325	0.0532125	0.224928	0.688404
a44	0.000220654	0.000180257	0.000441247	0.00106487	0.0023748	0.00790483	0.0142209	0.0435509	0.207618	0.722424
a13	0.000585018	0.000389307	0.000865874	0.0020427	0.00422094	0.0120959	0.021389	0.0672114	0.221554	0.669645
a38	0.00196961	0.00139775	0.00246802	0.00488834	0.00897434	0.0224134	0.0386504	0.10449	0.227722	0.587026
a10	0.0124485	0.00693131	0.00880756	0.013383	0.0216673	0.0464262	0.070764	0.136154	0.225157	0.458261
a87	0.212308	0.103086	0.076297	0.0657456	0.0660346	0.0796203	0.0811767	0.0846002	0.0924779	0.138654
a23	0.324913	0.19863	0.12619	0.073327	0.0505231	0.0497028	0.0499563	0.0455086	0.0389082	0.0423406
a87	0.166001	0.104358	0.0694615	0.0454353	0.0350301	0.046928	0.0609364	0.0991523	0.14844	0.224257
</S>	0.018355	0.0144603	0.0140336	0.0137928	0.0146027	0.0305016	0.0496563	0.11899	0.247208	0.4784
