 	cette	femme	use	les	habits	</S>
a23	0.41691	0.191669	0.189024	0.106191	0.0538985	0.0423066
a79	0.492306	0.219063	0.106086	0.0681323	0.0624405	0.0519716
a90	0.414899	0.25026	0.127485	0.0817337	0.0535098	0.0721128
a75	0.394279	0.299671	0.208793	0.0644959	0.0194956	0.0132656
a90	0.413297	0.296842	0.206001	0.0576206	0.0170521	0.00918695
a25	0.335346	0.300541	0.283558	0.0534593	0.016379	0.0107165
a98	0.239304	0.286203	0.358909	0.0652443	0.0274016	0.0229386
a73	0.237392	0.273915	0.312997	0.0859123	0.0478514	0.041932
a44	0.22348	0.301361	0.312491	0.0842607	0.0407535	0.0376533
a90	0.202522	0.276922	0.312036	0.109463	0.0528371	0.0462191
a34	0.131755	0.199008	0.308591	0.189659	0.0930255	0.0779617
a31	0.108411	0.164763	0.255165	0.256321	0.129392	0.0859496
a24	0.046216	0.0783623	0.160273	0.291894	0.2471	0.176154
a9	0.0799437	0.0888685	0.164299	0.224908	0.217249	0.224731
a75	0.0261174	0.0337891	0.0641732	0.163066	0.305707	0.407147
a41	0.0172638	0.0277744	0.0538857	0.125329	0.292678	0.483069
a37	0.00628916	0.00899753	0.0194681	0.0805514	0.300999	0.583694
a70	0.00505708	0.00735675	0.0146818	0.0556207	0.245782	0.671501
a75	0.00720833	0.0104923	0.0180887	0.0582931	0.244005	0.661912
a36	0.00565651	0.00895725	0.0158815	0.0516979	0.253063	0.664744
a2	0.00158833	0.00265207	0.00575483	0.0345308	0.233262	0.722212
a57	0.00305834	0.00404707	0.00823542	0.0550484	0.186903	0.742708
a87	0.0318528	0.0263941	0.0286837	0.0931359	0.277438	0.542496
a23	0.0860164	0.0640901	0.0624059	0.161764	0.300973	0.324751
a87	0.0231606	0.0219715	0.0363351	0.132485	0.36515	0.420898
</S>	0.00649979	0.00904778	0.0237032	0.0980602	0.331734	0.530955
