 	les	gens	se	rassemblèrent	autour	du	cadavre	</S>
a23	0.350013	0.15302	0.0676674	0.0500835	0.053338	0.0909164	0.112166	0.122796
a99	0.131969	0.0851786	0.0686314	0.104902	0.114868	0.169714	0.16152	0.163217
a54	0.132468	0.102899	0.0941309	0.127686	0.133991	0.146963	0.131578	0.130284
a73	0.357523	0.210234	0.148284	0.0938699	0.0762935	0.0455104	0.0367405	0.0315443
a41	0.372318	0.268147	0.176644	0.0815724	0.0519892	0.023637	0.0166699	0.00902217
a27	0.310522	0.263371	0.202915	0.0985514	0.0656163	0.0281271	0.0197004	0.0111964
a38	0.221238	0.188174	0.184969	0.116712	0.111518	0.0704825	0.0610917	0.0458145
a75	0.211277	0.197355	0.213636	0.128835	0.112409	0.0601431	0.0451491	0.0311975
a41	0.230279	0.202318	0.196438	0.126347	0.10891	0.0608192	0.0454897	0.0293987
a94	0.179362	0.168238	0.190412	0.147945	0.129883	0.0765658	0.0640262	0.0435675
a24	0.0896116	0.0854625	0.133709	0.166297	0.191687	0.128707	0.118915	0.0856114
a32	0.0364968	0.0318959	0.0478357	0.092954	0.165973	0.184286	0.231288	0.209272
a75	0.0431644	0.0327409	0.0350276	0.0511859	0.101526	0.159195	0.295887	0.281273
a41	0.0340684	0.0265623	0.0318422	0.049702	0.10854	0.170966	0.290993	0.287326
a18	0.0175112	0.0147077	0.0228689	0.0407338	0.0981138	0.164511	0.312306	0.329248
a56	0.0161787	0.0123765	0.01555	0.0288639	0.0672712	0.129609	0.331142	0.399009
a70	0.0203667	0.018681	0.0276686	0.0442215	0.0907701	0.135553	0.305334	0.357405
a13	0.0118546	0.011713	0.0148832	0.0268634	0.0609542	0.107946	0.30492	0.460866
a38	0.0102296	0.0108847	0.0154704	0.0312384	0.0700934	0.123926	0.321059	0.417099
a70	0.0151948	0.0137304	0.0183705	0.0352379	0.0604858	0.102432	0.289894	0.464654
a98	0.0060003	0.00721201	0.0116669	0.0274627	0.0547499	0.108802	0.317214	0.466893
a9	0.00769718	0.00795934	0.0125686	0.026435	0.043997	0.0878808	0.275185	0.538277
a87	0.00945358	0.0118929	0.0229564	0.0468802	0.0774	0.107766	0.276211	0.447439
a23	0.00516574	0.0065382	0.0134024	0.0244028	0.0573537	0.115217	0.297083	0.480837
a87	0.0427524	0.0433432	0.047252	0.0505479	0.0717276	0.121291	0.220452	0.402635
</S>	0.0304685	0.0344185	0.0579062	0.106915	0.138643	0.154486	0.175803	0.301361
