 	j'	ai	mal	au	ventre	</S>
a66	0.389023	0.190458	0.135251	0.123695	0.0947224	0.0668499
a87	0.447895	0.244061	0.137102	0.0800219	0.0500464	0.0408738
a23	0.592461	0.253663	0.0904736	0.0319884	0.016415	0.0149997
a38	0.544855	0.242131	0.0997593	0.0476911	0.0303353	0.0352279
a54	0.550043	0.218963	0.0909944	0.0557322	0.0410426	0.0432241
a5	0.49009	0.256676	0.111596	0.0678182	0.0428639	0.0309561
a18	0.21531	0.254264	0.208086	0.157099	0.0969382	0.0683028
a93	0.165258	0.191257	0.193868	0.17588	0.139589	0.134148
a94	0.0857216	0.127803	0.182209	0.223162	0.19773	0.183375
a90	0.0518545	0.0762779	0.130884	0.222122	0.245512	0.273349
a15	0.0486873	0.0821644	0.155445	0.23899	0.249318	0.225395
a79	0.0243393	0.0323362	0.0669825	0.184002	0.281932	0.410408
a92	0.026744	0.033294	0.061017	0.173851	0.292003	0.413091
a36	0.0201288	0.028942	0.0605658	0.17875	0.309737	0.401877
a18	0.00596312	0.0078457	0.0158587	0.0685004	0.218092	0.68374
a88	0.01699	0.02	0.0298823	0.0692695	0.188404	0.675454
a70	0.0285862	0.0320929	0.0436744	0.092316	0.210117	0.593214
a88	0.0114335	0.0152591	0.0231523	0.0689546	0.201979	0.679221
a11	0.0126828	0.0161709	0.0230702	0.0671029	0.198698	0.682276
a38	0.024097	0.0253857	0.0312621	0.0677936	0.189903	0.661559
a13	0.0361793	0.0361117	0.0409898	0.0764256	0.179605	0.630689
a57	0.0375031	0.0337488	0.037943	0.0721277	0.175671	0.643007
a99	0.111013	0.0712898	0.0619063	0.0952296	0.182307	0.478255
a87	0.214792	0.118339	0.0829061	0.100908	0.152804	0.33025
a23	0.305192	0.138512	0.0873884	0.0880571	0.124225	0.256626
a87	0.269033	0.157918	0.10825	0.111436	0.136806	0.216556
</S>	0.15185	0.109856	0.0919614	0.130984	0.1965	0.318848
