 	toutes	les	oranges	qu'	il	m'	a	données	étaient	déjà	pourries	</S>
a15	0.128071	0.095722	0.0861782	0.0804919	0.108737	0.128208	0.121706	0.0942658	0.0711018	0.0443359	0.0253369	0.0158448
a66	0.14876	0.108552	0.153876	0.104295	0.0751524	0.0956367	0.109446	0.0844892	0.0519271	0.0359178	0.0187947	0.0131532
a10	0.464374	0.236133	0.10179	0.0425674	0.0348631	0.0318877	0.0280802	0.0248029	0.0119666	0.00737874	0.00668993	0.00946677
a87	0.331784	0.260946	0.167003	0.0651796	0.0477102	0.0393735	0.0286032	0.024248	0.0139096	0.00983516	0.00599193	0.00541604
a23	0.285895	0.2515	0.17442	0.0729837	0.050021	0.0463868	0.0370452	0.0323411	0.0193134	0.0139639	0.00829336	0.00783734
a83	0.199675	0.218972	0.227603	0.124326	0.0630857	0.0509547	0.0355419	0.0299364	0.0174371	0.0140649	0.00783869	0.0105653
a9	0.157094	0.253297	0.298524	0.11373	0.0394673	0.0382322	0.0236118	0.0175681	0.0160464	0.0160385	0.0115463	0.014844
a38	0.169722	0.265731	0.253991	0.105627	0.0402278	0.0368854	0.0252088	0.0256204	0.0277341	0.0221958	0.013522	0.0135342
a47	0.164531	0.232528	0.215615	0.12204	0.0485869	0.0454474	0.028695	0.0321808	0.0338746	0.0297062	0.0220399	0.024756
a61	0.13652	0.226049	0.197322	0.113397	0.0478384	0.0417064	0.028267	0.0352625	0.0448028	0.0446508	0.0385784	0.0456053
a62	0.13259	0.237982	0.227284	0.1327	0.0521654	0.0414283	0.0219365	0.032984	0.037384	0.0324236	0.0251427	0.0259788
a47	0.161338	0.194164	0.181295	0.13544	0.0805317	0.0646597	0.0310013	0.039107	0.0372375	0.0290159	0.023652	0.0225576
a21	0.109688	0.162119	0.188101	0.158254	0.102383	0.0891073	0.046312	0.0484219	0.0355573	0.0248514	0.0178452	0.0173595
a47	0.102865	0.120117	0.140606	0.143473	0.128908	0.124908	0.0675197	0.0680544	0.0450978	0.0238245	0.0165681	0.0180577
a12	0.0505652	0.0802864	0.131329	0.161874	0.156348	0.148147	0.0864499	0.0745749	0.0443733	0.0253588	0.018767	0.0219255
a24	0.0168908	0.0322765	0.0773906	0.14498	0.218376	0.203609	0.118066	0.0750555	0.0463531	0.0253591	0.0174222	0.0242212
a88	0.00789588	0.0160495	0.0364176	0.0960713	0.193958	0.214617	0.157587	0.0954243	0.068005	0.0453627	0.0326773	0.0359349
a75	0.00865172	0.0156031	0.0310481	0.082867	0.194012	0.182874	0.165531	0.112364	0.0695927	0.0526284	0.0414133	0.0434147
a25	0.00898532	0.0165653	0.0310117	0.0626455	0.141346	0.153163	0.128474	0.0843406	0.0910444	0.0774495	0.0815225	0.123453
a92	0.00620489	0.0110624	0.0214488	0.0498386	0.143476	0.136987	0.15087	0.0625473	0.0553218	0.0622379	0.0964329	0.203573
a56	0.00509129	0.00841433	0.0183335	0.0423092	0.114806	0.125829	0.133073	0.0748848	0.0869513	0.0937169	0.122211	0.17438
a24	0.00476859	0.00925788	0.0202689	0.0539233	0.140778	0.14516	0.153328	0.0797199	0.0811818	0.0884674	0.106149	0.116998
a31	0.00612332	0.0109415	0.0181036	0.0505463	0.138918	0.139995	0.181985	0.0909013	0.0697043	0.0811342	0.0912726	0.120375
a88	0.00647535	0.0117616	0.0200911	0.0491634	0.112173	0.12784	0.144957	0.0841202	0.0783485	0.0988602	0.129214	0.136996
a0	0.00569956	0.0112314	0.0181872	0.0442707	0.0996502	0.1027	0.124911	0.0636599	0.065627	0.10932	0.156554	0.198188
a75	0.00644041	0.0131262	0.0188468	0.0464337	0.0991757	0.0957454	0.131821	0.0625978	0.0628653	0.109297	0.160833	0.192818
a25	0.00301654	0.00513272	0.00961575	0.0179845	0.0360182	0.0305484	0.0327024	0.0185542	0.0249456	0.0617288	0.183699	0.576054
a69	0.00289852	0.00420627	0.0068654	0.0142468	0.0304778	0.0248246	0.0282516	0.0160093	0.0204593	0.051323	0.179745	0.620693
a58	0.00345985	0.00488299	0.00780722	0.0191573	0.0395644	0.0299981	0.0358841	0.0224179	0.0297491	0.0730597	0.213709	0.52031
a82	0.00799445	0.0100036	0.0102621	0.025198	0.0521413	0.0402214	0.0551866	0.0312959	0.0280868	0.0523789	0.155834	0.531397
a87	0.0264397	0.02627	0.0239822	0.0386649	0.0630994	0.0566298	0.06694	0.0440782	0.041524	0.0687181	0.156774	0.38688
a83	0.0267736	0.0221179	0.021371	0.0282894	0.0335862	0.0332234	0.0518736	0.050595	0.0928194	0.1652	0.209896	0.264255
a88	0.00489041	0.00291524	0.00217523	0.00384747	0.00510528	0.00657702	0.0136675	0.0183603	0.0433899	0.11717	0.310898	0.471004
a71	0.000364448	0.000440757	0.00067763	0.00148343	0.00336761	0.00433454	0.0060317	0.00459619	0.0118419	0.0470915	0.239513	0.680257
a62	0.000972845	0.00121381	0.00164554	0.00394619	0.00837719	0.00896524	0.0152553	0.00944505	0.0157	0.0533546	0.201402	0.679722
a21	0.00107482	0.00160608	0.00246537	0.00476836	0.00906089	0.010508	0.012804	0.0098352	0.0195494	0.0576591	0.188052	0.682616
a85	0.000846307	0.00124077	0.00176103	0.00324299	0.0053918	0.00598116	0.00780584	0.00746525	0.017108	0.0524588	0.175624	0.721074
a37	0.000233751	0.000439744	0.000716109	0.00179201	0.00357989	0.00351994	0.00513346	0.00363755	0.0074924	0.0279907	0.113807	0.831657
a90	0.00081221	0.0012937	0.00147702	0.00317455	0.00596549	0.00622277	0.0100408	0.00645722	0.0117039	0.0413987	0.166381	0.745073
a69	0.000206724	0.00024494	0.000278937	0.000757415	0.00206	0.00216771	0.00418956	0.00295648	0.00642612	0.0262493	0.104921	0.849542
a4	0.000120497	0.000164445	0.000225898	0.000750644	0.00192071	0.00194075	0.00376404	0.00252113	0.00495291	0.0198996	0.104467	0.859273
a53	0.000371547	0.000509637	0.000671547	0.00159863	0.00329808	0.0031289	0.00581246	0.00372546	0.00778931	0.0353687	0.170254	0.767471
a4	0.000323272	0.000448164	0.000683819	0.00189115	0.00423407	0.00481665	0.00826193	0.00490243	0.00882171	0.0375128	0.17658	0.751524
a57	0.000506542	0.000678576	0.00105136	0.00268122	0.00541633	0.0055572	0.00902501	0.00570655	0.010751	0.0395664	0.175386	0.743674
a82	0.00267425	0.00312913	0.00252552	0.00444686	0.00710967	0.00550363	0.0106769	0.00773377	0.0130459	0.0361211	0.147665	0.759368
a87	0.0844908	0.0577089	0.0362388	0.0332659	0.0382651	0.0286669	0.0410082	0.0424908	0.0508776	0.0688479	0.138981	0.379158
a23	0.186866	0.104799	0.0657301	0.0674692	0.0528827	0.0503671	0.0829402	0.0669182	0.0543758	0.0687272	0.0747829	0.124141
a87	0.0867717	0.0304141	0.0151479	0.0185048	0.0158471	0.0195852	0.0477619	0.0527695	0.0796842	0.115452	0.198631	0.319431
</S>	0.0226925	0.00807227	0.00443616	0.00624025	0.00621422	0.0071464	0.016972	0.0224528	0.037823	0.0561873	0.191604	0.620159
