 	ils	ont	levé	l'	ancre	hier	</S>
a23	0.373903	0.200807	0.0622913	0.0432916	0.0555762	0.125041	0.13909
a87	0.096697	0.0693126	0.078384	0.118228	0.159144	0.220766	0.257469
a23	0.200925	0.160758	0.167659	0.163952	0.111923	0.0884115	0.106371
a54	0.148907	0.125165	0.105675	0.116498	0.165211	0.160055	0.17849
a30	0.349182	0.237516	0.160429	0.106017	0.0996457	0.0292587	0.0179524
a41	0.27209	0.288162	0.232592	0.111214	0.0578487	0.0220555	0.016037
a66	0.274171	0.278722	0.23444	0.121942	0.0527939	0.0221129	0.0158189
a38	0.25222	0.283103	0.256315	0.115126	0.0494061	0.0233033	0.0205263
a26	0.16276	0.224173	0.278015	0.167789	0.0795863	0.0466395	0.0410375
a35	0.172481	0.223841	0.246292	0.16748	0.0937754	0.0519022	0.0442282
a24	0.157204	0.210569	0.254574	0.188407	0.0929678	0.0542346	0.0420437
a35	0.1485	0.192989	0.198745	0.170079	0.126526	0.0875239	0.0756367
a66	0.110218	0.138227	0.166402	0.192703	0.15488	0.120575	0.116994
a38	0.0297717	0.0493255	0.0949233	0.153769	0.221117	0.240875	0.210219
a30	0.0382174	0.0522155	0.0853434	0.145152	0.229432	0.2326	0.217039
a35	0.0368038	0.0462069	0.0700109	0.129488	0.232717	0.244534	0.24024
a24	0.0241212	0.0294039	0.0348874	0.0775946	0.191051	0.284114	0.358828
a35	0.00725505	0.00926117	0.0122144	0.0325099	0.124123	0.328819	0.485818
a30	0.0110515	0.013184	0.0147814	0.0278772	0.102838	0.310457	0.51981
a14	0.0101265	0.0121832	0.017222	0.0334619	0.106173	0.340679	0.480154
a44	0.0043812	0.00498852	0.00660625	0.0166332	0.0834522	0.329671	0.554268
a84	0.00512931	0.0067494	0.0102469	0.0218735	0.0741597	0.302017	0.579824
a57	0.000602325	0.000826665	0.00154352	0.00498533	0.0344421	0.276389	0.681211
a76	0.000906741	0.000768289	0.00111758	0.00415819	0.0269661	0.241355	0.724728
a73	0.000922284	0.00129439	0.0024484	0.0078447	0.0455067	0.274184	0.6678
a84	0.000934428	0.00123045	0.00221258	0.00669481	0.0445716	0.286279	0.658077
a87	0.00159377	0.00175019	0.00273109	0.00843333	0.0400391	0.263844	0.681609
a23	0.0125637	0.00909951	0.00924716	0.020863	0.085204	0.305719	0.557304
a87	0.0865499	0.0688469	0.0448383	0.0642705	0.135568	0.229601	0.370326
</S>	0.0102875	0.00859316	0.00840476	0.0251083	0.132439	0.351577	0.46359
