 	montre-moi	la	différence	entre	ces	deux	choses	</S>
a66	0.348092	0.34549	0.138425	0.0626354	0.0402337	0.0240141	0.020662	0.0204477
a87	0.461573	0.267255	0.107026	0.0437281	0.0324046	0.0261491	0.0304203	0.031443
a23	0.713036	0.139378	0.0550879	0.0263186	0.0185328	0.0129362	0.0149019	0.0198082
a79	0.614086	0.0736693	0.0330215	0.0384429	0.0431304	0.0506163	0.0621925	0.0848407
a7	0.648177	0.128238	0.0494996	0.0161775	0.0167785	0.0211228	0.0412406	0.0787654
a0	0.369532	0.211037	0.168603	0.0536376	0.051047	0.0429324	0.0502104	0.0530011
a21	0.177769	0.157764	0.207742	0.135778	0.110834	0.0745152	0.0696833	0.065914
a5	0.169235	0.287355	0.248866	0.13144	0.0733867	0.0319817	0.0280168	0.0297191
a75	0.215522	0.284446	0.203979	0.107807	0.0661241	0.0369901	0.0390229	0.0461087
a6	0.108161	0.180818	0.193758	0.147276	0.0952006	0.0713888	0.0924558	0.110942
a36	0.130641	0.156657	0.165611	0.144588	0.0947328	0.0800083	0.10424	0.123522
a21	0.211093	0.199542	0.139875	0.108649	0.0797043	0.0658239	0.083711	0.111602
a5	0.184193	0.248447	0.217151	0.100867	0.0624469	0.0477336	0.060321	0.0788407
a21	0.101851	0.188272	0.206929	0.144351	0.0937321	0.0716035	0.0848533	0.108409
a5	0.0714575	0.134343	0.175521	0.169295	0.121064	0.0953608	0.102812	0.130146
a12	0.0626693	0.0930833	0.135975	0.148121	0.113697	0.108276	0.129689	0.208489
a62	0.0481698	0.0764849	0.128663	0.128053	0.108035	0.119794	0.144734	0.246066
a12	0.0176611	0.0247076	0.0507907	0.0960236	0.0983873	0.148903	0.204171	0.359356
a62	0.0130756	0.0197542	0.0473732	0.0775139	0.0890832	0.168661	0.241456	0.343082
a88	0.00845546	0.014802	0.034272	0.0616389	0.0750249	0.172099	0.280322	0.353386
a75	0.00278564	0.00457103	0.0108809	0.0247317	0.0333436	0.110683	0.293684	0.519321
a47	0.00173575	0.00229202	0.00550606	0.0112889	0.0250421	0.107034	0.313281	0.53382
a36	0.00065373	0.000828323	0.00202272	0.00478512	0.0112678	0.066873	0.271162	0.642407
a2	0.00199181	0.00293887	0.00529879	0.00970273	0.0184824	0.056423	0.207394	0.697769
a57	0.0216176	0.030597	0.0589654	0.0691433	0.0781223	0.10693	0.196271	0.438353
a87	0.0944949	0.0923963	0.110542	0.103086	0.0988404	0.102154	0.140439	0.258047
a23	0.192593	0.219671	0.152884	0.0888713	0.0733416	0.0704109	0.0819012	0.120327
a87	0.109395	0.09532	0.0394018	0.0276438	0.0359373	0.0992999	0.264317	0.328685
</S>	0.0117016	0.0109778	0.00845431	0.0193467	0.0293083	0.103278	0.326315	0.490618
