 	ce	couteau	est	émoussé	donne	moi	un	autre	</S>
a87	0.182193	0.136107	0.143314	0.225739	0.139116	0.0689515	0.0410244	0.0316232	0.031932
a23	0.235542	0.214697	0.121309	0.0822778	0.0870828	0.0645881	0.0584829	0.0618657	0.0741547
a24	0.300835	0.249413	0.132767	0.0980014	0.0679625	0.0432562	0.037623	0.0347312	0.0354103
a98	0.459258	0.212276	0.128429	0.101059	0.0468006	0.019074	0.0126985	0.0104169	0.00998905
a13	0.391222	0.228677	0.138591	0.114528	0.0513046	0.0225946	0.0211118	0.0183949	0.0135754
a98	0.342598	0.226958	0.169188	0.132339	0.0476085	0.0227635	0.0211927	0.0200983	0.0172549
a73	0.226074	0.22657	0.234183	0.17876	0.0531241	0.0248686	0.0200133	0.018349	0.0180573
a44	0.202373	0.227886	0.243597	0.19948	0.0548077	0.0237773	0.0179195	0.0152392	0.0149201
a57	0.165903	0.217329	0.249539	0.208606	0.057572	0.0290919	0.0234059	0.0234174	0.0251366
a38	0.100304	0.133527	0.173627	0.21002	0.0929518	0.0749275	0.0618612	0.0711683	0.0816127
a24	0.1011	0.136583	0.173012	0.192681	0.0963725	0.0777752	0.064656	0.0734993	0.0843209
a71	0.109668	0.168436	0.188342	0.153409	0.104485	0.075859	0.0671555	0.0651394	0.0675069
a38	0.0839579	0.122396	0.141391	0.141168	0.110795	0.104456	0.0982933	0.102763	0.0947797
a11	0.0599624	0.0723881	0.098936	0.139221	0.139613	0.135595	0.121195	0.121475	0.111615
a24	0.044655	0.0597899	0.0737329	0.098042	0.109118	0.1307	0.147312	0.174258	0.162392
a56	0.0470637	0.0541826	0.0533369	0.0720305	0.0715149	0.09444	0.129817	0.209269	0.268345
a90	0.0658593	0.0643093	0.0629332	0.0704366	0.0813671	0.117872	0.143356	0.189648	0.204219
a13	0.0276305	0.0265435	0.0339402	0.0530349	0.0805875	0.124812	0.160541	0.231785	0.261125
a9	0.018186	0.0165518	0.0188175	0.0310164	0.0569342	0.0997577	0.14834	0.257476	0.35292
a38	0.00979217	0.00945753	0.0104498	0.0183789	0.038747	0.0751107	0.12944	0.261895	0.446728
a90	0.00805567	0.00672638	0.00650297	0.00937973	0.0217289	0.0553004	0.107489	0.261192	0.523625
a70	0.0083219	0.00514764	0.00507099	0.00756326	0.0161461	0.0453169	0.0969118	0.271203	0.544318
a4	0.0181975	0.013709	0.0119883	0.0136642	0.0234038	0.0475838	0.0886556	0.239609	0.543188
a57	0.0121545	0.00792601	0.00712243	0.00840549	0.0166448	0.0388477	0.0803108	0.237964	0.590624
a3	0.00646483	0.00524323	0.00415796	0.00514997	0.0165061	0.0403402	0.0866729	0.24328	0.592184
a99	0.00300086	0.00251788	0.00172308	0.00192975	0.0075479	0.0302885	0.0751355	0.223035	0.654822
a87	0.00382396	0.00330919	0.00192659	0.00199484	0.00723575	0.0238783	0.056485	0.195376	0.705971
a79	0.0302404	0.0235713	0.0140752	0.0151553	0.0354652	0.0620587	0.096791	0.21455	0.508093
a54	0.0216093	0.0172058	0.00929217	0.0101428	0.0278991	0.0575465	0.0976376	0.247879	0.510787
a41	0.00774793	0.00716393	0.00456095	0.00729874	0.0214906	0.0489536	0.0919506	0.245214	0.56562
a94	0.0043464	0.00310548	0.0022607	0.00303206	0.0128304	0.0348357	0.0770236	0.229046	0.633519
a24	0.00421119	0.00336146	0.00262925	0.00335466	0.014734	0.0355237	0.0788613	0.231793	0.625531
a47	0.00356155	0.00270541	0.00228967	0.00285235	0.0129696	0.0342779	0.0830878	0.245709	0.612547
a43	0.00688044	0.00482438	0.00394207	0.00467583	0.0142065	0.0325496	0.0766406	0.237321	0.618959
a32	0.00457644	0.00338312	0.00257181	0.00279952	0.0113764	0.0289705	0.0707643	0.228868	0.64669
a56	0.00965691	0.00629723	0.00413601	0.00366446	0.0147789	0.0333852	0.0750475	0.224971	0.628063
a32	0.0129218	0.00879457	0.0060636	0.00512931	0.0163798	0.0360802	0.0807063	0.232656	0.601268
a90	0.0084738	0.00636606	0.0040715	0.00339135	0.012368	0.0277584	0.0650072	0.206049	0.666515
a13	0.00795514	0.00579744	0.00377464	0.00347159	0.012635	0.0263471	0.0614539	0.202597	0.675968
a9	0.00871062	0.00742226	0.00421646	0.0038383	0.0154577	0.0319108	0.0689241	0.201007	0.658512
a87	0.00836765	0.00603131	0.0028388	0.00233087	0.0097176	0.025797	0.0583224	0.181819	0.704775
</S>	0.014635	0.00923037	0.00362424	0.00253089	0.0151015	0.0350573	0.0704867	0.206068	0.643266
