 	il	croit	aux	fétiches	</S>
a66	0.565048	0.218473	0.0989203	0.0679663	0.0495923
a87	0.317531	0.171166	0.150093	0.168809	0.192401
a97	0.182088	0.199931	0.166898	0.215985	0.235098
a79	0.158405	0.273264	0.194135	0.199192	0.175004
a20	0.279481	0.193948	0.14148	0.170074	0.215016
a15	0.471996	0.205447	0.105635	0.101175	0.115747
a85	0.594224	0.180652	0.0975989	0.0594498	0.0680754
a47	0.579521	0.170398	0.103787	0.0636253	0.0826688
a36	0.488634	0.186922	0.119549	0.0861984	0.118696
a85	0.415891	0.217866	0.137128	0.0951854	0.13393
a5	0.392701	0.235504	0.143968	0.0977448	0.130083
a21	0.328625	0.242001	0.160326	0.120416	0.148632
a5	0.136218	0.20496	0.212778	0.207268	0.238776
a98	0.0703059	0.182955	0.222762	0.240287	0.28369
a47	0.0442999	0.128161	0.192471	0.261127	0.373941
a36	0.0132509	0.0528371	0.122961	0.269159	0.541793
a56	0.0118072	0.031189	0.0792051	0.260785	0.617014
a96	0.0189521	0.041314	0.118373	0.302087	0.519274
a66	0.016698	0.0307423	0.0937805	0.283164	0.575615
a13	0.0239311	0.0476129	0.111825	0.269058	0.547573
a57	0.0219586	0.0531188	0.114566	0.272047	0.538309
a9	0.0332915	0.0743455	0.139254	0.276787	0.476322
a97	0.0409594	0.117612	0.195383	0.283168	0.362877
a82	0.0644088	0.124219	0.195944	0.269481	0.345948
</S>	0.0304289	0.084966	0.168354	0.299836	0.416415
