 	la	manière	dont	il	s'	est	calmé	montre	qu'	il	s'	est	reconnait	son	tort	</S>
a66	0.107795	0.0762673	0.0811431	0.0978324	0.112193	0.103251	0.0960006	0.0602219	0.0517057	0.0484827	0.0498227	0.0449858	0.0329184	0.0162676	0.0110347	0.0100786
a87	0.207182	0.129015	0.0746363	0.056948	0.0643163	0.0725031	0.0728121	0.0709515	0.0461048	0.0445015	0.0420069	0.0352387	0.0235398	0.0205362	0.0193245	0.0203836
a23	0.288609	0.164564	0.101343	0.0749346	0.0716928	0.0595331	0.0453521	0.033249	0.0262595	0.0222965	0.0214919	0.0197977	0.0170545	0.0162312	0.0157427	0.021848
a10	0.2556	0.260501	0.124736	0.0581904	0.0610308	0.0487986	0.0442032	0.0338303	0.0213857	0.0169679	0.0151167	0.0147979	0.010254	0.00973336	0.00981123	0.0150423
a87	0.196861	0.242832	0.157855	0.0804617	0.0808831	0.0529897	0.0485605	0.0278922	0.0218367	0.0197929	0.0181193	0.0164233	0.0112753	0.00931905	0.00711457	0.00778412
a23	0.182134	0.21973	0.148281	0.075734	0.0809685	0.0607338	0.0563831	0.0343795	0.0282771	0.0261477	0.023044	0.0210399	0.0138073	0.0116253	0.0085728	0.00914163
a18	0.229005	0.219652	0.121296	0.0506638	0.0594182	0.0474496	0.0561647	0.0293335	0.0308874	0.0309692	0.0288494	0.0257776	0.0207333	0.0179949	0.0148619	0.0169426
a38	0.280464	0.157492	0.113367	0.0600364	0.0750799	0.053773	0.0672517	0.0282249	0.0249172	0.0248087	0.0249646	0.0181429	0.0188994	0.0208147	0.0162034	0.0155594
a90	0.355119	0.205952	0.122021	0.0537063	0.055304	0.0343641	0.0368212	0.0165366	0.0137118	0.013681	0.0139743	0.0096209	0.0110939	0.0169982	0.019278	0.021818
a93	0.264828	0.22288	0.138179	0.0767521	0.0660007	0.0407189	0.0365648	0.0229022	0.0153102	0.0132741	0.0128982	0.00983505	0.0111987	0.0174118	0.0234862	0.0277596
a70	0.154479	0.191667	0.160445	0.0910448	0.07082	0.0511774	0.0481457	0.0372348	0.0257535	0.0199768	0.0188841	0.0138688	0.0167308	0.025491	0.0333786	0.0409031
a62	0.12055	0.162993	0.157496	0.103062	0.083968	0.0674092	0.064119	0.0539427	0.0345764	0.0245864	0.0212725	0.0161773	0.0178403	0.0208625	0.0231487	0.027995
a21	0.100438	0.141464	0.142234	0.103828	0.087518	0.0721687	0.0738766	0.0692361	0.045185	0.0313741	0.0260453	0.020435	0.0211314	0.0205368	0.0201308	0.0243986
a12	0.0753751	0.118253	0.121061	0.108097	0.0892884	0.076675	0.0813845	0.0745783	0.0581192	0.0442805	0.0367942	0.0285309	0.0237041	0.0188426	0.0198704	0.0251459
a18	0.0423062	0.0724149	0.0931983	0.116507	0.108328	0.100118	0.105961	0.0986251	0.0736527	0.0534193	0.0400228	0.0312509	0.0213812	0.0134681	0.0133398	0.0160063
a93	0.017837	0.0293271	0.0479001	0.0896675	0.0929846	0.0992821	0.112981	0.131085	0.0990868	0.064052	0.0432283	0.0326369	0.0265701	0.0254207	0.0343998	0.0535414
a62	0.0177897	0.0262119	0.0442106	0.0873772	0.0889561	0.0963578	0.110903	0.123363	0.101943	0.0731031	0.0529821	0.0386708	0.0264013	0.0216721	0.0340301	0.0560281
a70	0.0135269	0.0207576	0.0297429	0.079633	0.0900762	0.109123	0.125513	0.144258	0.12105	0.0853093	0.057691	0.0406932	0.0234783	0.0153762	0.0183886	0.0253832
a93	0.0106323	0.0142771	0.0209153	0.0580183	0.0697592	0.0925242	0.118235	0.151397	0.144385	0.104112	0.0718714	0.0490779	0.0289054	0.0182963	0.0201208	0.027473
a98	0.00629759	0.00972069	0.0161336	0.0604809	0.0701963	0.100433	0.110115	0.132021	0.113298	0.0902848	0.0705993	0.0581532	0.0374389	0.0266482	0.0394918	0.0586887
a15	0.00283292	0.00524884	0.00858157	0.0476931	0.0616334	0.10901	0.10576	0.140808	0.122901	0.0969948	0.0682328	0.0564946	0.0327384	0.0281946	0.0431335	0.0697428
a7	0.00280346	0.00486844	0.00773821	0.0411203	0.0541169	0.105384	0.108609	0.134355	0.140667	0.115836	0.0716826	0.0568048	0.0292635	0.0231129	0.0366281	0.0670108
a26	0.00416031	0.00534206	0.00806636	0.0293849	0.0415457	0.0878127	0.121925	0.148841	0.171376	0.139365	0.0854684	0.0620243	0.0265725	0.0151515	0.0190417	0.0339224
a57	0.00925485	0.0114285	0.0154557	0.0315336	0.0373749	0.0678056	0.0984904	0.153975	0.182365	0.136808	0.0871308	0.0729972	0.0327231	0.0172283	0.0158541	0.029576
a87	0.0142976	0.014811	0.0166831	0.0317848	0.0377579	0.0675518	0.0890284	0.144518	0.148256	0.114856	0.0869591	0.0846459	0.0511916	0.0303892	0.0249181	0.0423507
a23	0.0592826	0.0390148	0.0288647	0.0392399	0.0432747	0.0677691	0.0694949	0.0905128	0.100785	0.0948134	0.0862319	0.0780868	0.0532506	0.043696	0.0434332	0.0622497
a97	0.0294649	0.020188	0.0165148	0.033193	0.0490157	0.0893805	0.08859	0.0931609	0.0850826	0.0792669	0.0709649	0.0694358	0.0526628	0.0480747	0.0604463	0.114558
a99	0.0123318	0.0102381	0.010314	0.0240512	0.0348427	0.0673252	0.0679792	0.080725	0.0953753	0.0939236	0.0851644	0.0785027	0.0596752	0.0692819	0.0832343	0.127035
a50	0.00760739	0.00678571	0.00665282	0.014793	0.0217469	0.0433897	0.048054	0.0584702	0.0751092	0.0787634	0.0741737	0.0673482	0.0674548	0.0967839	0.133154	0.199713
a62	0.00358236	0.00342264	0.00391185	0.00939822	0.0113598	0.019987	0.02303	0.0324797	0.0502724	0.0544775	0.0618079	0.0495197	0.0823372	0.150223	0.209546	0.234645
a47	0.00525818	0.00542428	0.00522512	0.0111153	0.0124448	0.0203441	0.0224269	0.0275023	0.0414572	0.0468116	0.0571702	0.0509329	0.0907839	0.154509	0.224519	0.224075
a31	0.0042583	0.0046841	0.00524774	0.013124	0.0162954	0.0286302	0.0337657	0.0433612	0.0566752	0.0601646	0.0703022	0.0719485	0.11295	0.143046	0.167257	0.16829
a0	0.00277901	0.00330465	0.00347199	0.00929799	0.011804	0.0205746	0.0232312	0.0302995	0.0390253	0.0410856	0.0479715	0.0517188	0.0907746	0.153976	0.226554	0.244131
a62	0.00215455	0.00235179	0.00297099	0.00776118	0.0103348	0.0194537	0.0248917	0.0349163	0.0469064	0.0489386	0.0573694	0.0614177	0.106308	0.164663	0.204714	0.204848
a47	0.0029209	0.00320344	0.00381536	0.0111276	0.0153129	0.0265856	0.0305087	0.0388051	0.0471248	0.0486846	0.0552069	0.060801	0.102989	0.164229	0.195549	0.193137
a21	0.00288781	0.00330366	0.00404724	0.0108414	0.0148197	0.025668	0.0328195	0.044194	0.0525766	0.0510643	0.0541424	0.0574702	0.0985853	0.153341	0.185719	0.20852
a92	0.000880028	0.0010569	0.00140195	0.00507318	0.00711379	0.0138539	0.0176436	0.0310212	0.0392809	0.0380249	0.0396466	0.0474574	0.0798482	0.153224	0.227009	0.297464
a90	0.000413331	0.000541695	0.000740718	0.00346611	0.00503578	0.0105787	0.0140892	0.0263348	0.0361251	0.0348934	0.0346739	0.0406358	0.0626506	0.136166	0.238039	0.355616
a98	0.000435491	0.000749887	0.000963479	0.00387269	0.00532572	0.0115418	0.014747	0.0238129	0.0354061	0.0355331	0.032836	0.0362276	0.0434868	0.0992277	0.22368	0.432153
a85	0.00055435	0.00125568	0.00164218	0.00659172	0.00802133	0.0171529	0.0193372	0.033148	0.0462545	0.0451244	0.0386415	0.0430676	0.0441689	0.0901984	0.199173	0.405668
a75	0.000464442	0.000634194	0.000870726	0.00381381	0.00481389	0.0105882	0.0117796	0.0208189	0.0313205	0.0326946	0.032135	0.0398968	0.0508553	0.101928	0.216316	0.441069
a47	0.000669405	0.000990952	0.00115682	0.00423911	0.00528025	0.0122367	0.0141868	0.0241226	0.0397079	0.0399886	0.0323654	0.0388135	0.0379162	0.084301	0.208349	0.455675
a61	0.000451963	0.000711011	0.000822161	0.00313726	0.00384776	0.00921475	0.00993849	0.0212597	0.0333847	0.0313079	0.023622	0.0281532	0.0269422	0.0726378	0.203124	0.531445
a88	0.000586759	0.000623564	0.000709595	0.0025688	0.00343979	0.00735025	0.0100702	0.0250438	0.0428799	0.0392994	0.0305688	0.0372523	0.038738	0.0842913	0.188961	0.487616
a9	0.00055343	0.000588743	0.00079327	0.00261031	0.00335759	0.00635159	0.0091658	0.0246378	0.0408796	0.0370929	0.0324801	0.0420443	0.0527213	0.105139	0.189327	0.452258
a87	0.0018843	0.00145134	0.00159125	0.00298945	0.0037123	0.00623065	0.0095524	0.0180894	0.0363983	0.0379158	0.0363717	0.0422221	0.0623628	0.12784	0.209474	0.401915
a23	0.00956269	0.00715494	0.00690297	0.0101862	0.0104585	0.0160367	0.0173645	0.0239664	0.0416633	0.0458569	0.0530259	0.0589098	0.105724	0.158768	0.178941	0.255479
a40	0.00170112	0.00129572	0.00109327	0.00186719	0.00198027	0.00353088	0.00404879	0.00815167	0.0132705	0.0137853	0.0161179	0.0205096	0.0401637	0.113294	0.250729	0.508461
a37	0.000136837	0.000157673	0.000184809	0.00060076	0.00072926	0.00184395	0.00276995	0.00618234	0.0140339	0.0169938	0.0204079	0.0283414	0.0587641	0.147413	0.251036	0.450404
a6	8.43252e-05	9.70023e-05	0.000101046	0.000307622	0.0004022	0.00100796	0.00166682	0.00418513	0.00995384	0.0110483	0.0114909	0.0154326	0.0298691	0.0956461	0.239378	0.579329
a5	3.06589e-05	4.30464e-05	5.01433e-05	0.00015453	0.000204433	0.000537462	0.00083524	0.0025453	0.00572934	0.00663702	0.00759002	0.0124867	0.0275314	0.101533	0.231265	0.602827
a62	5.08794e-05	6.68064e-05	7.68155e-05	0.000251124	0.00035331	0.000909313	0.00141848	0.00352083	0.00760319	0.00844464	0.00882107	0.0139144	0.0267767	0.0926178	0.232169	0.603006
a47	0.000142792	0.000151092	0.000172459	0.000617567	0.000817961	0.00178585	0.00240914	0.00643592	0.0131348	0.0138402	0.0144692	0.0212155	0.0351487	0.0950968	0.210694	0.583868
a90	0.000246065	0.000273507	0.000354388	0.00125262	0.00165295	0.00344115	0.00466585	0.0125883	0.0215849	0.0210789	0.0210116	0.0294956	0.0454377	0.114847	0.21285	0.50922
a92	6.09704e-05	8.91995e-05	0.000109898	0.000383546	0.000549805	0.00145268	0.00226193	0.00711758	0.0131298	0.0122634	0.0107572	0.0162494	0.0247661	0.0787394	0.205332	0.626737
a37	8.31274e-05	9.83261e-05	0.000122602	0.000361609	0.00048407	0.00115044	0.00156578	0.00452358	0.00991518	0.0102546	0.00958223	0.0164993	0.0238463	0.0831874	0.21615	0.622175
a11	0.000119095	0.000127608	0.000155512	0.000587194	0.000727949	0.00148444	0.00183613	0.00497406	0.0103729	0.0101584	0.00954048	0.0140411	0.0207478	0.069315	0.194935	0.660877
a90	0.000711281	0.00063219	0.000630966	0.00124147	0.00143167	0.0026492	0.00387652	0.00822285	0.0186614	0.0195829	0.0187716	0.0237945	0.0396248	0.107187	0.216516	0.536466
a25	0.000134631	0.000166105	0.000204507	0.000532168	0.00058792	0.00109574	0.0014193	0.00333997	0.00749796	0.00803566	0.00804658	0.0129593	0.0218854	0.0869041	0.220571	0.62662
a69	0.000138437	0.000179912	0.000225474	0.000567155	0.000565939	0.00114035	0.00122032	0.00384144	0.00668895	0.006376	0.00574999	0.00802405	0.0131782	0.05954	0.190079	0.702485
