 	cet	enfant	est	en	train	de	rire	</S>
a87	0.295459	0.162937	0.119904	0.136248	0.117977	0.0881627	0.044673	0.03464
a23	0.433649	0.120052	0.0688423	0.0736493	0.0800738	0.0902052	0.0726883	0.06084
a83	0.202767	0.115156	0.119275	0.117635	0.105629	0.103377	0.100437	0.135726
a54	0.300039	0.204864	0.141857	0.109182	0.0818245	0.0683225	0.0461682	0.0477422
a47	0.310097	0.224766	0.147191	0.0899381	0.066667	0.062068	0.0476142	0.0516581
a37	0.298444	0.222775	0.153732	0.0875869	0.0578739	0.0506406	0.0518365	0.077111
a85	0.224518	0.216833	0.198259	0.127822	0.0779635	0.0560402	0.0423059	0.0562579
a79	0.198988	0.227459	0.204103	0.123302	0.0752952	0.0541045	0.051626	0.0651228
a90	0.172915	0.211018	0.215248	0.140466	0.0862362	0.0595815	0.0518783	0.0626561
a13	0.120684	0.163618	0.203808	0.164953	0.111105	0.0798456	0.0716565	0.0843302
a90	0.126438	0.144326	0.1839	0.180589	0.128381	0.0842928	0.0667189	0.0853543
a75	0.102035	0.11782	0.148042	0.165444	0.138392	0.106716	0.103916	0.117635
a85	0.0588394	0.0712341	0.0844091	0.0981059	0.103696	0.113265	0.192607	0.277844
a5	0.0612911	0.0764975	0.0818924	0.0990448	0.109245	0.115496	0.170552	0.285981
a18	0.103637	0.0935001	0.081857	0.0926352	0.104018	0.123954	0.176275	0.224124
a38	0.0208724	0.019679	0.0274045	0.0475832	0.0785829	0.14357	0.298267	0.364041
a61	0.00772804	0.00706072	0.0101837	0.0206118	0.0365586	0.077383	0.278123	0.562351
a62	0.0123969	0.0118594	0.0153766	0.0254219	0.0398424	0.0780073	0.297515	0.519581
a88	0.00284907	0.00270699	0.00433877	0.00860815	0.0161821	0.0392069	0.256772	0.669336
a9	0.000724229	0.000698873	0.00115679	0.00302728	0.0086458	0.0301729	0.250977	0.704597
a87	0.00231861	0.00188733	0.00215874	0.00527866	0.0130525	0.041028	0.269995	0.664281
a23	0.0286752	0.0211556	0.0225335	0.0444754	0.0663807	0.106375	0.287972	0.422433
a87	0.0220701	0.0121692	0.0126257	0.0223152	0.0386878	0.0765172	0.285391	0.530224
</S>	0.0175654	0.0137594	0.015123	0.0302269	0.0545377	0.105573	0.271311	0.491903
