 	quand	le	hanneton	atteint	l'	âge	de	maturité	son	corps	est	plein	de	graisse	</S>
a66	0.0962006	0.0960608	0.111013	0.122877	0.117286	0.119253	0.105541	0.0600536	0.0657161	0.0459471	0.0236384	0.0175376	0.00943209	0.00534034	0.00410419
a87	0.206529	0.165572	0.0991327	0.0773555	0.0716763	0.0577167	0.0660766	0.0516707	0.0702754	0.0543329	0.0291954	0.0241315	0.0140534	0.00610346	0.00617859
a99	0.103902	0.10726	0.0972438	0.112947	0.0937198	0.0637127	0.0648494	0.0842698	0.104919	0.0888251	0.0385665	0.0199212	0.00846067	0.00476066	0.00664155
a18	0.0952975	0.0997495	0.0835315	0.0929065	0.0672663	0.0470342	0.059621	0.116793	0.157104	0.113152	0.0304811	0.0140345	0.00841798	0.00599298	0.00861749
a30	0.120829	0.118246	0.0853459	0.106597	0.0887615	0.0695406	0.0702326	0.0614329	0.0858309	0.0762213	0.0294242	0.0195628	0.0163297	0.0238283	0.0278176
a93	0.169874	0.137752	0.0816608	0.105266	0.0939841	0.0800525	0.0750907	0.0425092	0.0621621	0.0691666	0.0267627	0.0191429	0.011631	0.0124593	0.012486
a4	0.135315	0.105872	0.0671868	0.071056	0.0650554	0.0638339	0.076034	0.077029	0.0822462	0.0912163	0.0515457	0.0340829	0.0230387	0.0260401	0.0304471
a70	0.0835911	0.080798	0.0583453	0.0615289	0.0552552	0.0562098	0.0702411	0.080923	0.101248	0.119812	0.0910812	0.0496181	0.0293252	0.0279979	0.034025
a96	0.0640118	0.0598833	0.0477995	0.0534184	0.0487906	0.0494809	0.0625445	0.106096	0.132809	0.145972	0.10519	0.0445344	0.0245165	0.023638	0.0313159
a93	0.0585393	0.0528129	0.0452385	0.0522139	0.0508059	0.0531553	0.0625533	0.11864	0.142366	0.138728	0.0920059	0.0430989	0.026945	0.0269719	0.0359249
a56	0.0507888	0.0467662	0.0409884	0.0486063	0.0490075	0.0525506	0.0626965	0.11186	0.131749	0.132817	0.0977265	0.0512896	0.034489	0.0376004	0.0510646
a12	0.0418642	0.0404785	0.0409741	0.0503347	0.0521445	0.0571348	0.0676007	0.0971444	0.11583	0.113435	0.0885819	0.062831	0.0514475	0.0542996	0.0658994
a31	0.0314085	0.0324185	0.0400954	0.0510913	0.053461	0.0591275	0.0644056	0.0776574	0.107527	0.100373	0.0873586	0.0719527	0.0670755	0.0741078	0.0819404
a0	0.0266506	0.0286716	0.0394491	0.0526036	0.0535144	0.0580342	0.0634424	0.0710956	0.110331	0.107682	0.104242	0.0847393	0.0659298	0.0641565	0.069459
a93	0.0158614	0.0171452	0.0263733	0.0451111	0.0491422	0.0560374	0.0616236	0.0793718	0.136817	0.129155	0.124329	0.0863673	0.0563882	0.0531025	0.0631751
a34	0.0130626	0.0128141	0.0196451	0.0330866	0.0352903	0.0414014	0.049168	0.0551456	0.0935036	0.0958351	0.111314	0.103615	0.0960263	0.111368	0.128724
a47	0.0113373	0.0105052	0.0152831	0.0250012	0.0279061	0.0337097	0.0383066	0.0412778	0.0721703	0.0768213	0.104942	0.116401	0.11918	0.140898	0.166261
a88	0.0121727	0.0118145	0.0148738	0.0240752	0.0292625	0.0354447	0.0375915	0.0526671	0.0777844	0.0738495	0.104131	0.101659	0.104941	0.139528	0.180206
a50	0.0059704	0.00545388	0.00670766	0.00971551	0.0121365	0.0142393	0.015987	0.0299622	0.039952	0.043568	0.073727	0.10535	0.190417	0.216954	0.22986
a88	0.0060121	0.00568924	0.00670547	0.00905385	0.0119739	0.013555	0.01412	0.0304011	0.0358757	0.0378227	0.0660179	0.101181	0.21645	0.22885	0.216292
a62	0.0032107	0.00300545	0.00361205	0.0047827	0.00587409	0.00644032	0.00746842	0.0169727	0.0201726	0.0226402	0.038467	0.0675058	0.186732	0.29694	0.316176
a75	0.00339463	0.00310182	0.00366996	0.00469083	0.00598958	0.00639044	0.00710968	0.0165135	0.0181715	0.0218884	0.0340984	0.0655177	0.186529	0.28184	0.341094
a79	0.000723965	0.00061203	0.000795868	0.00108109	0.00127367	0.00138434	0.0018092	0.00388986	0.00538682	0.00787155	0.0141786	0.0367874	0.14398	0.283353	0.496873
a7	0.0004552	0.000386335	0.000493679	0.000639842	0.000831906	0.000932618	0.00126739	0.00256848	0.00318515	0.00391197	0.00755764	0.0171841	0.0794489	0.253785	0.627352
a90	0.000357859	0.000284446	0.000336229	0.000485475	0.000753046	0.000785365	0.000705182	0.00103382	0.00108747	0.00165963	0.00355841	0.0105343	0.0666539	0.294866	0.616899
a56	0.000534767	0.000444374	0.00052573	0.000665	0.00100523	0.00115869	0.00117622	0.00193998	0.00185478	0.00319332	0.00613583	0.0173874	0.0835034	0.285884	0.594591
a94	0.00063972	0.00055941	0.000685713	0.000786326	0.00113311	0.00131817	0.00152399	0.00274375	0.00303112	0.0042528	0.00946372	0.0253404	0.0950376	0.261363	0.592121
a18	0.000588135	0.000458034	0.000537821	0.000581362	0.000849738	0.000843103	0.00100446	0.00142645	0.00143156	0.00240606	0.00490091	0.0149211	0.0919685	0.289567	0.588516
a25	0.00462955	0.00360378	0.00415266	0.00470447	0.00830526	0.0073348	0.00611137	0.008474	0.00717859	0.00977847	0.0202748	0.0404165	0.123309	0.317195	0.434532
a97	0.00423096	0.00382783	0.00417707	0.00420639	0.00751554	0.00758535	0.00854709	0.0144093	0.00901913	0.00960509	0.0172698	0.0323958	0.0979816	0.336335	0.442894
a87	0.0888488	0.0855208	0.0920923	0.0862447	0.102846	0.0955964	0.0905587	0.0886238	0.0505598	0.0333838	0.0234421	0.0265972	0.0361482	0.0413965	0.0581408
a23	0.0938958	0.0903529	0.102734	0.0962131	0.108589	0.096178	0.0854004	0.0536381	0.0328548	0.0201915	0.0141138	0.023377	0.0512457	0.0584322	0.0727833
a99	0.036337	0.0298372	0.0280231	0.0282426	0.0302034	0.0279471	0.0394089	0.0269597	0.019455	0.0216437	0.0237328	0.0566144	0.172436	0.21104	0.248119
a97	0.0191949	0.0163284	0.017331	0.0200167	0.0214175	0.0185143	0.0255645	0.0221241	0.0167721	0.0192709	0.0235729	0.0514381	0.13403	0.230845	0.36358
a10	0.00969767	0.0100193	0.0138931	0.0201418	0.0201839	0.0168593	0.0232719	0.0278472	0.0248432	0.0269943	0.0217078	0.0361727	0.100153	0.2226	0.425615
</S>	0.0165162	0.0181732	0.0250005	0.035648	0.0355391	0.0285748	0.0320586	0.0330133	0.0287235	0.0280626	0.0208703	0.0357726	0.106745	0.21248	0.342822
